,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
49586,199201020006,1992,1,2,Germany,Western Europe,Hamburg,Hamburg,53.553813,9.991586,,Government (Diplomatic),Basque Fatherland and Freedom (ETA),Explosives/Bombs/Dynamite,0,0
49754,199201160012,1992,1,16,Germany,Western Europe,Berlin,Berlin,52.516667000000005,13.4,,Private Citizens & Property,Revolutionary Cells,Explosives/Bombs/Dynamite,0,0
49833,199201230006,1992,1,23,Germany,Western Europe,Hesse,Frankfurt,50.111445,8.680615,,Airports & Aircraft,Islamic Golden Army,Firearms,0,0
49923,199201310005,1992,1,31,Germany,Western Europe,Hesse,Lampertheim,49.594876,8.468759,,Business,Neo-Nazi extremists,Incendiary,3,1
50223,199202240011,1992,2,24,Germany,Western Europe,Berlin,Blankenfelde,52.336859000000004,13.414454000000001,,Business,Neo-Nazi extremists,Unknown,0,1
50410,199203110018,1992,3,11,Germany,Western Europe,North Rhine-Westphalia,Wuppertal,51.25587,7.149972,,Private Citizens & Property,Neo-Nazi extremists,Unknown,0,0
50427,199203120013,1992,3,12,Germany,Western Europe,Hamburg,Hamburg,53.553813,9.991586,,Government (Diplomatic),Kurdish Militants,Unknown,0,0
50618,199203230005,1992,3,23,Germany,Western Europe,Berlin,Berlin,52.516667000000005,13.4,,Business,Kurdistan Workers' Party (PKK),Other,0,0
50619,199203230006,1992,3,23,Germany,Western Europe,Berlin,Berlin,52.516667000000005,13.4,,Business,Kurdistan Workers' Party (PKK),Other,0,0
50626,199203230013,1992,3,23,Germany,Western Europe,Berlin,Berlin,52.516667000000005,13.4,,Business,Kurdistan Workers' Party (PKK),Unknown,0,0
50627,199203230014,1992,3,23,Germany,Western Europe,Berlin,Berlin,52.516667000000005,13.4,,Business,Kurdistan Workers' Party (PKK),Unknown,0,0
50628,199203230015,1992,3,23,Germany,Western Europe,Lower Saxony,Hanover,52.372068,9.735686,,Business,Kurdistan Workers' Party (PKK),Unknown,0,1
50629,199203230016,1992,3,23,Germany,Western Europe,Hesse,Kassel,51.318927,9.496007,,Business,Kurdistan Workers' Party (PKK),Unknown,0,0
50651,199203240008,1992,3,24,Germany,Western Europe,Hesse,Wiesbaden,50.084284000000004,8.238717,,Business,Kurdistan Workers' Party (PKK),Incendiary,0,0
50652,199203240009,1992,3,24,Germany,Western Europe,Hesse,Darmstadt,49.87242,8.650855,,Business,Kurdistan Workers' Party (PKK),Incendiary,0,0
50665,199203240022,1992,3,24,Germany,Western Europe,North Rhine-Westphalia,Muenster,51.964711,7.628498,,Government (Diplomatic),Kurdistan Workers' Party (PKK),Unknown,0,0
50666,199203240023,1992,3,24,Germany,Western Europe,North Rhine-Westphalia,Dusseldorf,51.213924,6.780691,,Government (General),Kurdistan Workers' Party (PKK),Unknown,0,0
50667,199203240024,1992,3,24,Germany,Western Europe,Berlin,Berlin,52.516667000000005,13.4,,Business,Kurdistan Workers' Party (PKK),Unknown,0,0
50684,199203250012,1992,3,25,Germany,Western Europe,Berlin,Berlin,52.516667000000005,13.4,,Airports & Aircraft,Kurdistan Workers' Party (PKK),Melee,0,0
50685,199203250013,1992,3,25,Germany,Western Europe,Berlin,Berlin,52.516667000000005,13.4,,Airports & Aircraft,Kurdistan Workers' Party (PKK),Melee,0,0
50705,199203270009,1992,3,27,Germany,Western Europe,Berlin,Berlin,52.516667000000005,13.4,,Business,Kurdistan Workers' Party (PKK),Unknown,0,0
50706,199203270010,1992,3,27,Germany,Western Europe,Berlin,Berlin,52.516667000000005,13.4,,Business,Kurdistan Workers' Party (PKK),Melee,0,0
50845,199204040001,1992,4,4,Germany,Western Europe,Berlin,Berlin,52.516667000000005,13.4,,Government (General),Unknown,Melee,1,0
50864,199204050009,1992,4,5,Germany,Western Europe,North Rhine-Westphalia,Bonn,50.732673999999996,7.096299,,Government (Diplomatic),Anti-Iran Government Exiles,Melee,0,6
51012,199204180004,1992,4,18,Germany,Western Europe,Lower Saxony,Hanover,52.372068,9.735686,,Business,Kurdistan Workers' Party (PKK),Incendiary,0,0
51013,199204180005,1992,4,18,Germany,Western Europe,Bavaria,Munich,48.139126,11.580186,,Private Citizens & Property,Unknown,Incendiary,0,0
51029,199204190014,1992,4,19,Germany,Western Europe,Baden-Wurttemberg,Ulm,48.399623,9.996607000000001,,Business,Kurdistan Workers' Party (PKK),Incendiary,0,0
51036,199204200007,1992,4,20,Germany,Western Europe,Berlin,Berlin,52.516667000000005,13.4,,Private Citizens & Property,Neo-Nazi extremists,Unknown,0,12
51154,199205010004,1992,5,1,Germany,Western Europe,Berlin,Berlin,52.516667000000005,13.4,,Government (General),Anarchists,Melee,0,0
51272,199205080005,1992,5,8,Germany,Western Europe,North Rhine-Westphalia,Muenster,51.964711,7.628498,,Government (General),Left-Wing Demonstrators,Other,0,0
51273,199205080006,1992,5,8,Germany,Western Europe,North Rhine-Westphalia,Muenster,51.964711,7.628498,,Government (General),Left-Wing Demonstrators,Other,0,0
51290,199205090007,1992,5,9,Germany,Western Europe,North Rhine-Westphalia,Muenster,51.964711,7.628498,,NGO,Left-Wing Demonstrators,Other,0,0
51342,199205120006,1992,5,12,Germany,Western Europe,Saxony-Anhalt,Magdeburg,52.131076,11.636583,,Private Citizens & Property,Neo-Nazi extremists,Melee,1,0
51582,199205290008,1992,5,29,Germany,Western Europe,North Rhine-Westphalia,Monchengladbach,51.191261,6.4420660000000005,,Business,Albanian exiles,Melee,0,7
51704,199206090011,1992,6,9,Germany,Western Europe,Thuringia,Seebergen,50.9217,10.798900999999999,,Private Citizens & Property,Neo-Nazi extremists,Unknown,0,0
51705,199206090012,1992,6,9,Germany,Western Europe,Brandenburg,Nudow,52.327698999999996,13.162157,,Private Citizens & Property,Neo-Nazi extremists,Melee,0,2
51706,199206090013,1992,6,9,Germany,Western Europe,Thuringia,Seebergen,50.9217,10.798900999999999,,Business,Neo-Nazi extremists,Unknown,0,0
51707,199206090014,1992,6,9,Germany,Western Europe,Thuringia,Pfiffelbach,51.059065999999994,11.442314,,Private Citizens & Property,Neo-Nazi extremists,Unknown,0,4
51757,199206150008,1992,6,15,Germany,Western Europe,Unknown,Unknown,,,,Religious Figures/Institutions,Neo-Nazi extremists,Chemical,0,0
51975,199207060008,1992,7,6,Germany,Western Europe,Bavaria,Munich,48.139126,11.580186,,Business,Unknown,Incendiary,0,0
52052,199207120004,1992,7,12,Germany,Western Europe,North Rhine-Westphalia,Cologne,50.940664,6.959911999999999,,Private Citizens & Property,Unknown,Unknown,0,1
52090,199207150006,1992,7,15,Germany,Western Europe,Baden-Wurttemberg,Stuttgart,48.777105999999996,9.180769,,Business,Neo-Nazi extremists,Unknown,1,1
52102,199207160010,1992,7,16,Germany,Western Europe,Brandenburg,Potsdam,52.396851,13.058481,,Government (General),Mujahedin-e Khalq (MEK),Melee,0,0
52356,199208040002,1992,8,4,Germany,Western Europe,North Rhine-Westphalia,Bonn,50.732673999999996,7.096299,,Private Citizens & Property,Unknown,Melee,1,0
52583,199208220006,1992,8,22,Germany,Western Europe,Mecklenburg-West Pomerania,Rostock,54.083273,12.100328,,Business,Neo-Nazi extremists,Incendiary,0,12
52603,199208230011,1992,8,23,Germany,Western Europe,Mecklenburg-West Pomerania,Rostock,54.083273,12.100328,,Police,Neo-Nazi extremists,Incendiary,0,74
52624,199208250009,1992,8,25,Germany,Western Europe,Mecklenburg-West Pomerania,Rostock,54.083273,12.100328,,Police,Neo-Nazi extremists,Incendiary,0,65
52638,199208260009,1992,8,26,Germany,Western Europe,Bremen,Bremen,53.07498100000001,8.807081,,Business,Kurdistan Workers' Party (PKK),Explosives/Bombs/Dynamite,0,0
52668,199208290004,1992,8,29,Germany,Western Europe,Lower Saxony,Hanover,52.372068,9.735686,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
52674,199208300004,1992,8,30,Germany,Western Europe,Berlin,Berlin,52.516667000000005,13.4,,Private Citizens & Property,Neo-Nazi extremists,Explosives/Bombs/Dynamite,0,0
52675,199208300005,1992,8,30,Germany,Western Europe,Berlin,Berlin,52.516667000000005,13.4,,Private Citizens & Property,Neo-Nazi extremists,Explosives/Bombs/Dynamite,0,0
52683,199208300013,1992,8,30,Germany,Western Europe,Brandenburg,Cottbus,51.760729,14.327488,,Police,Neo-Nazi extremists,Incendiary,0,1
52699,199209010003,1992,9,1,Germany,Western Europe,Brandenburg,Spremberg,51.568985999999995,14.377526000000001,,Business,Neo-Nazi extremists,Incendiary,0,0
52702,199209010006,1992,9,1,Germany,Western Europe,Brandenburg,Althuttendorf,52.963075,13.806567000000001,,Business,Neo-Nazi extremists,Melee,0,0
52714,199209020009,1992,9,2,Germany,Western Europe,Berlin,Berlin,52.516667000000005,13.4,,Business,Neo-Nazi extremists,Incendiary,0,0
52728,199209030005,1992,9,3,Germany,Western Europe,Berlin,Berlin,52.516667000000005,13.4,,Private Citizens & Property,Neo-Nazi extremists,Incendiary,0,0
52729,199209030006,1992,9,3,Germany,Western Europe,Saxony-Anhalt,Oschersleben,52.035789,11.245486999999999,,Business,Neo-Nazi extremists,Incendiary,0,0
52733,199209030010,1992,9,3,Germany,Western Europe,Baden-Wurttemberg,Nordheim,49.107951,9.130614,,Private Citizens & Property,Neo-Nazi extremists,Unknown,0,0
52734,199209030011,1992,9,3,Germany,Western Europe,Baden-Wurttemberg,Nordheim,49.107951,9.130614,,Business,Neo-Nazi extremists,Unknown,0,0
52735,199209030012,1992,9,3,Germany,Western Europe,Baden-Wurttemberg,Nordheim,49.107951,9.130614,,Business,Neo-Nazi extremists,Unknown,0,0
52742,199209040004,1992,9,4,Germany,Western Europe,Hesse,Frankfurt,50.111445,8.680615,,Other,Neo-Nazi extremists,Incendiary,0,0
52743,199209040005,1992,9,4,Germany,Western Europe,North Rhine-Westphalia,Cologne,50.940664,6.959911999999999,,Government (General),Neo-Nazi extremists,Incendiary,0,0
52744,199209040006,1992,9,4,Germany,Western Europe,Brandenburg,Lubbenau,51.868165999999995,13.969382999999999,,Business,Neo-Nazi extremists,Incendiary,0,0
52763,199209050012,1992,9,5,Germany,Western Europe,Brandenburg,Eisenhuttenstadt,52.144796,14.669583,,Business,Neo-Nazi extremists,Incendiary,0,0
52764,199209050013,1992,9,5,Germany,Western Europe,Baden-Wurttemberg,Bretten,49.036306,8.709782,,Private Citizens & Property,Neo-Nazi extremists,Incendiary,0,0
52765,199209050014,1992,9,5,Germany,Western Europe,Saxony,Hoyerswerda,51.435519,14.239528,,Business,Neo-Nazi extremists,Incendiary,0,0
52790,199209050039,1992,9,5,Germany,Western Europe,North Rhine-Westphalia,Bonn,50.732673999999996,7.096299,,Private Citizens & Property,Neo-Nazi extremists,Firearms,0,0
52791,199209050040,1992,9,5,Germany,Western Europe,Berlin,Berlin,52.516667000000005,13.4,,Private Citizens & Property,Neo-Nazi extremists,Unknown,0,0
52809,199209060016,1992,9,6,Germany,Western Europe,Brandenburg,Guben,51.95224,14.714819,,Business,Neo-Nazi extremists,Melee,0,0
52816,199209070005,1992,9,7,Germany,Western Europe,Saxony-Anhalt,Halle,51.482166,11.965814,,Private Citizens & Property,Neo-Nazi extremists,Incendiary,0,6
52817,199209070006,1992,9,7,Germany,Western Europe,Saxony-Anhalt,Halle,51.482166,11.965814,,Private Citizens & Property,Neo-Nazi extremists,Incendiary,0,1
52821,199209070010,1992,9,7,Germany,Western Europe,Unknown,Fritscheschdorf,,,,Business,Neo-Nazi extremists,Melee,0,0
52830,199209080005,1992,9,8,Germany,Western Europe,Saxony-Anhalt,Quedlinburg,51.783564,11.142056,,Business,Neo-Nazi extremists,Incendiary,0,0
52838,199209080013,1992,9,8,Germany,Western Europe,North Rhine-Westphalia,Dusseldorf,51.213924,6.780691,,Business,Neo-Nazi extremists,Melee,0,0
52847,199209090004,1992,9,9,Germany,Western Europe,Saxony,Porschendorf,51.01265,13.998913,,Private Citizens & Property,Neo-Nazi extremists,Incendiary,0,0
52848,199209090005,1992,9,9,Germany,Western Europe,Mecklenburg-West Pomerania,Waren,53.520174,12.680916999999999,,Business,Neo-Nazi extremists,Melee,0,0
52855,199209090017,1992,9,9,Germany,Western Europe,Saxony-Anhalt,Quedlinburg,51.783564,11.142056,,Business,Neo-Nazi extremists,Incendiary,0,0
52868,199209100014,1992,9,10,Germany,Western Europe,Mecklenburg-West Pomerania,Gustrow,53.796758999999994,12.172958,,Business,Neo-Nazi extremists,Melee,0,0
52880,199209100028,1992,9,10,Germany,Western Europe,Saxony-Anhalt,Quedlinburg,51.783564,11.142056,,Business,Neo-Nazi extremists,Incendiary,0,0
52892,199209110012,1992,9,11,Germany,Western Europe,Saxony-Anhalt,Quedlinburg,51.783564,11.142056,,Business,Neo-Nazi extremists,Incendiary,0,0
52893,199209110013,1992,9,11,Germany,Western Europe,Saxony-Anhalt,Quedlinburg,51.783564,11.142056,,Business,Neo-Nazi extremists,Incendiary,0,0
52905,199209120006,1992,9,12,Germany,Western Europe,Saxony,Zittau,50.898777,14.809351000000001,,Business,Neo-Nazi extremists,Incendiary,0,0
52906,199209120007,1992,9,12,Germany,Western Europe,Baden-Wurttemberg,Hemsbach,49.590592,8.658033999999999,,Business,Neo-Nazi extremists,Incendiary,0,2
52907,199209120008,1992,9,12,Germany,Western Europe,Saxony,Dippoldiswalde,50.897815,13.667466000000001,,Business,Neo-Nazi extremists,Incendiary,0,0
52944,199209150014,1992,9,15,Germany,Western Europe,Mecklenburg-West Pomerania,Wismar,53.522604,13.793160999999998,,Police,Neo-Nazi extremists,Melee,0,0
52946,199209160002,1992,9,16,Germany,Western Europe,Mecklenburg-West Pomerania,Zemitz,53.977621,13.753851000000001,,Private Citizens & Property,Neo-Nazi extremists,Incendiary,0,0
52948,199209160006,1992,9,16,Germany,Western Europe,Mecklenburg-West Pomerania,Wismar,53.522604,13.793160999999998,,Police,Neo-Nazi extremists,Melee,0,0
52951,199209170002,1992,9,17,Germany,Western Europe,Berlin,Berlin,52.516667000000005,13.4,,Government (General),Iranians,Firearms,4,1
52965,199209170017,1992,9,17,Germany,Western Europe,Mecklenburg-West Pomerania,Wismar,53.522604,13.793160999999998,,Police,Neo-Nazi extremists,Melee,0,0
52968,199209180003,1992,9,18,Germany,Western Europe,Saxony,Weisswasser,51.506606,14.643307,,Business,Neo-Nazi extremists,Incendiary,0,0
52969,199209180004,1992,9,18,Germany,Western Europe,Thuringia,Hainspitz,50.961979,11.839413,,Business,Neo-Nazi extremists,Incendiary,0,0
52976,199209180011,1992,9,18,Germany,Western Europe,Mecklenburg-West Pomerania,Schwerin,53.62574300000001,11.416893,,Business,Neo-Nazi extremists,Melee,0,0
52983,199209180019,1992,9,18,Germany,Western Europe,Mecklenburg-West Pomerania,Wismar,53.522604,13.793160999999998,,Police,Neo-Nazi extremists,Melee,0,0
52990,199209190007,1992,9,19,Germany,Western Europe,Hesse,Geisenheim,49.983967,7.966589999999999,,Business,Neo-Nazi extremists,Incendiary,0,0
52991,199209190008,1992,9,19,Germany,Western Europe,Bavaria,Regensburg,49.015,12.095555599999999,,Business,Neo-Nazi extremists,Incendiary,0,0
