year,injuries,fatalities,region,count
1970,0,2,Western Europe,3
1971,0,0,Western Europe,1
1972,0,0,Western Europe,2
1973,55,5,Western Europe,11
1974,0,92,Western Europe,6
1975,0,1,Western Europe,4
1976,1,14,Western Europe,21
1977,1,1,Western Europe,47
1978,4,0,Western Europe,39
1979,5,1,Western Europe,9
1980,2,5,Western Europe,15
1981,74,3,Western Europe,20
1982,0,2,Western Europe,19
1983,6,4,Western Europe,11
1984,89,5,Western Europe,28
1985,170,64,Western Europe,35
1986,14,6,Western Europe,41
1987,37,2,Western Europe,26
1988,104,14,Western Europe,38
1989,5,4,Western Europe,50
1990,10,2,Western Europe,55
1991,23,15,Western Europe,57
1992,34,2,Western Europe,35
1994,19,3,Western Europe,42
1995,0,0,Western Europe,8
1996,3,0,Western Europe,20
1997,3,1,Western Europe,21
1998,2,0,Western Europe,28
1999,4,1,Western Europe,35
2000,0,1,Western Europe,28
2001,3,0,Western Europe,14
2002,2,0,Western Europe,11
2003,2,0,Western Europe,12
2004,3,0,Western Europe,4
2005,5,0,Western Europe,6
2006,2,0,Western Europe,23
2007,3,0,Western Europe,15
2008,3,0,Western Europe,53
2009,10,1,Western Europe,115
2010,5,4,Western Europe,49
2011,5,0,Western Europe,11
2012,3,0,Western Europe,22
2013,7,2,Western Europe,53
2014,4,0,Western Europe,26
2015,2,1,Western Europe,31
2016,2,66,Western Europe,31
