,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
18842,198305280006,1983,5,28,Guadeloupe,Central America & Caribbean,,Unknown,,,,Government (General),Caribbean Revolutionary Alliance (ARC),Explosives/Bombs/Dynamite,0,0
18843,198305280007,1983,5,28,Guadeloupe,Central America & Caribbean,,Unknown,,,,Government (General),Caribbean Revolutionary Alliance (ARC),Explosives/Bombs/Dynamite,0,0
18844,198305280008,1983,5,28,Guadeloupe,Central America & Caribbean,,Unknown,,,,Government (General),Caribbean Revolutionary Alliance (ARC),Explosives/Bombs/Dynamite,0,0
18845,198305280009,1983,5,28,Guadeloupe,Central America & Caribbean,,Pointe-a-Pitre,16.2411,-61.5331,,Government (General),Caribbean Revolutionary Alliance (ARC),Explosives/Bombs/Dynamite,0,0
18846,198305280010,1983,5,28,Guadeloupe,Central America & Caribbean,,Pointe-a-Pitre,16.2411,-61.5331,,Government (General),Caribbean Revolutionary Alliance (ARC),Explosives/Bombs/Dynamite,0,0
18847,198305280011,1983,5,28,Guadeloupe,Central America & Caribbean,,Pointe-a-Pitre,16.2411,-61.5331,,Police,Caribbean Revolutionary Alliance (ARC),Explosives/Bombs/Dynamite,0,0
18848,198305280012,1983,5,28,Guadeloupe,Central America & Caribbean,,Unknown,,,,Government (General),Caribbean Revolutionary Alliance (ARC),Explosives/Bombs/Dynamite,0,0
18849,198305280013,1983,5,28,Guadeloupe,Central America & Caribbean,,Unknown,,,,Government (General),Caribbean Revolutionary Alliance (ARC),Explosives/Bombs/Dynamite,0,0
18850,198305280014,1983,5,28,Guadeloupe,Central America & Caribbean,,Unknown,,,,Government (General),Caribbean Revolutionary Alliance (ARC),Explosives/Bombs/Dynamite,0,0
20180,198311140003,1983,11,14,Guadeloupe,Central America & Caribbean,,Basse-Terre,15.998760999999998,-61.725646,,Business,Guadeloupe Liberation Army,Explosives/Bombs/Dynamite,0,0
20181,198311140004,1983,11,14,Guadeloupe,Central America & Caribbean,,Basse-Terre,15.998760999999998,-61.725646,,Police,Guadeloupe Liberation Army,Explosives/Bombs/Dynamite,0,0
20184,198311140008,1983,11,14,Guadeloupe,Central America & Caribbean,,Pointe-a-Pitre,16.2411,-61.5331,,Journalists & Media,Caribbean Revolutionary Alliance (ARC),Explosives/Bombs/Dynamite,0,0
20185,198311140009,1983,11,14,Guadeloupe,Central America & Caribbean,,Pointe-a-Pitre,16.2411,-61.5331,,Government (General),Caribbean Revolutionary Alliance (ARC),Explosives/Bombs/Dynamite,0,20
20186,198311140010,1983,11,14,Guadeloupe,Central America & Caribbean,,Pointe-a-Pitre,16.2411,-61.5331,,Private Citizens & Property,Caribbean Revolutionary Alliance (ARC),Explosives/Bombs/Dynamite,0,0
20187,198311140011,1983,11,14,Guadeloupe,Central America & Caribbean,,Baillif,16.020807,-61.746001,,Airports & Aircraft,Guadeloupe Liberation Army,Explosives/Bombs/Dynamite,0,0
20223,198311180002,1983,11,18,Guadeloupe,Central America & Caribbean,Pointe-?-Pitre,Gosier,16.246518,-61.463322,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
20237,198311200002,1983,11,20,Guadeloupe,Central America & Caribbean,,Grand-Bourg,15.885051,-61.313878,,Police,Unknown,Explosives/Bombs/Dynamite,0,0
