year,injuries,fatalities,region,count
1970,0,2,Central America & Caribbean,4
1971,0,0,Central America & Caribbean,1
1974,0,0,Central America & Caribbean,1
1975,1,23,Central America & Caribbean,5
1976,8,8,Central America & Caribbean,13
1977,0,6,Central America & Caribbean,8
1978,18,35,Central America & Caribbean,29
1979,19,53,Central America & Caribbean,60
1980,143,528,Central America & Caribbean,281
1981,285,1381,Central America & Caribbean,399
1982,152,1562,Central America & Caribbean,354
1983,176,530,Central America & Caribbean,117
1984,34,171,Central America & Caribbean,74
1985,17,137,Central America & Caribbean,63
1986,14,54,Central America & Caribbean,31
1987,38,211,Central America & Caribbean,56
1988,35,135,Central America & Caribbean,29
1989,70,43,Central America & Caribbean,79
1990,42,68,Central America & Caribbean,83
1991,22,73,Central America & Caribbean,77
1992,67,28,Central America & Caribbean,48
1994,39,22,Central America & Caribbean,84
1995,10,40,Central America & Caribbean,82
1996,9,14,Central America & Caribbean,26
1997,22,22,Central America & Caribbean,26
1999,0,3,Central America & Caribbean,1
2000,0,2,Central America & Caribbean,1
2001,1,1,Central America & Caribbean,2
2003,5,1,Central America & Caribbean,3
2004,0,3,Central America & Caribbean,2
2006,0,5,Central America & Caribbean,4
2012,1,2,Central America & Caribbean,1
2013,3,4,Central America & Caribbean,6
