,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
12529,198101030004,1981,1,3,Guatemala,Central America & Caribbean,,San Martin Jilotepeque,14.781398000000001,-90.792513,,Police,Left-Wing Guerrillas,Firearms,1,0
12579,198101120006,1981,1,12,Guatemala,Central America & Caribbean,,Quetzaltenango,14.833332999999998,-91.516667,,Military,Unknown,Explosives/Bombs/Dynamite,0,3
12593,198101160001,1981,1,16,Guatemala,Central America & Caribbean,,Guatemala City,14.624422000000001,-90.53288,,Government (General),Unknown,Firearms,1,0
12614,198101190009,1981,1,19,Guatemala,Central America & Caribbean,,Guatemala City,14.624422000000001,-90.53288,,Police,Guerrilla Army of the Poor (EGP),Firearms,4,0
12628,198101210005,1981,1,21,Guatemala,Central America & Caribbean,,Guatemala City,14.624422000000001,-90.53288,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,3
12678,198101270001,1981,1,27,Guatemala,Central America & Caribbean,,Guatemala City,14.624422000000001,-90.53288,,Violent Political Party,Unknown,Unknown,1,0
12679,198101270002,1981,1,27,Guatemala,Central America & Caribbean,,Guatemala City,14.624422000000001,-90.53288,,Educational Institution,Unknown,Firearms,1,0
12691,198101280001,1981,1,28,Guatemala,Central America & Caribbean,,Guatemala City,14.624422000000001,-90.53288,,Business,Unknown,Firearms,1,0
12694,198101280004,1981,1,28,Guatemala,Central America & Caribbean,,San Pedro Jocopilas,15.095278,-91.15083299999999,,Military,Unknown,Firearms,2,3
12695,198101280005,1981,1,28,Guatemala,Central America & Caribbean,,Joyabaj,14.995,-90.8075,,Police,Unknown,Firearms,5,0
12698,198101290003,1981,1,29,Guatemala,Central America & Caribbean,,Sacapulas,15.289167,-91.089167,,Military,Unknown,Firearms,0,1
12699,198101290004,1981,1,29,Guatemala,Central America & Caribbean,,San Pablo Jocopilas,14.594635999999998,-91.43742900000001,,Military,Revolutionary Organization of People in Arms (ORPA),Firearms,3,0
12700,198101290005,1981,1,29,Guatemala,Central America & Caribbean,,San Mateo,14.858332999999998,-91.593056,,Private Citizens & Property,Unknown,Firearms,0,0
12701,198101290006,1981,1,29,Guatemala,Central America & Caribbean,,Guatemala City,14.624422000000001,-90.53288,,Police,Unknown,Firearms,0,2
12702,198101290007,1981,1,29,Guatemala,Central America & Caribbean,,Guatemala City,14.624422000000001,-90.53288,,Educational Institution,Unknown,Firearms,2,2
12703,198101290008,1981,1,29,Guatemala,Central America & Caribbean,,Guatemala City,14.624422000000001,-90.53288,,Private Citizens & Property,Unknown,Firearms,3,1
12708,198101300004,1981,1,30,Guatemala,Central America & Caribbean,,San Juan Cotzal,15.435278,-91.035556,,Military,Unknown,Firearms,3,0
12713,198102010001,1981,2,1,Guatemala,Central America & Caribbean,,Guatemala City,14.624422000000001,-90.53288,,Transportation,Vincente Mecha Revolutionary Christians,Explosives/Bombs/Dynamite,0,0
12716,198102010004,1981,2,1,Guatemala,Central America & Caribbean,Quiche,Unknown,15.498381,-90.982067,,Military,Left-Wing Terrorists,Explosives/Bombs/Dynamite,3,2
12724,198102020006,1981,2,2,Guatemala,Central America & Caribbean,,Guatemala City,14.624422000000001,-90.53288,,Journalists & Media,Unknown,Firearms,0,0
12752,198102050005,1981,2,5,Guatemala,Central America & Caribbean,,San Juan Sacatepequez,14.718889,-90.64416700000001,,Military,Unknown,Explosives/Bombs/Dynamite,0,2
12759,198102050012,1981,2,5,Guatemala,Central America & Caribbean,,Guatemala City,14.624422000000001,-90.53288,,Police,Unknown,Firearms,0,2
12760,198102050013,1981,2,5,Guatemala,Central America & Caribbean,,Guatemala City,14.624422000000001,-90.53288,,Police,Unknown,Firearms,1,5
12766,198102060005,1981,2,6,Guatemala,Central America & Caribbean,,Guatemala City,14.624422000000001,-90.53288,,Journalists & Media,Unknown,Firearms,1,0
12775,198102070001,1981,2,7,Guatemala,Central America & Caribbean,,San Pedro NECTA,15.492065,-91.76727,,Business,Unknown,Unknown,4,0
12785,198102080001,1981,2,8,Guatemala,Central America & Caribbean,,La Democracia,14.2308,-90.9472,,Government (General),Death Squad,Firearms,1,0
12789,198102080005,1981,2,8,Guatemala,Central America & Caribbean,,Chicacao,14.533332999999999,-91.31666700000001,,Police,Revolutionary Organization of People in Arms (ORPA),Firearms,11,15
12821,198102100012,1981,2,10,Guatemala,Central America & Caribbean,,Comalpa,14.736569,-90.89001800000001,,Military,Revolutionary Organization of People in Arms (ORPA),Firearms,18,10
12825,198102110001,1981,2,11,Guatemala,Central America & Caribbean,,Guatemala city,14.624422000000001,-90.53288,,Business,Unknown,Unknown,0,0
12844,198102140001,1981,2,14,Guatemala,Central America & Caribbean,,Guatemala City,14.624422000000001,-90.53288,,Government (General),Unknown,Firearms,1,5
12867,198102190001,1981,2,19,Guatemala,Central America & Caribbean,,Unknown,,,,Police,Unknown,Firearms,4,0
12868,198102190002,1981,2,19,Guatemala,Central America & Caribbean,,Finca Nuevo Quetzal,14.78333,-91.75,,Business,Unknown,Firearms,1,0
12869,198102190003,1981,2,19,Guatemala,Central America & Caribbean,,Amatitlan,14.4875,-90.615278,,Business,Guatemalan Labor Party (PGT),Firearms,1,0
12902,198102260002,1981,2,26,Guatemala,Central America & Caribbean,,Guatemala City,14.624422000000001,-90.53288,,Educational Institution,Unknown,Firearms,1,0
12903,198102260003,1981,2,26,Guatemala,Central America & Caribbean,,Guatemala city,14.624422000000001,-90.53288,,Educational Institution,Unknown,Unknown,0,0
12904,198102260004,1981,2,26,Guatemala,Central America & Caribbean,,Huehuetenango,15.319722,-91.47833,,Private Citizens & Property,Unknown,Unknown,0,0
12909,198102270003,1981,2,27,Guatemala,Central America & Caribbean,,Guatemala City,14.624422000000001,-90.53288,,Private Citizens & Property,Unknown,Firearms,1,0
12910,198102270004,1981,2,27,Guatemala,Central America & Caribbean,,Guatemala City,14.624422000000001,-90.53288,,Private Citizens & Property,Unknown,Firearms,1,0
12911,198102270005,1981,2,27,Guatemala,Central America & Caribbean,,Guatemala City,14.624422000000001,-90.53288,,Private Citizens & Property,Unknown,Firearms,1,0
12916,198102270010,1981,2,27,Guatemala,Central America & Caribbean,,Guatemala City,14.624422000000001,-90.53288,,Military,Unknown,Firearms,0,0
