,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
70831,200009010003,2000,9,1,Guinea,Sub-Saharan Africa,Nzerekore,Massadou,8.381439,-9.432121,"09/01/2000: Unidentified armed men in blue uniforms attacked Massadou Village in Guinea. Forty-seven people were killed and twenty-nine injured. Three people were missing. At least ten of the dead were Guinean soldiers. A large number of guns were also robbed from a Border Post in the vicinity. The Guinean government suspects that the perpetrators attacked from nearby Liberia, possibly supported by the Liberian Government.",Military,Unknown,Firearms,47,29
70879,200009060008,2000,9,6,Guinea,Sub-Saharan Africa,Kindia,Pamalap,9.180044,-12.969453,"9/6/2000: Members of the Revolutionary United Front (RUF) kidnapped two Italian missionaries who were providing support to Sierra Leone refugees in the border town of Pamlape, Forecariah, Guinea.  The two missionaries were Franco Manganello and Vittorio Mosele; a third individual, a volunteer named Guiseppe Giacomello, was originally believed to be kidnapped but managed to elude the rebels.  The two captives escaped from the rebels on December 5th, 2000.  They were not seriously injured.",Religious Figures/Institutions,Revolutionary United Front (RUF),Unknown,0,0
70952,200009170001,2000,9,17,Guinea,Sub-Saharan Africa,Conakry,Conakry,9.509132000000001,-13.712144,09/17/2000: A Togolese employee of the UN Refugee Agency was killed and a citizen of Ivory Coast was kidnapped in an attack by unknown perpetrators.,Government (Diplomatic),Unknown,Firearms,1,0
71053,200009300003,2000,9,30,Guinea,Sub-Saharan Africa,Nzerekore,Macenta,8.546324,-9.467417999999999,09/30/2000: An overnight raid by rebels killed 60 people in a village near Macenta in Guinea. A military post in the village was also attacked.,Private Citizens & Property,Unknown,Firearms,60,0
71292,200011130007,2000,11,13,Guinea,Sub-Saharan Africa,Kindia,Yagouya,9.999291,-12.17715,"11/13/2000: Rebels raided the village of Yagouya, in the Kindia area, Guinea.  One villager was killed in the raid and an unknown number were kidnapped.  The raid coincided with the arrival of an observer team that was assessing the need for the deployment of regional force. No group has claimed responsibility for the attack but sources note that kidnapping is characteristic of the Revolutionary United Front (RUF).  This was the first of two attacks in the area on the same day.",Private Citizens & Property,Revolutionary United Front (RUF),Firearms,1,0
71293,200011130008,2000,11,13,Guinea,Sub-Saharan Africa,Kindia,Soumboya,9.925073,-12.737577,"11/13/2000: Rebels raided the village of Soumbazaya, in the Kindia area, Guinea.  The rebels were met with resistance from government troops and, after eight hours of fighting, the rebels were driven back.  There were no reports of deaths or injuries as a result of the attack.  The raid coincided with the arrival of an observer team that was assessing the need for the deployment of regional force. No group has claimed responsibility for the attack.  This was the second of two attacks in the area on the same day.",Private Citizens & Property,Rebels,Firearms,0,0
71394,200011270009,2000,11,28,Guinea,Sub-Saharan Africa,Nzerekore,Macenta district,8.461578999999999,-9.278558,"11/28/2000: Rebels from Liberia raided Bayoro village, near the southeastern border, Guinea.  Six civilians were killed in the attack and three individuals, including one government soldier, were injured.  Unconfirmed reports also state that a large portion of the village was burnt down.  Specific motive is unknown, but there was been a string of raids between the two countries, leading to escalating tension.",Private Citizens & Property,U/I Liberian Gunmen,Firearms,6,3
71408,200011300003,2000,11,0,Guinea,Sub-Saharan Africa,Nzerekore,Gueckedou district,8.709375,-10.243095,"11/27/2000: Rebels raided Sokolalu Tekoulo village in Gueckedou Prefecture, Guinea.  They killed at least three villagers in the attack.  They also destroyed 19 houses and a health center.  The attack coincided with a regional visit from a team of cabinet ministers.  No group has claimed responsibility for the attack.",Private Citizens & Property,Rebels,Firearms,3,0
71424,200012040005,2000,12,4,Guinea,Sub-Saharan Africa,Nzerekore,Gbaya,7.80722,-8.760596000000001,"12/4/2000: Rebels attacked Gbayaro village, Macenta, Guinea.  At least one civilian and more than three rebels were killed in the attack.  A similar attack occurred in a neighboring village the same day.",Private Citizens & Property,Rebels,Unknown,5,0
71426,200012050002,2000,12,4,Guinea,Sub-Saharan Africa,Nzerekore,Macenta district,8.461578999999999,-9.278558,"12/4/2000: Rebels attacked Kotizu village, Macenta, Guinea.  At least one civilian and more than three rebels were killed in the attack.  A similar attack occurred in a neighboring village the same day.",Private Citizens & Property,Rebels,Unknown,5,0
71430,200012050006,2000,12,5,Guinea,Sub-Saharan Africa,Nzerekore,Gueckedou,8.566667,-10.133333,"12/5/2000: Armed rebels attacked the town of Gueckedou, Guinea, near the southern border with Liberia.  The rebels fought their way into the town and they held Gueckedou for a day before being driven out by army forces.  At least 48 civilians were killed in the attack.  Government buildings and company offices were burned down; in addition, vehicles and power lines were destroyed.  Thousands of local residents and refugees fled the area.",Private Citizens & Property,Rebels,Firearms,48,0
71459,200012110006,2000,12,10,Guinea,Sub-Saharan Africa,Faranah,Kissidougou,9.189160000000001,-10.098654,"12/10/2000: Rebels attacked Kissidougou town, near the border of Liberia and Sierra Leone, Kissidougou Prefecture, Guinea.  The attack began at 3 am and continued for several hours while the rebels fought with government troops.  The assailants were driven back and authorities report that at least 30 attackers were killed.  Death toll amongst civilians and troops is unknown.  A man named Mohamed Lamine Fofanah, who stated he represented the Allied Democratic Forces of Guinea (RDFG), claimed responsibility for the attack.",Private Citizens & Property,Allied Democratic Forces of Guinea (RDFG),Unknown,30,0
