year,injuries,fatalities,region,count
1973,0,0,Central America & Caribbean,1
1974,0,0,Central America & Caribbean,2
1983,9,5,Central America & Caribbean,6
1987,6,4,Central America & Caribbean,10
1988,0,3,Central America & Caribbean,6
1989,9,0,Central America & Caribbean,3
1990,106,13,Central America & Caribbean,3
1991,1,137,Central America & Caribbean,17
1992,7,18,Central America & Caribbean,27
1994,50,87,Central America & Caribbean,27
1995,40,16,Central America & Caribbean,34
1996,7,14,Central America & Caribbean,27
1997,11,9,Central America & Caribbean,16
1998,0,0,Central America & Caribbean,1
1999,3,3,Central America & Caribbean,5
2000,15,5,Central America & Caribbean,9
2001,2,0,Central America & Caribbean,5
2002,1,0,Central America & Caribbean,2
2003,1,4,Central America & Caribbean,5
2004,30,7,Central America & Caribbean,2
2005,0,1,Central America & Caribbean,1
2006,1,2,Central America & Caribbean,1
2007,1,1,Central America & Caribbean,2
2016,0,7,Central America & Caribbean,1
