year,injuries,fatalities,region,count
1973,0,0,Central America & Caribbean,1
1979,12,1,Central America & Caribbean,6
1980,8,6,Central America & Caribbean,16
1981,14,7,Central America & Caribbean,17
1982,12,24,Central America & Caribbean,34
1983,6,75,Central America & Caribbean,29
1984,1,5,Central America & Caribbean,12
1985,8,7,Central America & Caribbean,9
1986,4,10,Central America & Caribbean,8
1987,12,21,Central America & Caribbean,20
1988,11,32,Central America & Caribbean,21
1989,22,9,Central America & Caribbean,29
1990,13,3,Central America & Caribbean,13
1991,21,18,Central America & Caribbean,21
1992,5,5,Central America & Caribbean,12
1994,26,10,Central America & Caribbean,6
1995,2,8,Central America & Caribbean,12
1996,29,11,Central America & Caribbean,19
1997,18,14,Central America & Caribbean,22
2002,0,0,Central America & Caribbean,1
2004,14,28,Central America & Caribbean,1
2009,1,2,Central America & Caribbean,8
2011,0,2,Central America & Caribbean,1
2013,0,5,Central America & Caribbean,2
2014,1,0,Central America & Caribbean,1
2016,0,2,Central America & Caribbean,1
