,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
15259,198201210001,1982,1,21,Honduras,Central America & Caribbean,,San Pedro Sula,15.50167,-88.02774000000001,,Business,Juan Rayo Guerilla Group,Explosives/Bombs/Dynamite,0,0
15267,198201220001,1982,1,22,Honduras,Central America & Caribbean,,San Pedro Sula,15.50167,-88.02774000000001,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
15297,198201260007,1982,1,26,Honduras,Central America & Caribbean,,San Pedro Sula,15.50167,-88.02774000000001,,Business,Unknown,Firearms,1,0
15822,198204050004,1982,4,5,Honduras,Central America & Caribbean,,Tegucigalpa,14.0833,-87.2167,,Government (Diplomatic),Unknown,Firearms,0,0
15944,198204200017,1982,4,20,Honduras,Central America & Caribbean,,Tegucigalpa,14.0833,-87.2167,,Government (Diplomatic),Lorenzo Zelaya Revolutionary Front (LZRF),Explosives/Bombs/Dynamite,0,0
15945,198204200018,1982,4,20,Honduras,Central America & Caribbean,,Tegucigalpa,14.0833,-87.2167,,Government (Diplomatic),Lorenzo Zelaya Revolutionary Front (LZRF),Explosives/Bombs/Dynamite,0,0
15951,198204210001,1982,4,21,Honduras,Central America & Caribbean,,Tegucigalpa,14.0833,-87.2167,,Government (Diplomatic),Lorenzo Zelaya Revolutionary Front (LZRF),Explosives/Bombs/Dynamite,0,0
15970,198204230001,1982,4,23,Honduras,Central America & Caribbean,,Tegucigalpa,14.0833,-87.2167,,Journalists & Media,Lorenzo Zelaya Revolutionary Front (LZRF),Explosives/Bombs/Dynamite,0,0
15971,198204230002,1982,4,23,Honduras,Central America & Caribbean,,Tegucigalpa,14.0833,-87.2167,,Government (Diplomatic),Lorenzo Zelaya Revolutionary Front (LZRF),Explosives/Bombs/Dynamite,0,0
15972,198204230003,1982,4,23,Honduras,Central America & Caribbean,,Tegucigalpa,14.0833,-87.2167,,Religious Figures/Institutions,Lorenzo Zelaya Revolutionary Front (LZRF),Explosives/Bombs/Dynamite,0,0
15973,198204230004,1982,4,23,Honduras,Central America & Caribbean,,Tegucigalpa,14.0833,-87.2167,,Educational Institution,Lorenzo Zelaya Revolutionary Front (LZRF),Explosives/Bombs/Dynamite,0,0
16004,198204280006,1982,4,28,Honduras,Central America & Caribbean,,Tegucigalpa,14.0833,-87.2167,,Airports & Aircraft,Lorenzo Zelaya Revolutionary Front (LZRF),Firearms,0,0
16445,198207030002,1982,7,3,Honduras,Central America & Caribbean,,Tegucigalpa,14.0833,-87.2167,,Utilities,Lorenzo Zelaya Revolutionary Front (LZRF),Explosives/Bombs/Dynamite,16,0
16449,198207040004,1982,7,4,Honduras,Central America & Caribbean,,Tegucigalpa,14.0833,-87.2167,,Utilities,Lorenzo Zelaya Revolutionary Front (LZRF),Firearms,0,0
16469,198207080002,1982,7,8,Honduras,Central America & Caribbean,,Tegucigalpa,14.0833,-87.2167,,Police,Lorenzo Zelaya Revolutionary Front (LZRF),Firearms,5,0
16664,198208040005,1982,8,4,Honduras,Central America & Caribbean,,Tegucigalpa,14.0833,-87.2167,,Transportation,Unknown,Explosives/Bombs/Dynamite,0,0
16665,198208040006,1982,8,4,Honduras,Central America & Caribbean,,Tegucigalpa,14.0833,-87.2167,,Business,Lorenzo Zelaya Revolutionary Front (LZRF),Explosives/Bombs/Dynamite,0,4
16666,198208040007,1982,8,4,Honduras,Central America & Caribbean,,Tegucigalpa,14.0833,-87.2167,,Airports & Aircraft,Lorenzo Zelaya Revolutionary Front (LZRF),Explosives/Bombs/Dynamite,0,2
16667,198208040008,1982,8,4,Honduras,Central America & Caribbean,,Tegucigalpa,14.0833,-87.2167,,Airports & Aircraft,Lorenzo Zelaya Revolutionary Front (LZRF),Explosives/Bombs/Dynamite,0,4
16829,198208260003,1982,8,26,Honduras,Central America & Caribbean,,San Pedro Sula,15.50167,-88.02774000000001,,Business,Lorenzo Zelaya Revolutionary Front (LZRF),Explosives/Bombs/Dynamite,0,0
16891,198209020002,1982,9,2,Honduras,Central America & Caribbean,,Comayaguela,14.119229999999998,-87.231951,,Military,Unknown,Unknown,0,0
16892,198209020003,1982,9,2,Honduras,Central America & Caribbean,,Comayaguela,14.119229999999998,-87.231951,,Military,Unknown,Unknown,0,0
16966,198209170007,1982,9,17,Honduras,Central America & Caribbean,,San Pedro Sula,15.50167,-88.02774000000001,,Private Citizens & Property,Cinchoneros Popular Liberation Movement,Firearms,1,2
17174,198210180001,1982,10,18,Honduras,Central America & Caribbean,,Quimistan,15.348939999999999,-88.40308399999999,,Educational Institution,Unknown,Unknown,1,0
17301,198211040001,1982,11,4,Honduras,Central America & Caribbean,,Tegucigalpa,14.0833,-87.2167,,Government (General),Lorenzo Zelaya Revolutionary Front (LZRF),Explosives/Bombs/Dynamite,0,0
17302,198211040002,1982,11,4,Honduras,Central America & Caribbean,,Tegucigalpa,14.0833,-87.2167,,Government (General),Lorenzo Zelaya Revolutionary Front (LZRF),Explosives/Bombs/Dynamite,0,0
17303,198211040003,1982,11,4,Honduras,Central America & Caribbean,,Tegucigalpa,14.0833,-87.2167,,Government (General),Lorenzo Zelaya Revolutionary Front (LZRF),Explosives/Bombs/Dynamite,0,0
17304,198211040004,1982,11,4,Honduras,Central America & Caribbean,,Tegucigalpa,14.0833,-87.2167,,Government (General),Lorenzo Zelaya Revolutionary Front (LZRF),Explosives/Bombs/Dynamite,0,0
17312,198211060001,1982,11,6,Honduras,Central America & Caribbean,,Tegucigalpa,14.0833,-87.2167,,Business,Lorenzo Zelaya Revolutionary Front (LZRF),Explosives/Bombs/Dynamite,0,0
17313,198211060002,1982,11,6,Honduras,Central America & Caribbean,,Tegucigalpa,14.0833,-87.2167,,Business,Lorenzo Zelaya Revolutionary Front (LZRF),Explosives/Bombs/Dynamite,0,0
17314,198211060003,1982,11,6,Honduras,Central America & Caribbean,,Tegucigalpa,14.0833,-87.2167,,Business,Lorenzo Zelaya Revolutionary Front (LZRF),Explosives/Bombs/Dynamite,0,0
17358,198211130001,1982,11,13,Honduras,Central America & Caribbean,,Tegucigalpa,14.0833,-87.2167,,Airports & Aircraft,Unknown,Explosives/Bombs/Dynamite,0,0
17507,198212130005,1982,12,13,Honduras,Central America & Caribbean,El Paraiso,Unknown,14.073692999999999,-86.41873100000001,,Police,Contras,Firearms,0,0
17579,198212230003,1982,12,23,Honduras,Central America & Caribbean,,San Pedro Sula,15.50167,-88.02774000000001,,Journalists & Media,Unknown,Explosives/Bombs/Dynamite,0,0
