,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
64371,199701170007,1997,1,17,Hungary,Eastern Europe,,Budapest,47.498406,19.040758,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
64441,199701270009,1997,1,27,Hungary,Eastern Europe,,Budapest,47.498406,19.040758,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
64462,199701290007,1997,1,29,Hungary,Eastern Europe,,Budapest,47.498406,19.040758,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
64473,199701310005,1997,1,31,Hungary,Eastern Europe,,Budapest,47.498406,19.040758,,Business,Unknown,Incendiary,0,0
64474,199701310006,1997,1,31,Hungary,Eastern Europe,,Budapest,47.498406,19.040758,,Business,Unknown,Explosives/Bombs/Dynamite,2,0
64562,199702030015,1997,2,3,Hungary,Eastern Europe,,Budapest,47.498406,19.040758,,Business,Unknown,Incendiary,0,0
64563,199702030016,1997,2,3,Hungary,Eastern Europe,,Budapest,47.498406,19.040758,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
64591,199702080003,1997,2,8,Hungary,Eastern Europe,,Budapest,47.498406,19.040758,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
64642,199702140006,1997,2,14,Hungary,Eastern Europe,,Budapest,47.498406,19.040758,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
64802,199703110008,1997,3,11,Hungary,Eastern Europe,,Budapest,47.498406,19.040758,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
65458,199706050003,1997,6,5,Hungary,Eastern Europe,,Budapest,47.498406,19.040758,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
65459,199706050004,1997,6,5,Hungary,Eastern Europe,,Budapest,47.498406,19.040758,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
65460,199706050005,1997,6,5,Hungary,Eastern Europe,,Budapest,47.498406,19.040758,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
65461,199706050006,1997,6,5,Hungary,Eastern Europe,,Budapest,47.498406,19.040758,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
65568,199706150008,1997,6,15,Hungary,Eastern Europe,,Budapest,47.498406,19.040758,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
66105,199708050009,1997,8,5,Hungary,Eastern Europe,,Nyiregyhaza,48.03272271,22.0437805,,Private Citizens & Property,Unknown,Melee,1,1
66396,199708300008,1997,8,30,Hungary,Eastern Europe,,Budapest,47.498406,19.040758,,Business,Unknown,Firearms,0,1
