year,injuries,fatalities,region,count
1972,0,0,South Asia,1
1975,0,4,South Asia,1
1976,0,0,South Asia,1
1977,0,0,South Asia,1
1979,19,31,South Asia,20
1980,13,17,South Asia,10
1981,12,24,South Asia,16
1982,102,64,South Asia,13
1983,217,59,South Asia,47
1984,364,195,South Asia,159
1985,79,51,South Asia,39
1986,163,340,South Asia,96
1987,429,506,South Asia,166
1988,1033,966,South Asia,358
1989,769,874,South Asia,324
1990,1042,907,South Asia,349
1991,1326,1113,South Asia,339
1992,917,1152,South Asia,237
1994,405,389,South Asia,107
1995,616,361,South Asia,179
1996,937,569,South Asia,211
1997,1416,853,South Asia,193
1998,411,398,South Asia,61
1999,591,464,South Asia,112
2000,761,671,South Asia,180
2001,1144,660,South Asia,234
2002,1175,593,South Asia,182
2003,1183,472,South Asia,196
2004,949,334,South Asia,108
2005,1216,463,South Asia,145
2006,2138,722,South Asia,167
2007,1187,626,South Asia,149
2008,1759,819,South Asia,533
2009,854,774,South Asia,672
2010,659,812,South Asia,661
2011,727,489,South Asia,644
2012,651,264,South Asia,611
2013,771,467,South Asia,694
2014,776,490,South Asia,860
2015,646,387,South Asia,883
2016,784,462,South Asia,1019
