,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
156863,201601010008,2016,1,1,India,South Asia,Punjab,Pathankot,32.268716999999995,75.655513,"01/01/2016: Assailants kidnapped three people, including superintendent of police Salwinder Singh, on Jammu-Pathankot road in Pathankot city, Punjab state, India. The three hostages were released later the same day. This was one of two attacks carried out by the same assailants on the same day. No group claimed responsibility for the incident.",Police,Unknown,Firearms,0,3
156864,201601010009,2016,1,1,India,South Asia,Punjab,Kathlore,32.244186,75.434659,"01/01/2016: Assailants stabbed Ekagar Singh and stole his vehicle near Kathlore bridge, 35 km from Pathankot city, Punjab state, India. Singh, a civilian, was killed in the attack. This was one of two attacks carried out by the same assailants on the same day. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Melee,1,0
156888,201601010039,2016,1,1,India,South Asia,Bihar,Chirand,25.740541,84.82485799999999,"01/01/2016: An explosive device detonated inside a generator room at a construction site in Chirand village, Bihar state, India. No one was injured, but the room was damaged in the blast. This was one of two related attacks at the construction site on the same day. The Communist Party of India - Maoist (CPI-Maoist) claimed responsibility for the incident and demanded an extortion payment.",Business,Communist Party of India - Maoist (CPI-Maoist),Explosives/Bombs/Dynamite,0,0
156889,201601010040,2016,1,1,India,South Asia,Bihar,Chirand,25.740541,84.82485799999999,"01/01/2016: Explosive devices were discovered and defused at an under-construction bridge in Chirand village, Saran district, Bihar state, India. This was one of two related attacks at the construction site on the same day. The Communist Party of India - Maoist (CPI-Maoist) claimed responsibility for the incident and demanded an extortion payment.",Business,Communist Party of India - Maoist (CPI-Maoist),Explosives/Bombs/Dynamite,0,0
156890,201601010042,2016,1,1,India,South Asia,Assam,Gairong,26.033251,90.664969,"01/01/2016: Assailants abducted Nanhelal Shah, a local trader, from an area near Gairong village, Krishnai, Goalpara district, Assam state, India. The outcome of the kidnapping is unknown. No group claimed responsibility for the incident; however, police officials suspected that the United Liberation Front of Assam (ULFA) was involved.",Private Citizens & Property,United Liberation Front of Assam (ULFA),Unknown,0,0
156897,201601020006,2016,1,2,India,South Asia,Punjab,Pathankot,32.264338,75.642112,"01/02/2016: Assailants and suicide bombers attacked an Indian Air Force (IAF) base in Pathankot city, Pathankot district, Punjab state, India. At least five assailants and seven security personnel were killed and 20 others were injured in the ensuing clash that continued until January 4, 2016. The United Jihad Council claimed responsibility for the incident; however, Indian authorities denied the claim. Jaish-e-Mohammad (JeM) also claimed responsibility for the attack.",Military,United Jihad Council,Explosives/Bombs/Dynamite,12,20
156899,201601020011,2016,1,2,India,South Asia,Meghalaya,Mandangre,25.330177,90.56345,"01/02/2016: Assailants attempted to abduct 15 traders in Mandangre village, Meghalaya state, India. The traders resisted and the assailants opened fire, injuring one person. No group claimed responsibility; however, sources attributed the incident to A'chik Songna An'pachakgipa Kotok (ASAK).",Private Citizens & Property,Achik Songna An'pachakgipa Kotok (ASAK),Firearms,0,1
156905,201601020020,2016,1,2,India,South Asia,Chhattisgarh,Attamipara,18.493249,81.30689,"01/02/2016: Security forces discovered and defused an explosive device near Attamipara, Chhattisgarh state, India. No group claimed responsibility for the incident.",Unknown,Unknown,Explosives/Bombs/Dynamite,0,0
156941,201601030033,2016,1,3,India,South Asia,Odisha,Sirigiri,20.503291,82.604501,"01/03/2016: Assailants set fire to seven pieces of construction equipment in Sirigiri village, Nuapada district, Odisha state, India. No one was injured, but the equipment was damaged. No group claimed responsibility for the incident; however, sources attributed the attack to Maoists.",Business,Maoists,Incendiary,0,0
156945,201601030037,2016,1,3,India,South Asia,Bihar,Aurangabad district,24.745719,84.380489,"01/03/2016: Assailants attacked two civilians identified as Ramvilas Ram and Ramdeep Ram in Aurangabad district, Bihar state, India. Both civilians were injured in the assault. The Communist Party of India - Maoist (CPI-Maoist) claimed responsibility for the incident and demanded an extortion payment.",Government (General),Communist Party of India - Maoist (CPI-Maoist),Unknown,0,2
156980,201601040038,2016,1,4,India,South Asia,Chhattisgarh,Aranpur,18.490897,81.29308,"01/04/2016: Five explosive devices were discovered and defused in Aranpur area, Chhattisgarh state, India. The devices were thought to be targeting Indian Armed Forces soldiers. No group claimed responsibility; however, sources attributed the incident to Maoists.",Military,Maoists,Explosives/Bombs/Dynamite,0,0
156987,201601040045,2016,1,4,India,South Asia,Meghalaya,Nangapa,25.651417000000002,90.60741,"01/04/2016: Assailants abducted Kali Biswas, a local trader, from Nangapa, between Dagal and Songsak, Meghalaya state, India. Biswas was killed and his body was discovered on January 12, 2016. The Garo National Liberation Army claimed responsibility for the incident and demanded a ransom in exchange for the victim.",Business,Garo National Liberation Army,Firearms,1,0
157013,201601050028,2016,1,5,India,South Asia,Andhra Pradesh,Jerrila,17.951783,82.304488,"01/05/2016: Assailants abducted a Telugu Desam Party (TDP) leader in Jerrila village, Andhra Pradesh state, India. The leader, Sagina Venkatramana, was killed shortly after the abduction. The Communist Party of India - Maoist (CPI-Maoist) claimed responsibility for the incident and stated that Sagina Venkatramana was targeted for falsifying signatures in order to pass a mining resolution.",Private Citizens & Property,Communist Party of India - Maoist (CPI-Maoist),Firearms,1,0
157014,201601050029,2016,1,5,India,South Asia,Andhra Pradesh,Manchangiputta,18.13407,82.618672,"01/05/2016: Assailants abducted and killed Pangi Sivayya, a suspected police informant, in Manchangiputta, Andhra Pradesh state, India. No group claimed responsibility for the incident; however, sources attributed the attack to the Communist Party of India - Maoist (CPI-Maoist).",Private Citizens & Property,Communist Party of India - Maoist (CPI-Maoist),Unknown,1,0
157019,201601050044,2016,1,5,India,South Asia,Tamil Nadu,Madurai,9.925267,78.119732,"01/05/2016: Assailants threw a petrol bomb at a public restroom near the Sri Meenakshi Temple in Madurai city, Tamil Nadu state, India. This was one of three related petrol bomb attacks that occurred near the aforementioned temple in Madurai on this date. There were no reported casualties. No group claimed responsibility for the incidents.",Private Citizens & Property,Unknown,Incendiary,0,0
157020,201601050045,2016,1,5,India,South Asia,Tamil Nadu,Madurai,9.925201,78.119775,"01/05/2016: Assailants threw a petrol bomb near the Sri Meenakshi Temple in Madurai city, Tamil Nadu state, India. This was one of three related petrol bomb attacks that occurred near the aforementioned temple in Madurai on this date. There were no reported casualties. No group claimed responsibility for the incidents.",Unknown,Unknown,Incendiary,0,0
157021,201601050046,2016,1,5,India,South Asia,Tamil Nadu,Madurai,9.924872,78.112438,"01/05/2016: Assailants threw a petrol bomb near the Sri Meenakshi Temple in Madurai city, Tamil Nadu state, India. This was one of three related petrol bomb attacks that occurred near the aforementioned temple in Madurai on this date. There were no reported casualties. No group claimed responsibility for the incidents.",Unknown,Unknown,Incendiary,0,0
157027,201601050052,2016,1,5,India,South Asia,Jharkhand,Sondari,23.064821,85.273322,"01/05/2016: Assailants abducted two people from Sondari village, Jharkhand state, India. The two hostages were shot and killed shortly after the kidnapping. No group claimed responsibility for the incident; however, sources attributed the attack to the People's Liberation Front of India.",Private Citizens & Property,People's Liberation Front of India,Firearms,2,0
157028,201601050053,2016,1,5,India,South Asia,Chhattisgarh,Tarrem,18.487408,80.97488100000001,"01/05/2016: A pipe bomb detonated targeting a Commando Battalion for Resolute Action (COBRA) patrol near Tarrem village, Chhattisgarh state, India. There were no reported casualties. No group claimed responsibility for the incident; however, sources attributed the attack to Maoists.",Military,Maoists,Explosives/Bombs/Dynamite,0,0
157056,201601060032,2016,1,6,India,South Asia,Chhattisgarh,Mirtur,18.881486,81.152792,"01/06/2016: Assailants dragged a civilian, Sukhram Kadti, out of his house and killed him in Mirtur area, Chhattisgarh state, India. No group claimed responsibility; however, sources attributed the incident to Maoists.",Private Citizens & Property,Maoists,Firearms,1,0
157064,201601060042,2016,1,6,India,South Asia,Jammu and Kashmir,Anantnag district,33.705026000000004,75.247849,"01/06/2016: Assailants threw a grenade at a Central Reserve Police Force (CRPF) camp in Anantnag district, Jammu and Kashmir state, India. There were no reported casualties in the blast. No group claimed responsibility for the incident.",Police,Unknown,Explosives/Bombs/Dynamite,0,0
157091,201601070033,2016,1,7,India,South Asia,Odisha,Dandabadi,18.723419,82.20971800000001,"01/07/2016: Assailants abducted Bapi Samant, a trader, and two other family members in Dandabadi village, Odisha state, India. Samant's throat was slit and he was shot dead several hours later. The two family members were released unharmed. The Communist Party of India - Maoist (CPI-Maoist) claimed responsibility for the incident and stated that Bapi Samant was targeted because the group believed he was a police informant.",Private Citizens & Property,Communist Party of India - Maoist (CPI-Maoist),Firearms,1,0
157094,201601070036,2016,1,7,India,South Asia,Chhattisgarh,Konta,17.818642999999998,81.381156,"01/07/2016: Assailants beheaded Karam Dave in his residence in Konta area, Chhattisgarh state, India. Another civilian was injured in the attack. No group claimed responsibility; however, sources attributed the incident to Maoists.",Private Citizens & Property,Maoists,Melee,1,1
157097,201601070043,2016,1,7,India,South Asia,Manipur,Imphal,24.751282,93.938964,"01/07/2016: Assailants threw a grenade at the house of Doctor Chanam Manglem Singh in Khongman area, East Imphal district, Manipur state, India. There were no reported casualties in the blast. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
157101,201601070047,2016,1,7,India,South Asia,Odisha,Nuadihi,21.805176,83.606235,"01/07/2016: Assailants set fire to construction equipment in Nuadihi village, Odisha state, India. There were no reported casualties. The Communist Party of India - Maoist (CPI-Maoist) claimed responsibility for the incident and demanded that the workers cease their construction on the road.",Business,Communist Party of India - Maoist (CPI-Maoist),Incendiary,0,0
157116,201601080015,2016,1,8,India,South Asia,Odisha,Kaliajhola,19.006331,82.9993,"01/08/2016: An explosive device detonated near a Border Security Force (BSF) motorcycle in Kaliajhola, Odisha state, India. At least two soldiers were killed in the blast. No group claimed responsibility; however, sources attributed the attack to the Communist Party of India - Maoist (CPI-Maoist).",Military,Communist Party of India - Maoist (CPI-Maoist),Explosives/Bombs/Dynamite,2,0
157122,201601080021,2016,1,8,India,South Asia,Chhattisgarh,Muskel,18.852033,81.48767600000001,"01/08/2016: Assailants set fire to four construction vehicles in Muskel, Chhattisgarh state, India. There were no reported casualties in the attack. No group claimed responsibility; however, sources attributed the attack to Maoists.",Business,Maoists,Incendiary,0,0
157129,201601090001,2016,1,9,India,South Asia,Meghalaya,Williamnagar,25.495813000000002,90.61666899999999,"01/09/2016: An explosive device detonated in the Warimong Wine Shop in Williamnagar, Meghalaya state, India. At least nine people were injured in the blast. The Achik Matgrik Army (AMA) claimed responsibility and stated that the shop was targeted for selling alcohol and cigarettes to underage individuals. However, authorities attributed the attack to the Garo National Liberation Army, which denied involvement.",Business,Achik Matgrik Army (AMA),Explosives/Bombs/Dynamite,0,9
157153,201601090037,2016,1,9,India,South Asia,Punjab,Bahian,31.978098,75.408713,"01/09/2016: Assailants assaulted laborers in Bahian, Punjab state, India. There were an unknown number people injured in the attack. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Melee,0,0
157175,201601100029,2016,1,10,India,South Asia,Tamil Nadu,Madurai,9.925201,78.119775,"01/10/2016: Assailants threw explosive and incendiary devices at the office of Sellur K. Raju in Sammattipuram neighborhood, Madurai, Tamil Nadu state, India. Raju, the State Minister for Cooperation, was not harmed as there were no reported casualties in the attack. This was one of two similar incidents targeting All India Anna Dravida Munnetra Kazhagam (AIADMK) offices and politicians in Madurai on the same day. No group claimed responsibility for the attack.",Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
157176,201601100030,2016,1,10,India,South Asia,Tamil Nadu,Madurai,9.923836999999999,78.135776,"01/10/2016: Assailants threw explosive devices and incendiary devices at the All India Anna Dravida Munnetra Kazhagam (AIADMK) office in Mathichiyam neighborhood, Madurai, Tamil Nadu state, India. There were no reported casualties in the attack. This was one of two similar incidents targeting AIADMK offices and politicians in Madurai on the same day. No group claimed responsibility for the attack.",Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
157182,201601100037,2016,1,10,India,South Asia,Odisha,Adava,19.495566,84.178966,"01/10/2016: An explosive device was discovered and defused in Adava, Odisha state, India. No group claimed responsibility; however, sources attributed the attack to the Maoists.",Unknown,Maoists,Explosives/Bombs/Dynamite,0,0
157257,201601110079,2016,1,11,India,South Asia,Jammu and Kashmir,Srinagar,34.083671,74.797283,"01/11/2016: Assailants attacked an Indian Armed Forces patrol in Zakoora neighborhood, Srinagar, Jammu and Kashmir state, India. There were no reported casualties in the incident. No group claimed responsibility for the attack.",Military,Unknown,Unknown,0,0
157278,201601120027,2016,1,10,India,South Asia,Tamil Nadu,Madurai,9.90565,78.109626,"01/10/2016: At least one explosive device and two incendiary devices were discovered and defused at an All India Anna Dravida Munnetra Kazhagam (AIADMK) meeting in Jaihindpuram neighborhood, Madurai, Tamil Nadu state, India. No group claimed responsibility for the attack.",Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
157291,201601120044,2016,1,12,India,South Asia,Bihar,Gaya district,24.795451999999997,84.999431,"01/12/2016: Assailants set fire to construction equipment in Gaya district, Bihar state, India. There were no reported casualties in the attack. The People's Liberation Front of India claimed responsibility for the incident.",Business,People's Liberation Front of India,Incendiary,0,0
157295,201601120053,2016,1,12,India,South Asia,Bihar,Pipghati,24.533555,84.906028,"01/12/2016: Assailants attacked a gas station owned by Jamuna Singh, a former Jharkhand minister, in Pipghati, Bihar state, India. An unknown number of employees were injured in the incident. No group claimed responsibility; however, sources attributed the attack to the People's Liberation Front of India.",Business,People's Liberation Front of India,Incendiary,0,0
157324,201601130046,2016,1,13,India,South Asia,Meghalaya,Silkigre,25.513607,90.204298,"01/13/2016: Assailants abducted two people, a bus driver and a conductor, in Silkigre, Meghalaya state, India. The outcome of the kidnapping is unknown. No group claimed responsibility; however, sources suspected that the attack was carried out by the Achik Songna An'pachakgipa Kotok (ASAK).",Transportation,Achik Songna An'pachakgipa Kotok (ASAK),Firearms,0,0
157326,201601130048,2016,1,13,India,South Asia,Chhattisgarh,Bijapur district,18.796075,80.821506,"01/13/2016: An explosive device detonated in Bijapur district, Chhattisgarh state, India. At least two people were injured in the blast. No group claimed responsibility; however, sources attributed the attack to Maoists.",Private Citizens & Property,Maoists,Explosives/Bombs/Dynamite,0,2
157331,201601130057,2016,1,13,India,South Asia,Odisha,Jagatsinghpur district,20.234637,86.382488,"01/13/2016: An explosive device detonated as a child was picking it up in a field near Allipingal Upper Primary School in Jagatsinghpur district, Odisha state, India. The child was injured in the blast. No group claimed responsibility for the attack.",Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,1
157332,201601130058,2016,1,13,India,South Asia,Odisha,Puri,19.809053,85.848946,"01/13/2016: An explosive device detonated in Penthakata neighborhood, Puri, Odisha state, India. At least three people were injured in the blast. No group claimed responsibility for the attack.",Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,3
157356,201601140025,2016,1,13,India,South Asia,Odisha,Goshaninuagon,19.528574,84.82515,"01/13/2016: An explosive device detonated outside of a house in Goshaninuagon, Ganjam district, Odisha state, India. There were no reported casualties in the blast. No group claimed responsibility for the attack.",Unknown,Unknown,Explosives/Bombs/Dynamite,0,0
157365,201601140037,2016,1,14,India,South Asia,Delhi,Delhi,28.629263,77.223821,"01/14/2016: Assailants attacked a Pakistan International Airlines (PIA) office on Barakhamba Road in Delhi city, Delhi state, India. There were no reported casualties in the incident. Hindu Illaignar Sena claimed responsibility and stated that the attack was carried out in protest to the Pathankot and Indian consulate attacks.",Airports & Aircraft,Hindu Illaignar Sena,Unknown,0,0
157366,201601140044,2016,1,14,India,South Asia,Odisha,Bargi,18.878270999999998,83.168806,"01/14/2016: Assailants attacked and killed a suspected police informer in Bargi, Odisha state, India. Maoists claimed responsibility for the incident.",Private Citizens & Property,Maoists,Firearms,1,0
157372,201601140051,2016,1,14,India,South Asia,Bihar,Samastipur district,25.862459,85.781044,"01/14/2016: Assailants opened fire on Chhantu Bhagat in Samastipur district, Bihar state, India. Bhagat, a Rashtriya Janata Dal (RJD) leader, was killed in the assault. No group claimed responsibility for the attack.",Violent Political Party,Unknown,Firearms,1,0
157387,201601150038,2016,1,15,India,South Asia,Haryana,Panipat,29.391889000000003,76.964477,"01/15/2016: An explosive device detonated on an Indian Railways train at a station in Panipat, Haryana state, India. There were no reported casualties in the blast. No group claimed responsibility for the incident; however, sources suspected that the Students Islamic Movement of India (SIMI) was involved.",Transportation,Students Islamic Movement of India (SIMI),Explosives/Bombs/Dynamite,0,0
157395,201601150048,2016,1,15,India,South Asia,Meghalaya,Wageasi,25.898768,90.487362,"01/15/2016: Assailants abducted seven traders near Wageasi, Meghalaya state, India. One hostage escaped and the remaining six victims were released on January 20, 2016. No group claimed responsibility; however, sources suspected that the attack was carried out by the Achik National Liberation Army (ANLA).",Private Citizens & Property,Achik National Liberation Army (ANLA),Firearms,0,0
157402,201601150057,2016,1,15,India,South Asia,Chhattisgarh,Bijapur district,18.796075,80.821506,"01/15/2016: Assailants opened fire on Indian Police Service (IPS) officers in Bijapur district, Chhattisgarh state, India. At least four assailants were killed in the ensuing clash. No group claimed responsibility; however, sources attributed the attack to Maoists.",Police,Maoists,Firearms,4,0
157405,201601150060,2016,1,15,India,South Asia,Jammu and Kashmir,Gulab Taing,33.748807,74.87834699999999,"01/15/2016: An explosive device was discovered and defused in Gulab Taing, Jammu and Kashmir state, India. No group claimed responsibility for the attack.",Unknown,Unknown,Explosives/Bombs/Dynamite,0,0
157406,201601150061,2016,1,15,India,South Asia,Odisha,Kondatikarapada,18.880337,83.16758399999999,"01/15/2016: Assailants attacked Krishna Miniaka in Kondatikarapada, Koraput district, Odisha state, India. Miniaka, a former village head, was killed in the incident. The Communist Party of India - Maoist (CPI-Maoist) claimed responsibility and stated that the victim was targeted because the group believed he was an informant.",Government (General),Communist Party of India - Maoist (CPI-Maoist),Melee,1,0
157453,201601160039,2016,1,16,India,South Asia,Kerala,Payyanur,12.110783999999999,75.21031500000001,"01/16/2016: Assailants threw an explosive device at a Circle Inspector's residence in Payyanur city, Kerala state, India. No one was injured in the blast. This was one of two related attacks on police quarters on the same day. No group claimed responsibility for the incident; however, sources suspected the involvement of the Democratic Youth Federation of India (DYFI).",Police,Democratic Youth Federation of India (DYFI),Explosives/Bombs/Dynamite,0,0
157454,201601160040,2016,1,16,India,South Asia,Kerala,Payyanur,12.10497,75.205696,"01/16/2016: Assailants threw an explosive device at the residence of a Payyanur police sub-inspector in Payyanur city, Kerala state, India. No one was injured in the blast. This was one of two related attacks on the same day. No group claimed responsibility for the incident; however, sources suspected the involvement of the Democratic Youth Federation of India (DYFI).",Police,Democratic Youth Federation of India (DYFI),Explosives/Bombs/Dynamite,0,0
157466,201601160065,2016,1,16,India,South Asia,Bihar,Veena,26.283863,86.82222900000001,"01/16/2016: An explosive device detonated in Veena village, Bihar state, India. A civilian was injured in the blast; additionally, five other explosive devices were discovered and defused following the blast. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,1
157502,201601170040,2016,1,17,India,South Asia,Andhra Pradesh,Bachuvaripalem,15.755863,80.314431,"01/17/2016: Two explosive devices detonated near the Polleramma Temple in Bachuvaripalem, Andhra Pradesh, India. Four people were injured in the blast. No group claimed responsibility for the incident.",Religious Figures/Institutions,Unknown,Explosives/Bombs/Dynamite,0,4
157508,201601170049,2016,1,17,India,South Asia,Chhattisgarh,Manpur,21.186332999999998,82.298903,"01/17/2016: Three explosive devices targeting security personnel were found and defused in Nideli forest, Manpur, Chhattisgarh, India. No group claimed responsibility for the incident.",Military,Unknown,Explosives/Bombs/Dynamite,0,0
