year,injuries,fatalities,region,count
1977,1,1,Southeast Asia,1
1978,1,0,Southeast Asia,2
1981,0,4,Southeast Asia,1
1984,0,2,Southeast Asia,2
1985,14,7,Southeast Asia,2
1986,2,0,Southeast Asia,4
1989,27,85,Southeast Asia,2
1990,0,12,Southeast Asia,3
1991,60,21,Southeast Asia,7
1992,0,33,Southeast Asia,4
1994,6,1,Southeast Asia,5
1995,51,41,Southeast Asia,24
1996,188,30,Southeast Asia,65
1997,99,102,Southeast Asia,28
1998,5,9,Southeast Asia,3
1999,79,67,Southeast Asia,60
2000,336,146,Southeast Asia,101
2001,176,134,Southeast Asia,105
2002,535,246,Southeast Asia,43
2003,166,26,Southeast Asia,18
2004,238,42,Southeast Asia,17
2005,171,66,Southeast Asia,15
2006,6,6,Southeast Asia,10
2007,1,0,Southeast Asia,2
2008,0,0,Southeast Asia,13
2009,62,15,Southeast Asia,19
2010,6,0,Southeast Asia,4
2011,70,20,Southeast Asia,21
2012,20,15,Southeast Asia,39
2013,16,23,Southeast Asia,32
2014,30,20,Southeast Asia,35
2015,17,22,Southeast Asia,29
2016,35,22,Southeast Asia,19
