,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
71649,200101160002,2001,1,16,Indonesia,Southeast Asia,Irian Jaya (Province),Merauke,-8.496041,140.394553,"01/16/2001: Rebels associated with the Free Papua Movement (OPM) kidnapped 16 people from the town of Merauke, Indonesia. The group asked for $1 million U.S., the removal of police forces from the Asiki region and a halt to all logging. 13 hostages were freed on January 29, 2001 while the last 3 were released February 7, 2001.",Business,Free Papua Movement (OPM-Organisasi Papua Merdeka),Firearms,0,0
71650,200101160003,2001,1,16,Indonesia,Southeast Asia,North Seram (Sub district),Wahai,-2.794995,129.49339799999998,"01/16/2001: A homemade bomb went off in a hotel in Wahai, Indonesia. Authorities believe the attackers were transmigrants from Central Maluku. This bombing was linked to two others the same day. There were no reported casualties.",Business,Unknown,Explosives/Bombs/Dynamite,0,0
71651,200101160004,2001,1,16,Indonesia,Southeast Asia,North Seram (Sub district),Wahai,-2.794995,129.49339799999998,"01/16/2001: A homemade bomb went off in a government office in the North Seram Sub district, Indonesia. Authorities believe the attackers were transmigrants from Central Maluku. This bombing was linked to two others the same day. There were no reported injuries.",Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
71652,200101160005,2001,1,16,Indonesia,Southeast Asia,Maluku (Province),Ambon,-3.648426,128.16576,"01/16/2001: Homemade bombs went off in radio, telecommunication and government offices in Ambon in Indonesia. Authorities believe the attackers were from Central Maluku. This bombing was linked to two others the same day. There were no reported casualties.",Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
71665,200101190001,2001,1,19,Indonesia,Southeast Asia,Jakarta (Capital City District),Jakarta,-6.2088209999999995,106.846046,"01/19/2001: Three bombs were found in the parking lot of the Taman Mini Amusement Park in Jakarta, Indonesia. The bomb squad was able to defuse the bombs before they could do any damage. Two unknown women were responsible.",Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
71752,200102030005,2001,2,3,Indonesia,Southeast Asia,Aceh,Langsa,4.472565,97.97310300000001,"2/3/2001: Unidentified gunmen attacked the Kebun Baru palm-oil plantation near Langsa, Birem Bayeun district in Aceh province, Indonesia.  The assailants dragged five plantation workers from their homes, killing three of them and seriously injuring the other two.   They also burned down eight homes and two kiosks.  No group has claimed responsibility for the attack.",Business,Gunmen,Firearms,3,2
71833,200102180003,2001,2,18,Indonesia,Southeast Asia,Aceh,Sungai Pauh,4.474444,97.983889,"2/18/2001: The body of Rusli Radja, a journalist, and the body of a public transport worker were found along the roadside in Sungai Pauh village in East Aceh province, Indonesia.  The bodies bore bullet wounds and marks signifying torture.  No group has claimed responsibility for the attack and motive is unclear.",Journalists & Media,Unknown,Firearms,2,0
71864,200102260004,2001,2,26,Indonesia,Southeast Asia,Aceh,Lhokseumawe,5.183798,97.141575,"2/26/2001: Three male bodies were discovered near Lhokseumawe, Aceh province, Indonesia.  The bodies were eventually identified as belonging to three missing residents of Bireun regency.  The motive behind the attack is unknown and no group has claimed responsibility for the attack.",Private Citizens & Property,Unknown,Unknown,3,0
71866,200102260006,2001,2,26,Indonesia,Southeast Asia,Aceh,Lhokseumawe,5.183798,97.141575,"2/26/2001: Two male bodies were discovered near Lhokseumawe, Aceh province, Indonesia.  The bodies were not identified.  The motive behind the attack is unknown and no group has claimed responsibility for the attack.",Private Citizens & Property,Unknown,Unknown,2,0
71867,200102260007,2001,2,26,Indonesia,Southeast Asia,Aceh,Banda Aceh,5.554139,95.316668,"2/26/2001: Three bodies were discovered near Alur Gading, Aceh, Indonesia.  The bodies belonged to a husband and wife couple, and a third person; they had been beaten and then killed.  No group has claimed responsibility for the attack and the motive is unknown.",Private Citizens & Property,Unknown,Melee,3,0
71943,200103110006,2001,3,11,Indonesia,Southeast Asia,Aceh,Garot Kupula Jurong,4.696879,96.776733,"3/11/2001: Early in the morning, Teuku Iskandar and his wife, Rasyidah, were shot and killed in their village home in Garot Kupula Jurong, Pidie district, Indonesia.  No group claimed responsibility for the incident, although sources note that T. Mulyadi, an officer and the couple's son, had been kidnapped two months before and had not yet been found.",Private Citizens & Property,Unknown,Firearms,2,0
71954,200103130003,2001,3,13,Indonesia,Southeast Asia,Jakarta,Jakarta,-6.2088209999999995,106.846046,"3/13/2001: A live grenade was removed from St. Carolus Catholic Hospital by the bomb squad after the grenade was discovered by hospital workers around 6:30am in Jakarta, Indonesia.  A faxed letter sent to the hospital two weeks earlier mentioned the planted explosives and requested 30 million rupiah (approximately $3400 US dollars) or there would be a bombing at the hospital.  No group claimed responsibility for planting the explosive.",Business,Unknown,Explosives/Bombs/Dynamite,0,0
71972,200103170002,2001,3,17,Indonesia,Southeast Asia,Banten (Province),Tangerang,-6.178306,106.63188899999999,"03/17/2001: Unknown perpetrators planted a bomb that exploded and damaged railroad track that ran across the Cisadane River which connected the cities of Merak and Jakarta in Indonesia. No casualties resulted from the attack, but train services were suspended for seven hours. No group claimed responsibility for the attack.",Transportation,Unknown,Explosives/Bombs/Dynamite,0,0
71980,200103180004,2001,3,18,Indonesia,Southeast Asia,Central Kalimantan,Sampit,-2.5333330000000003,112.95,"03/18/2001: The bodies of eight Madurese men who were hiding in a forest were found dead after they had briefly come out of hiding to get food and check on their homes in Sampit, Central Kalimantan province, Borneo, Indonesia.  At least one of the men had been decapitated.  Authorities said that individuals belonging to Dayak gangs were responsible for the killings, although no claim of responsibility was made.",Private Citizens & Property,Dayak gang,Unknown,8,0
71985,200103190004,2001,3,19,Indonesia,Southeast Asia,Aceh (Province),Banda Aceh,5.554139,95.316668,"03/19/2001: Suspected Free Aceh Movement rebels shot a policeman, private Bakri, in his car in Banda Aceh, Indonesia.",Police,Free Aceh Movement (GAM),Firearms,1,0
