year,injuries,fatalities,region,count
1970,1,0,Middle East & North Africa,5
1971,0,4,Middle East & North Africa,11
1972,3,1,Middle East & North Africa,15
1973,0,1,Middle East & North Africa,4
1974,0,1,Middle East & North Africa,11
1975,0,8,Middle East & North Africa,13
1976,0,5,Middle East & North Africa,4
1977,1,2,Middle East & North Africa,5
1978,60,447,Middle East & North Africa,27
1979,251,57,Middle East & North Africa,82
1980,381,55,Middle East & North Africa,67
1981,263,224,Middle East & North Africa,108
1982,985,139,Middle East & North Africa,27
1983,6,0,Middle East & North Africa,10
1984,355,29,Middle East & North Africa,17
1985,52,22,Middle East & North Africa,3
1986,144,39,Middle East & North Africa,6
1987,0,0,Middle East & North Africa,1
1988,7,18,Middle East & North Africa,6
1989,0,14,Middle East & North Africa,6
1990,2,10,Middle East & North Africa,11
1991,0,2,Middle East & North Africa,9
1992,5,9,Middle East & North Africa,16
1994,327,74,Middle East & North Africa,43
1995,11,0,Middle East & North Africa,8
1996,2,3,Middle East & North Africa,3
1997,102,4,Middle East & North Africa,2
1998,6,6,Middle East & North Africa,5
1999,16,4,Middle East & North Africa,8
2000,29,5,Middle East & North Africa,15
2001,0,0,Middle East & North Africa,4
2003,0,0,Middle East & North Africa,2
2005,191,13,Middle East & North Africa,5
2006,41,48,Middle East & North Africa,14
2007,5,24,Middle East & North Africa,9
2008,220,26,Middle East & North Africa,8
2009,83,97,Middle East & North Africa,15
2010,450,115,Middle East & North Africa,14
2011,13,18,Middle East & North Africa,13
2012,11,12,Middle East & North Africa,5
2013,17,39,Middle East & North Africa,11
2014,5,13,Middle East & North Africa,9
2015,11,38,Middle East & North Africa,9
2016,8,12,Middle East & North Africa,10
