,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
12574,198101120001,1981,1,12,Iran,Middle East & North Africa,Tehran,Tehran,35.696442,51.422973999999996,,Religious Figures/Institutions,Unknown,Firearms,1,0
12886,198102210003,1981,2,21,Iran,Middle East & North Africa,Tehran,Tehran,35.696442,51.422973999999996,,Transportation,Unknown,Explosives/Bombs/Dynamite,0,15
13011,198103120005,1981,3,12,Iran,Middle East & North Africa,Tehran,Tehran,35.696442,51.422973999999996,,Government (Diplomatic),Armenian Secret Army for the Liberation of Armenia,Unknown,2,0
13114,198103290004,1981,3,29,Iran,Middle East & North Africa,Fars,Shiraz,29.591325,52.58361,,Government (General),Forqan Group,Firearms,0,1
13133,198104000003,1981,4,0,Iran,Middle East & North Africa,Tehran,Tehran,35.696442,51.422973999999996,,Government (General),Unknown,Explosives/Bombs/Dynamite,2,0
13169,198104030008,1981,4,3,Iran,Middle East & North Africa,Qom,Qom,34.640097,50.875948,,Religious Figures/Institutions,Unknown,Explosives/Bombs/Dynamite,0,23
13263,198104220001,1981,4,22,Iran,Middle East & North Africa,Tehran,Tehran,35.696442,51.422973999999996,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,2,10
13284,198104240007,1981,4,24,Iran,Middle East & North Africa,Tehran,Tehran,35.696442,51.422973999999996,,Government (Diplomatic),Armenian Secret Army for the Liberation of Armenia,Firearms,0,0
13286,198104250002,1981,4,25,Iran,Middle East & North Africa,Kermanshah,Kermanshah,34.267394,47.11118,,Transportation,Unknown,Explosives/Bombs/Dynamite,7,35
13343,198105010003,1981,5,1,Iran,Middle East & North Africa,Tehran,Tehran,35.696442,51.422973999999996,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,2,1
13488,198105180007,1981,5,18,Iran,Middle East & North Africa,Khuzestan,Bandar Mehshahr,30.5588,49.1981,,Utilities,Counter-revolutionaries,Explosives/Bombs/Dynamite,0,4
13677,198106190019,1981,6,19,Iran,Middle East & North Africa,Tehran,Tehran,35.696442,51.422973999999996,,Airports & Aircraft,Ninth of June Organization,Unknown,0,0
13692,198106230003,1981,6,23,Iran,Middle East & North Africa,Gilan,Zomeydan,37.16361,50.060559999999995,,Transportation,Unknown,Explosives/Bombs/Dynamite,6,50
13718,198106270001,1981,6,27,Iran,Middle East & North Africa,Tehran,Tehran,35.696442,51.422973999999996,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,1
13720,198106270003,1981,6,27,Iran,Middle East & North Africa,Tehran,Tehran,35.696442,51.422973999999996,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
13721,198106270004,1981,6,27,Iran,Middle East & North Africa,Tehran,Tehran,35.696442,51.422973999999996,,Private Citizens & Property,Unknown,Unknown,0,0
13726,198106280003,1981,6,28,Iran,Middle East & North Africa,Tehran,Tehran,35.696442,51.422973999999996,,Government (General),Unknown,Explosives/Bombs/Dynamite,74,0
13727,198106280004,1981,6,28,Iran,Middle East & North Africa,Tehran,Tehran,35.696442,51.422973999999996,,Airports & Aircraft,Ninth of June Organization,Explosives/Bombs/Dynamite,0,0
13732,198106300001,1981,6,30,Iran,Middle East & North Africa,Unknown,Unknown,,,,Police,Unknown,Firearms,1,0
13737,198107000001,1981,7,0,Iran,Middle East & North Africa,Fars,Shiraz,29.591325,52.58361,,Government (General),Counter-revolutionaries,Firearms,4,4
13738,198107000002,1981,7,0,Iran,Middle East & North Africa,Fars,Shiraz,29.591325,52.58361,,Private Citizens & Property,Counter-revolutionaries,Incendiary,0,0
13761,198107060001,1981,7,6,Iran,Middle East & North Africa,Gilan,Rasht,37.281069,49.583003999999995,,Government (General),Unknown,Firearms,1,1
13785,198107130001,1981,7,13,Iran,Middle East & North Africa,Tehran,Tehran,35.696442,51.422973999999996,,Military,Unknown,Explosives/Bombs/Dynamite,0,1
13786,198107130002,1981,7,13,Iran,Middle East & North Africa,Tehran,Tehran,35.696442,51.422973999999996,,Police,Unknown,Explosives/Bombs/Dynamite,0,4
13787,198107130003,1981,7,13,Iran,Middle East & North Africa,Tehran,Tehran,35.696442,51.422973999999996,,Police,Unknown,Explosives/Bombs/Dynamite,0,0
13799,198107140006,1981,7,14,Iran,Middle East & North Africa,Tehran,Tehran,35.696442,51.422973999999996,,Military,Unknown,Explosives/Bombs/Dynamite,0,1
13800,198107140007,1981,7,14,Iran,Middle East & North Africa,Tehran,Tehran,35.696442,51.422973999999996,,Business,Unknown,Incendiary,0,0
13802,198107140009,1981,7,14,Iran,Middle East & North Africa,Tehran,Tehran,35.696442,51.422973999999996,,Journalists & Media,Unknown,Explosives/Bombs/Dynamite,0,0
13803,198107140010,1981,7,14,Iran,Middle East & North Africa,Tehran,Tehran,35.696442,51.422973999999996,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
13832,198107190001,1981,7,19,Iran,Middle East & North Africa,Kordestan,Unknown,35.81855,47.061679999999996,,Educational Institution,Kurdish guerrillas,Unknown,1,0
13840,198107190009,1981,7,19,Iran,Middle East & North Africa,Tehran,Tehran,35.696442,51.422973999999996,,Government (General),Unknown,Incendiary,0,0
13841,198107200001,1981,7,20,Iran,Middle East & North Africa,Tehran,Tehran,35.696442,51.422973999999996,,Government (General),Unknown,Firearms,1,3
13843,198107200003,1981,7,20,Iran,Middle East & North Africa,Tehran,Tehran,35.696442,51.422973999999996,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
13866,198107230001,1981,7,23,Iran,Middle East & North Africa,Esfahan,Isfahan,32.65246,51.674620000000004,,Government (General),Unknown,Firearms,2,0
13874,198107240001,1981,7,24,Iran,Middle East & North Africa,Unknown,Unknown,,,,Military,Mujahedin-e Khalq (MEK),Firearms,1,0
13875,198107240002,1981,7,24,Iran,Middle East & North Africa,Unknown,Unknown,,,,Military,Unknown,Firearms,1,0
13877,198107240004,1981,7,24,Iran,Middle East & North Africa,Tehran,Tehran,35.696442,51.422973999999996,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,1,0
13878,198107240005,1981,7,24,Iran,Middle East & North Africa,Tehran,Rey,35.598499,51.439506,,Transportation,Unknown,Explosives/Bombs/Dynamite,2,2
13879,198107240006,1981,7,24,Iran,Middle East & North Africa,Kohgiluyeh and Buyer Ahmad,Gachsaran,30.359651,50.797219,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
13881,198107250001,1981,7,25,Iran,Middle East & North Africa,West Azerbaijan,Bukan,36.519442,46.209109999999995,,Utilities,Counter-revolutionaries,Firearms,2,0
13886,198107260001,1981,7,26,Iran,Middle East & North Africa,Mazandaran,Chalus,36.655,51.4204,,Government (General),Mujahedin-e Khalq (MEK),Explosives/Bombs/Dynamite,0,0
13892,198107270007,1981,7,27,Iran,Middle East & North Africa,Kordestan,Baneh,35.995571000000005,45.886588,,Religious Figures/Institutions,Democratic Party,Unknown,0,0
13893,198107270008,1981,7,27,Iran,Middle East & North Africa,Tehran,Tehran,35.696442,51.422973999999996,,Business,Unknown,Explosives/Bombs/Dynamite,9,0
13912,198107290001,1981,7,29,Iran,Middle East & North Africa,Unknown,Unknown,,,,Government (General),Counter-revolutionaries,Unknown,1,0
13933,198108000001,1981,8,0,Iran,Middle East & North Africa,Golestan,Aram,37.320405,55.305057999999995,,Private Citizens & Property,Counter-revolutionaries,Incendiary,0,0
13934,198108010001,1981,8,1,Iran,Middle East & North Africa,Fars,Kazerun,29.617603000000003,51.652474,,Religious Figures/Institutions,Counter-revolutionaries,Firearms,1,0
13956,198108030004,1981,8,3,Iran,Middle East & North Africa,Kermanshah,Kermanshah,34.267394,47.11118,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,13,0
13957,198108030005,1981,8,3,Iran,Middle East & North Africa,Tehran,Tehran,35.696442,51.422973999999996,,Government (General),Mujahedin-e Khalq (MEK),Explosives/Bombs/Dynamite,7,10
13958,198108030006,1981,8,3,Iran,Middle East & North Africa,Hamadan,Hamadan,34.792639,48.517697999999996,,Business,Unknown,Explosives/Bombs/Dynamite,1,0
13966,198108040003,1981,8,4,Iran,Middle East & North Africa,Tehran,Tehran,35.696442,51.422973999999996,,Private Citizens & Property,Unknown,Unknown,0,2
13967,198108040004,1981,8,4,Iran,Middle East & North Africa,Razavi Khorasan,Mashhad,36.32396,59.556959,,Government (General),Unknown,Firearms,0,1
13968,198108040005,1981,8,4,Iran,Middle East & North Africa,Esfahan,Isfahan,32.65246,51.674620000000004,,Police,Unknown,Firearms,1,0
13970,198108040007,1981,8,4,Iran,Middle East & North Africa,Razavi Khorasan,Mashhad,36.32396,59.556959,,Journalists & Media,Unknown,Explosives/Bombs/Dynamite,0,0
13971,198108040008,1981,8,4,Iran,Middle East & North Africa,Esfahan,Isfahan,32.65246,51.674620000000004,,Government (General),Anti-Government Group,Explosives/Bombs/Dynamite,0,0
13979,198108050004,1981,8,5,Iran,Middle East & North Africa,Tehran,Tehran,35.696442,51.422973999999996,,Government (General),Counter-revolutionaries,Firearms,1,2
