year,injuries,fatalities,region,count
1975,1,0,Middle East & North Africa,1
1976,285,12,Middle East & North Africa,3
1979,0,1,Middle East & North Africa,2
1980,9,8,Middle East & North Africa,6
1981,0,0,Middle East & North Africa,3
1982,138,96,Middle East & North Africa,5
1983,0,1,Middle East & North Africa,3
1984,1,0,Middle East & North Africa,2
1987,4,0,Middle East & North Africa,3
1988,104,43,Middle East & North Africa,4
1989,25,0,Middle East & North Africa,4
1991,2,1,Middle East & North Africa,3
1992,88,117,Middle East & North Africa,35
1994,195,75,Middle East & North Africa,18
1995,256,156,Middle East & North Africa,17
1996,14,11,Middle East & North Africa,12
1997,23,106,Middle East & North Africa,21
1998,16,19,Middle East & North Africa,7
1999,105,32,Middle East & North Africa,12
2000,29,10,Middle East & North Africa,10
2001,30,9,Middle East & North Africa,3
2002,4,10,Middle East & North Africa,6
2003,1251,354,Middle East & North Africa,87
2004,4152,2151,Middle East & North Africa,320
2005,6067,3380,Middle East & North Africa,618
2006,8273,4612,Middle East & North Africa,837
2007,13283,6665,Middle East & North Africa,1047
2008,6714,2864,Middle East & North Africa,1105
2009,9389,2583,Middle East & North Africa,1137
2010,6837,2071,Middle East & North Africa,1179
2011,5041,1870,Middle East & North Africa,1308
2012,6995,2686,Middle East & North Africa,1437
2013,15704,7038,Middle East & North Africa,2849
2014,16795,13079,Middle East & North Africa,3926
2015,13322,8835,Middle East & North Africa,2744
2016,14285,12187,Middle East & North Africa,3356
