keyword,val
baghdad,508.1575585327786
people,397.2582754290643
area,350.49742536124927
al,342.3620889280578
explosive,335.48028464027806
injured,333.55712861112374
device,320.1171739164431
attack,316.8889790774863
assailants,302.35052350624346
police,291.4294442884071
least,291.019985857108
near,241.42891966293507
saladin,240.16387973061296
vehicle,237.905702021708
islamic,219.2601992219109
isil,219.00193524033563
state,217.82975049946955
levant,217.82975049946955
however,212.96307366555175
explosives,198.9344289794542
wounded,192.2019114542253
attacks,191.07996518260268
laden,188.66469097355062
district,183.36250667825226
others,174.9465413907547
diyala,167.74114183863293
nineveh,166.2668793150292
sources,162.6403575313725
anbar,159.8306872930392
soldiers,155.29533611570662
attributed,155.00697568476346
targeting,142.8571626403006
officers,139.3792901312117
military,139.15492436036834
incidents,137.1870273406281
kirkuk,134.60733179104514
town,130.53892127497465
neighborhood,130.507291600872
casualties,130.42093608920453
fire,128.31741913722072
patrol,128.00592766531855
reported,124.11533338409126
day,120.60729390066692
bomber,119.70012489455264
civilians,118.95051349487042
opened,118.55835500962888
mosul,118.05602579182606
unknown,117.04987375802823
person,116.80263280845895
security,114.22386581951145
officer,114.11005749034396
checkpoint,112.7253024603163
similar,109.26281773807415
council,104.6119839237919
attacked,100.90791305624984
residence,99.96607693510407
village,96.91494826535686
suicide,96.77868210629562
civilian,95.57552652903838
babil,93.08677249008157
forces,91.69315619352464
members,90.46558169959059
market,89.34783836412763
iraqi,85.78401625653049
bomb,84.4491155279088
blasts,83.57373997176597
damaged,81.80558066940564
devices,81.3277851752411
house,77.03810969570353
number,75.84199630001913
across,75.64478761768672
addition,57.99518489376155
