,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
125154,201401010007,2014,1,1,Iraq,Middle East & North Africa,Nineveh,Mosul,36.37658,43.18292,"01/01/2014: A suicide bomber detonated an explosives-laden vehicle near an army patrol in the Hay Al-Zuhur area of Mosul city, Nineveh governorate, Iraq. In addition to the assailant, one soldier was killed and six others were wounded in the attack. No group claimed responsibility for the incident.",Military,Unknown,Explosives/Bombs/Dynamite,2,6
125155,201401010017,2014,1,1,Iraq,Middle East & North Africa,Saladin,Yathrib,33.9976,44.365196000000005,"01/01/2014: Assailants opened fire on a military checkpoint in Yathrib city, Saladin governorate, Iraq. Two soldiers were killed and three others were wounded in the attack. No group claimed responsibility for the incident.",Military,Unknown,Firearms,2,3
125156,201401010018,2014,1,1,Iraq,Middle East & North Africa,Saladin,Tarmiyah,33.66564,44.375984,"01/01/2014: Assailants stormed a police station in Tarmiyah city, Saladin governorate, Iraq. Four police officers were killed and 12 others were injured in the attack. This was one of 12 attacks targeting police stations and checkpoints in Saladin on the same day. The assailants took control of the stations and checkpoints, releasing prisoners, stealing weapons, and setting fire to the buildings. No group claimed responsibility for the incident; however, sources attributed the attack to Muslim fundamentalists.",Police,Muslim extremists,Firearms,4,12
125161,201401010024,2014,1,1,Iraq,Middle East & North Africa,Al Anbar,Fallujah,33.354334,43.783581,"01/01/2014: Assailants stormed police headquarters in Fallujah city, Al-Anbar governorate, Iraq. No casualties were reported. This was one of 13 attacks targeting police stations and checkpoints in Al-Anbar on the same day. The assailants took control of the areas, releasing prisoners, stealing weapons, and setting fire to the buildings. No group claimed responsibility for the incidents; however, officials attributed the attacks to the Islamic State of Iraq and the Levant (ISIL).",Police,Islamic State of Iraq and the Levant (ISIL),Firearms,0,0
125162,201401010025,2014,1,1,Iraq,Middle East & North Africa,Al Anbar,Fallujah,33.351465999999995,43.784267,"01/01/2014: Assailants stormed police station in Golan district, Fallujah city, Al-Anbar governorate, Iraq. The police chief was killed in the shooting. This was one of 13 attacks targeting police stations and checkpoints in Al-Anbar on the same day. The assailants took control of the areas, releasing prisoners, stealing weapons, and setting fire to the buildings. No group claimed responsibility for the incidents; however, officials attributed the attacks to the Islamic State of Iraq and the Levant (ISIL).",Police,Islamic State of Iraq and the Levant (ISIL),Firearms,1,0
125163,201401010026,2014,1,1,Iraq,Middle East & North Africa,Al Anbar,Fallujah,33.354334,43.783581,"01/01/2014: Assailants stormed the Al-Sejar police station in Fallujah city, Al-Anbar governorate, Iraq. This was one of 13 attacks targeting police stations and checkpoints in Al-Anbar on the same day. Police officers withdrew to avoid fighting, although several were killed and injured across all attacks. The assailants took control of the stations and checkpoints, releasing prisoners, stealing weapons, and setting fire to the buildings. No group claimed responsibility for the incidents; however, officials attributed the attacks to the Islamic State of Iraq and the Levant (ISIL).",Police,Islamic State of Iraq and the Levant (ISIL),Firearms,0,0
125164,201401010027,2014,1,1,Iraq,Middle East & North Africa,Al Anbar,Fallujah,33.354334,43.783581,"01/01/2014: Assailants stormed a police station in Fallujah city, Al-Anbar governorate, Iraq. No casualties were reported. This was one of 13 attacks targeting police stations and checkpoints in Al-Anbar on the same day. The assailants took control of the areas, releasing prisoners, stealing weapons, and setting fire to the buildings. No group claimed responsibility for the incidents; however, officials attributed the attacks to the Islamic State of Iraq and the Levant (ISIL).",Police,Islamic State of Iraq and the Levant (ISIL),Firearms,0,0
125165,201401010028,2014,1,1,Iraq,Middle East & North Africa,Al Anbar,Fallujah,33.354334,43.783581,"01/01/2014: Assailants stormed a government building in Fallujah city, Fallujah district, Al-Anbar governorate, Iraq. The assailants took control of the building, placing snipers on the roof to keep security forces away from a nearby police station under siege. No casualties were reported. This was one of 13 attacks targeting police stations and checkpoints in Al-Anbar on the same day. The assailants took control of the areas, releasing prisoners, stealing weapons, and setting fire to the buildings. No group claimed responsibility for the incidents; however, officials attributed the attacks to the Islamic State of Iraq and the Levant (ISIL).",Government (General),Islamic State of Iraq and the Levant (ISIL),Firearms,0,0
125166,201401010029,2014,1,1,Iraq,Middle East & North Africa,Al Anbar,Ramadi,33.429435999999995,43.304989,"01/01/2014: Assailants stormed a police station in Ramadi city, Al-Anbar governorate, Iraq. This was one of four police stations set on fire in Ramadi on this day. There were no reported casualties in the assault. This was also one of 13 attacks targeting police stations and checkpoints in Al-Anbar on the same day. The assailants took control of the areas, releasing prisoners, stealing weapons, and setting fire to the buildings. No group claimed responsibility for the incidents; however, officials attributed the attacks to Islamic State of Iraq and the Levant (ISIL).",Police,Islamic State of Iraq and the Levant (ISIL),Firearms,0,0
125167,201401010030,2014,1,1,Iraq,Middle East & North Africa,Al Anbar,Ramadi,33.429435999999995,43.304989,"01/01/2014: Assailants stormed a police station in Ramadi city, Al-Anbar governorate, Iraq. This was one of four police stations set on fire in Ramadi on this day. There were no reported casualties in the assault. This was also one of 13 attacks targeting police stations and checkpoints in Al-Anbar on the same day. The assailants took control of the areas, releasing prisoners, stealing weapons, and setting fire to the buildings. No group claimed responsibility for the incidents; however, officials attributed the attacks to the Islamic State of Iraq and the Levant (ISIL).",Police,Islamic State of Iraq and the Levant (ISIL),Firearms,0,0
