year,injuries,fatalities,region,count
1970,0,1,Western Europe,1
1971,0,1,Western Europe,1
1972,0,6,Western Europe,5
1973,0,4,Western Europe,3
1974,0,34,Western Europe,3
1975,0,7,Western Europe,7
1976,0,5,Western Europe,5
1977,0,2,Western Europe,3
1978,0,1,Western Europe,3
1979,0,9,Western Europe,8
1980,8,12,Western Europe,7
1981,0,2,Western Europe,5
1982,1,2,Western Europe,4
1983,0,5,Western Europe,4
1984,0,1,Western Europe,1
1985,0,2,Western Europe,2
1986,0,0,Western Europe,2
1987,0,6,Western Europe,24
1989,0,3,Western Europe,3
1990,0,0,Western Europe,2
1991,0,3,Western Europe,16
1992,0,0,Western Europe,7
1994,2,4,Western Europe,10
1995,1,1,Western Europe,3
1996,0,1,Western Europe,1
1997,0,0,Western Europe,4
1998,2,1,Western Europe,3
1999,1,0,Western Europe,3
2001,2,0,Western Europe,2
2003,0,0,Western Europe,1
2006,0,1,Western Europe,1
2007,0,0,Western Europe,1
2008,0,0,Western Europe,5
2010,8,0,Western Europe,4
2011,0,1,Western Europe,4
2012,0,0,Western Europe,29
2013,2,0,Western Europe,27
2014,1,0,Western Europe,33
2015,0,0,Western Europe,28
2016,3,2,Western Europe,15
