,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
125546,201401100008,2014,1,10,Ireland,Western Europe,Dublin,Dublin,53.347778000000005,-6.259722,"01/10/2014: An explosive device was found near a car in the Ballymun area of Dublin city, Dublin county, Ireland. An army bomb squad defused the device, and there were no casualties in the incident. No group claimed responsibility for the attack.",Unknown,Unknown,Explosives/Bombs/Dynamite,0,0
127751,201402260024,2014,2,26,Ireland,Western Europe,Dublin,Tallaght,53.274665,-6.376572,"02/26/2014: Three pipe bombs were discovered and defused in Cushlawn area, Tallaght city, South Dublin district, Ireland. No group claimed responsibility for the incident.",Unknown,Unknown,Explosives/Bombs/Dynamite,0,0
128549,201403130080,2014,3,13,Ireland,Western Europe,Cavan,Ballyconnell,54.115491000000006,-7.582447,"03/13/2014: Assailants drove a vehicle into the entrance of an Aventas Group building in Ballyconnell town, county Cavan, Ireland. Assailants in the vehicle then set it and the building's foyer on fire. There were no reported casualties; however, the building was damaged in the blast. No group claimed responsibility for the incident.",Business,Unknown,Incendiary,0,0
128975,201403220047,2014,3,22,Ireland,Western Europe,Dublin,Tallaght,53.286331000000004,-6.366326,"03/22/2014: Three explosive devices were discovered and safely defused outside a civilian residence in Saint Dominics area, Tallaght town, Dublin county, Ireland. No group claimed responsibility for the incident.",Unknown,Unknown,Explosives/Bombs/Dynamite,0,0
129182,201403260047,2014,3,26,Ireland,Western Europe,Dublin,Clondalkin,53.324124,-6.375383,"03/27/2014: A pipe bomb was discovered and safely defused outside a civilian residence in Monksfield neighborhood, Clondalkin town, Dublin county, Ireland. No group claimed responsibility for the incident.",Unknown,Unknown,Explosives/Bombs/Dynamite,0,0
129334,201403300013,2014,3,30,Ireland,Western Europe,Dublin,Dublin,53.336217000000005,-6.27228,"03/30/2014: A pipe bomb planted in a car detonated near the center of Dublin city, Dublin county, Ireland. One person, who may have been the assailant, was wounded in the attack, and a number of houses and cars were damaged. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,1
129379,201403310010,2014,3,31,Ireland,Western Europe,Cork,Gurranabraher,51.908043,-8.494501,"03/31/2014: Children found a pipe bomb while playing in Gurranabraher neighborhood, Cork city, Munster province, Ireland. Security forces successfully defused the device. No group claimed responsibility for the incident.",Unknown,Unknown,Explosives/Bombs/Dynamite,0,0
130324,201404170057,2014,4,17,Ireland,Western Europe,Leitrim,Mohill,53.921829,-7.865310000000001,"04/17/2014: An explosive device was discovered and safely defused outside the residence of a police officer in Mohill town, Leitrim county, Ireland. No group claimed responsibility for the incident.",Police,Unknown,Explosives/Bombs/Dynamite,0,0
130325,201404170058,2014,4,17,Ireland,Western Europe,Leitrim,Bohey,54.194324,-8.167050999999999,"04/17/2014: An explosive device was discovered and safely defused in Bohey area, Leitrim county, Ireland. No group claimed responsibility for the incident.",Unknown,Unknown,Explosives/Bombs/Dynamite,0,0
130440,201404200038,2014,4,20,Ireland,Western Europe,Dublin,Tallaght,53.284828000000005,-6.402805,"04/20/2014: An explosive device was discovered and safely defused outside a civilian residence in the Jobstown neighborhood, Tallaght town, Dublin county, Ireland. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
131484,201405110121,2014,5,11,Ireland,Western Europe,Dublin,Lucan,53.356964000000005,-6.450177,"05/11/2014: A pipe bomb was discovered hidden inside a beer keg in the car park of a hotel and defused in Lucan city, Dublin district, Ireland. No group claimed responsibility; however, sources suspect that The New Irish Republican Army was behind the attack.",Business,The New Irish Republican Army,Explosives/Bombs/Dynamite,0,0
131549,201405120087,2014,5,12,Ireland,Western Europe,Kildare,Ballyhagan,53.33574,-6.973178999999999,"05/12/2014: An explosive device was discovered and defused in Ballyhagan town, Leinster province, Ireland. No group claimed responsibility for the incident.",Unknown,Unknown,Explosives/Bombs/Dynamite,0,0
132571,201406010032,2014,6,1,Ireland,Western Europe,Louth,Drogheda,53.722871999999995,-6.358085,"06/01/2014: An explosive device was discovered and defused near a private residence in Drogheda town, Louth county, Ireland. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
133831,201406280051,2014,6,28,Ireland,Western Europe,Dublin,Carrickmines,53.250939,-6.189278,"06/28/2014: An explosive device was discovered and defused near a vehicle in Carrickmines town, Dublin county, Ireland. No group claimed responsibility for the attack.",Unknown,Unknown,Explosives/Bombs/Dynamite,0,0
134552,201407110061,2014,7,11,Ireland,Western Europe,Dublin,Dublin,53.338728,-6.254782,"07/11/2014: A pipe bomb was discovered and safely defused outside a civilian residence in Drimnagh neighborhood, Dublin city, Dublin county, Ireland. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
134609,201407120049,2014,7,8,Ireland,Western Europe,Louth,Drogheda,53.726764,-6.353026,"07/08/2014: A pipe bomb was discovered and safely defused outside a civilian residence in Moneymore neighborhood, Drogheda city, Louth county, Ireland. No group claimed responsibility for the incident.",Unknown,Unknown,Explosives/Bombs/Dynamite,0,0
135714,201408010079,2014,8,1,Ireland,Western Europe,Cork,Togher,51.879208,-8.491503,"08/01/2014: Assailants threw a petrol bomb at a house in Togher area, Cork county, Ireland. There were no reported casualties in the attack. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Incendiary,0,0
