year,injuries,fatalities,region,count
1970,0,1,Middle East & North Africa,1
1971,11,1,Middle East & North Africa,1
1972,72,26,Middle East & North Africa,1
1973,18,2,Middle East & North Africa,1
1974,145,78,Middle East & North Africa,12
1975,62,24,Middle East & North Africa,2
1976,39,1,Middle East & North Africa,2
1977,24,5,Middle East & North Africa,6
1978,259,52,Middle East & North Africa,23
1979,385,64,Middle East & North Africa,130
1980,79,14,Middle East & North Africa,79
1981,28,3,Middle East & North Africa,36
1982,16,3,Middle East & North Africa,71
1983,72,16,Middle East & North Africa,31
1984,90,7,Middle East & North Africa,25
1985,46,12,Middle East & North Africa,21
1986,144,8,Middle East & North Africa,48
1987,62,11,Middle East & North Africa,23
1988,43,13,Middle East & North Africa,35
1989,48,27,Middle East & North Africa,86
1990,192,57,Middle East & North Africa,98
1991,51,31,Middle East & North Africa,64
1992,110,38,Middle East & North Africa,78
1994,198,60,Middle East & North Africa,55
1995,147,18,Middle East & North Africa,13
1996,226,73,Middle East & North Africa,19
1997,448,31,Middle East & North Africa,13
1998,120,19,Middle East & North Africa,14
1999,53,6,Middle East & North Africa,8
2000,119,11,Middle East & North Africa,15
2001,905,140,Middle East & North Africa,79
2002,1451,327,Middle East & North Africa,75
2003,467,154,Middle East & North Africa,38
2004,248,59,Middle East & North Africa,19
2005,251,45,Middle East & North Africa,43
2006,153,51,Middle East & North Africa,77
2007,27,17,Middle East & North Africa,53
2008,240,34,Middle East & North Africa,134
2009,40,1,Middle East & North Africa,36
2010,17,4,Middle East & North Africa,14
2011,77,21,Middle East & North Africa,51
2012,90,14,Middle East & North Africa,65
2013,8,2,Middle East & North Africa,37
2014,152,49,Middle East & North Africa,293
2015,118,20,Middle East & North Africa,58
2016,175,16,Middle East & North Africa,50
