keyword,val
rockets,45.90928541781258
rocket,39.57575295687908
intercepted,31.935526175814445
iron,31.50035472049943
dome,31.50035472049943
launched,29.889151648249605
defense,29.264714169065854
fired,28.942200703392672
system,27.630041067613924
casualties,21.69993963701966
near,20.8128635695236
reported,20.251934952407197
ashkelon,17.86601378746785
blast,16.741437533415816
however,16.448119826323353
damaged,16.149074148549758
wounded,15.696814183114927
area,14.979525872070967
attacks,14.146654060365478
missile,14.137380912956838
council,14.070262220681306
regional,13.68538851500439
sderot,13.412358375658938
eshkol,12.619698305541228
islamic,12.125366198186317
injured,12.014178657140217
detonated,11.99739178480582
jerusalem,11.919098063351026
tel,11.324707536546367
al,11.147448666748616
beersheba,11.088414645626806
resistance,11.07649816264187
aviv,10.616517124087128
ashdod,10.419095141307906
hamas,10.255498090285744
central,10.098351428650318
civilian,10.034347968012444
movement,9.952737694166533
forces,9.652755208023326
house,9.408312174015046
netivot,9.206059100168439
idf,9.06230384506676
landed,8.893994351476355
israeli,8.063789089228157
town,7.708729450678591
killed,7.598147615987529
sources,7.556601030622073
negev,7.470948295053168
attributed,6.573633413325286
palestinian,5.922898878111569
day,5.186810252085907
