,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
125826,201401160051,2014,1,16,Israel,Middle East & North Africa,Southern,Askhelon,31.668788,34.574252,"01/16/2014: Assailants fired a mortar at Ashkelon city, Southern district, Israel. This was one of five such rockets, all of which were intercepted by the Iron Dome. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
125827,201401160052,2014,1,16,Israel,Middle East & North Africa,Southern,Ashkelon,31.668788,34.574252,"01/16/2014: Assailants fired a mortar at Ashkelon city, Southern district, Israel. This was one of five such rockets, all of which were intercepted by the Iron Dome. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
125828,201401160053,2014,1,16,Israel,Middle East & North Africa,Southern,Ashkelon,31.668788,34.574252,"01/16/2014: Assailants fired a mortar at Ashkelon city, Southern district, Israel. This was one of five such rockets, all of which were intercepted by the Iron Dome. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
125829,201401160054,2014,1,16,Israel,Middle East & North Africa,Southern,Ashkelon,31.668788,34.574252,"01/16/2014: Assailants fired a mortar at Ashkelon city, Southern district, Israel. This was one of five such rockets, all of which were intercepted by the Iron Dome. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
125830,201401160055,2014,1,16,Israel,Middle East & North Africa,Southern,Ashkelon,31.668788,34.574252,"01/16/2014: Assailants fired a mortar at Ashkelon city, Southern district, Israel. This was one of five such rockets, all of which were intercepted by the Iron Dome. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
125981,201401200022,2014,1,20,Israel,Middle East & North Africa,Southern,Eilat,29.567484999999998,34.950835999999995,"01/20/2014: A rocket struck the outskirts of Eilat city, Southern district, Israel. This was one of two such attacks on Eilat city on this day, for which no casualties were reported. Ansar Bayt al-Maqdis (Ansar Jerusalem) claimed responsibility for the attack and stated that Israel was the main enemy of the Muslim world and accused Israel of waging a war on Muslims in Egypt.",Private Citizens & Property,Ansar Bayt al-Maqdis (Ansar Jerusalem),Explosives/Bombs/Dynamite,0,0
125982,201401200023,2014,1,20,Israel,Middle East & North Africa,Southern,Eilat,29.567484999999998,34.950835999999995,"01/20/2014: A rocket struck the outskirts of Eilat city, Southern district, Israel. This was one of two such attacks on Eilat city on this day, for which no casualties were reported. Ansar Bayt al-Maqdis (Ansar Jerusalem) claimed responsibility for the attack and accused Israel of ""pressuring Cairo to wage a war on Islam and Muslims in Egypt.""",Private Citizens & Property,Ansar Bayt al-Maqdis (Ansar Jerusalem),Explosives/Bombs/Dynamite,0,0
126463,201401310003,2014,1,31,Israel,Middle East & North Africa,Southern,Eilat,29.567484999999998,34.950835999999995,"01/31/2014: Assailants fired rockets from North Sinai towards Eilat city, South district, Israel. The rockets were intercepted by the Iron Dome before they could do any damage. Ansar Bayt al-Maqdis (Ansar Jerusalem) claimed responsibility for this incident.",Private Citizens & Property,Ansar Bayt al-Maqdis (Ansar Jerusalem),Explosives/Bombs/Dynamite,0,0
126623,201402030033,2014,2,3,Israel,Middle East & North Africa,Central,Petah Tikva,32.08512,34.889046,"02/03/2014: An explosive detonated in a vehicle in Petah Tikva city, Central district, Israel. Police suspect that the device detonated prematurely while being transported. The blast killed two of the assailants and injured three other people. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,2,3
127428,201402200039,2014,2,20,Israel,Middle East & North Africa,Central,Petah Tikva,32.08512,34.889046,"02/20/2014: An explosive device detonated near the vehicle of Uriel Boso in Petah Tikva city, Central district, Israel. Boso, the deputy mayor of Petah Tikva, was unharmed in the attack, but his car was damaged as a result of the blast. No group claimed responsibility for the incident.",Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
127848,201402280008,2014,3,1,Israel,Middle East & North Africa,Golan Heights,Unknown,33.033996,35.750091,"03/01/2014: Assailants launched two rockets near an Israeli Defense Forces (IDF) outpost in Mount Hermon area, Golan Heights, Israel. There were no reported casualties in the blast. No group claimed responsibility for the incident; however, sources suspected that Hezbollah was involved in the attack.",Military,Hezbollah,Explosives/Bombs/Dynamite,0,0
127994,201403020046,2014,3,2,Israel,Middle East & North Africa,Central,Petah Tikva,32.092586,34.84881,"03/02/2014: An assailant with a knife attacked a group of ultra-Orthodox Jewish men in Petah Tikva city, Central district, Israel. One person was injured in the incident. No group claimed responsibility for the attack.",Private Citizens & Property,Unknown,Melee,0,1
128497,201403120064,2014,3,12,Israel,Middle East & North Africa,Southern,Unknown,31.098334,34.749311,"03/12/2014: Assailants launched rockets into Southern district, Israel. There were no reported casualties in the blast. This was one of two similar attacks in Southern district on March 12, 2014. The Palestinian Islamic Jihad's (PIJ) Al-Quds Brigades claimed responsibility for the incident and stated that the attack was carried out in retaliation to the recent deaths of three group members.",Unknown,Palestinian Islamic Jihad (PIJ),Explosives/Bombs/Dynamite,0,0
128498,201403120065,2014,3,12,Israel,Middle East & North Africa,Southern,Sderot,31.523522999999997,34.595147,"03/12/2014: Assailants launched rockets into Sderot town, Southern district, Israel. At least one person was injured in the blast. This was one of two similar attacks in Southern district on March 12, 2014. The Palestinian Islamic Jihad's (PIJ) Al-Quds Brigades claimed responsibility for the incident and stated that the attack was carried out in retaliation to the recent deaths of three group members.",Private Citizens & Property,Palestinian Islamic Jihad (PIJ),Explosives/Bombs/Dynamite,0,1
128540,201403130069,2014,3,13,Israel,Middle East & North Africa,Southern,Ashkelon,31.665707,34.574455,"03/13/2014: Assailants fired a rocket at Ashkelon city, Southern district, Israel. This was one of two rockets intercepted by the Iron Dome on March 13, 2014. No group claimed responsibility for the incident; however, sources attributed the attack to Muslim fundamentalists.",Unknown,Muslim extremists,Explosives/Bombs/Dynamite,0,0
128541,201403130070,2014,3,13,Israel,Middle East & North Africa,Southern,Netivot,31.425209000000002,34.594326,"03/13/2014: Assailants fired a rocket at Netivot city, Southern district, Israel. This was one of two rockets intercepted by the Iron Dome on March 13, 2014. No group claimed responsibility for the incident; however, sources attributed the attack to Muslim fundamentalists.",Private Citizens & Property,Muslim extremists,Explosives/Bombs/Dynamite,0,0
128587,201403140043,2014,3,14,Israel,Middle East & North Africa,Northern,Dovev,33.050529,35.408516,"03/14/2014: An explosive device detonated near an Israeli Defense Forces (IDF) patrol in Dovev area, Northern district, Israel. There were no reported casualties in the blast. Hassan Nasrallah, a spokesperson for Hezbollah, claimed responsibility for the incident and stated that the attack was carried out in retaliation to an Israeli Air Force (IAF) airstrike that occurred a week prior to the attack, halting the shipment of sophisticated weapons to the group. The Islamic State of Iraq and the Levant (ISIL) also claimed responsibility for the incident.",Military,Hezbollah,Explosives/Bombs/Dynamite,0,0
128595,201403140052,2014,3,14,Israel,Middle East & North Africa,Golan Heights,Har Dov,33.284279999999995,35.701336,"03/14/2014: An explosive device detonated near an Israeli Defense Forces (IDF) convoy in Chebaa Farms, Golan Heights district, Israel. There were no reported casualties in the blast. Hassan Nasrallah, a spokesperson for Hezbollah, claimed responsibility for the incident and stated that the attack was carried out in retaliation to an Israeli military operation on one of its positions.",Military,Hezbollah,Explosives/Bombs/Dynamite,0,0
128784,201403180073,2014,3,18,Israel,Middle East & North Africa,Golan Heights,Majdal Shams,33.269406,35.772117,"03/18/2014: An explosive device detonated near an Israeli Defense Forces (IDF) patrol in Majdal Shams town, Golan Heights region, Israel. Four soldiers were wounded in the blast. No group claimed responsibility for the attack; however, sources suspected that Islamic State of Iraq and the Levant (ISIL) was involved.",Military,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,0,4
129171,201403260035,2014,3,26,Israel,Middle East & North Africa,Central,Petah Tikva,32.083993,34.888328,"03/26/2014: An explosive device detonated under a vehicle in Petah Tikva city, Central district, Israel. There were no reported casualties in the blast. No group claimed responsibility for the incident.",Unknown,Unknown,Explosives/Bombs/Dynamite,0,0
129449,201404010084,2014,4,1,Israel,Middle East & North Africa,Tel Aviv,Jaffa,32.051371,34.754664,"04/01/2014: Six explosive devices were discovered and defused at a Muslim cemetery in Tel Kabir neighborhood, Jaffa city, Tel Aviv district, Israel. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
129947,201404100093,2014,4,10,Israel,Middle East & North Africa,Southern,Kissufim,31.374902000000002,34.398782000000004,"04/10/2014: Assailants fired mortars at Israeli soldiers in Kissufim village, Southern district, Israel. No one was injured in the incident. No group claimed responsibility for the attack.",Military,Unknown,Explosives/Bombs/Dynamite,0,0
130141,201404140045,2014,4,14,Israel,Middle East & North Africa,Southern,Kissufim,31.374902000000002,34.398782000000004,"04/14/2014: Assailants launched two mortar shells at a military patrol in Kissufim area, Southern district, Israel. There were no reported casualties in the attack. No group claimed responsibility for the incident.",Military,Unknown,Explosives/Bombs/Dynamite,0,0
130401,201404190028,2014,4,19,Israel,Middle East & North Africa,Haifa,Umm al-Fahm,32.514456,35.151817,"04/19/2014: Assailants set the Araq al-Shabab Mosque on fire in Abu Baker neighborhood, Umm al-Fahm city, Haifa district, Israel. There were no reported casualties; however, the mosque was damaged in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Israeli extremists.",Religious Figures/Institutions,Israeli extremists,Incendiary,0,0
130482,201404210046,2014,4,21,Israel,Middle East & North Africa,Southern,Sderot,31.524663,34.595433,"04/21/2014: Assailants launched a rocket near a synagogue in Sderot city, Southern district, Israel. There were no reported casualties in the blast. No group claimed responsibility for the incident.",Business,Unknown,Explosives/Bombs/Dynamite,0,0
131000,201405020066,2014,5,2,Israel,Middle East & North Africa,Southern,Kissufim,31.373663,34.374866,"05/02/2014: Assailants opened fire on Israel Defense Forces (IDF) soldiers near the border crossing in Kissufim village, Southern district, Israel. No one was injured in the attack. No group claimed responsibility for the incident.",Military,Unknown,Firearms,0,0
