year,injuries,fatalities,region,count
1970,0,0,Western Europe,3
1971,0,0,Western Europe,3
1972,4,1,Western Europe,4
1973,51,62,Western Europe,15
1974,48,26,Western Europe,22
1975,0,0,Western Europe,7
1976,38,10,Western Europe,174
1977,57,25,Western Europe,308
1978,46,26,Western Europe,277
1979,138,24,Western Europe,209
1980,265,125,Western Europe,110
1981,38,24,Western Europe,69
1982,59,12,Western Europe,23
1983,3,2,Western Europe,7
1984,116,23,Western Europe,14
1985,157,19,Western Europe,11
1986,1,1,Western Europe,7
1987,0,3,Western Europe,14
1988,19,6,Western Europe,29
1989,1,0,Western Europe,15
1990,0,0,Western Europe,6
1991,6,0,Western Europe,31
1992,23,17,Western Europe,37
1994,8,2,Western Europe,18
1995,1,0,Western Europe,1
1996,1,0,Western Europe,8
1997,0,0,Western Europe,8
1998,14,0,Western Europe,6
1999,0,1,Western Europe,7
2000,3,0,Western Europe,8
2001,4,0,Western Europe,11
2002,0,1,Western Europe,7
2003,51,0,Western Europe,15
2004,0,1,Western Europe,3
2005,7,1,Western Europe,6
2006,2,0,Western Europe,4
2008,0,0,Western Europe,2
2009,2,0,Western Europe,4
2010,3,0,Western Europe,10
2011,2,0,Western Europe,3
2012,1,0,Western Europe,10
2013,4,0,Western Europe,7
2014,3,0,Western Europe,7
2015,1,0,Western Europe,5
2016,1,1,Western Europe,11
