,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
4339,197701000002,1977,1,0,Italy,Western Europe,Liguria,Genoa,44.407061999999996,8.933989,,Business,Red Brigades,Unknown,0,0
4341,197701010001,1977,1,1,Italy,Western Europe,Sardinia,Olbia,40.922512,9.486855,,Military,Unknown,Explosives/Bombs/Dynamite,0,0
4342,197701010002,1977,1,1,Italy,Western Europe,Lazio,Rome,41.89052,12.494249,,Telecommunication,Red Brigades,Incendiary,0,0
4343,197701010003,1977,1,1,Italy,Western Europe,Sardinia,La Maddalena,41.214436,9.407588,,Military,Armed Proletarian Power,Incendiary,0,0
4344,197701010004,1977,1,1,Italy,Western Europe,Sardinia,La Maddalena,41.214436,9.407588,,Military,Armed Proletarian Power,Incendiary,0,0
4345,197701010005,1977,1,1,Italy,Western Europe,Sardinia,La Maddalena,41.214436,9.407588,,Military,Armed Proletarian Power,Incendiary,0,0
4346,197701010006,1977,1,1,Italy,Western Europe,Sardinia,La Maddalena,41.214436,9.407588,,Military,Armed Proletarian Power,Incendiary,0,0
4347,197701010007,1977,1,1,Italy,Western Europe,Sardinia,La Maddalena,41.214436,9.407588,,Military,Armed Proletarian Power,Incendiary,0,0
4372,197701110002,1977,1,11,Italy,Western Europe,Lazio,Rome,41.89052,12.494249,,Violent Political Party,New Partisans Movement,Incendiary,0,0
4382,197701190006,1977,1,19,Italy,Western Europe,Emilia-Romagna,Bologna,44.49419,11.346518,,Private Citizens & Property,Unknown,Firearms,0,1
4404,197701250002,1977,1,25,Italy,Western Europe,Piedmont,Turin,45.070562,7.686619,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
4405,197701250003,1977,1,25,Italy,Western Europe,Tuscany,Florence,43.768732,11.256901,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
4436,197702060002,1977,2,6,Italy,Western Europe,Lazio,Rome,41.89052,12.494249,,Transportation,New Order,Explosives/Bombs/Dynamite,0,0
4438,197702070002,1977,2,7,Italy,Western Europe,Lazio,Rome,41.89052,12.494249,,Military,Unknown,Incendiary,0,0
4439,197702100001,1977,2,10,Italy,Western Europe,Lazio,Rome,41.89052,12.494249,,Military,Armed Struggle for Communism,Explosives/Bombs/Dynamite,0,0
4442,197702120001,1977,2,12,Italy,Western Europe,Lombardy,Bergamo,45.694903000000004,9.669953,,Police,Communist Brigades,Explosives/Bombs/Dynamite,0,0
4443,197702120002,1977,2,12,Italy,Western Europe,Apulia,Bari,41.126000000000005,16.868378,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
4444,197702120003,1977,2,12,Italy,Western Europe,Lombardy,Bergamo,45.694903000000004,9.669953,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
4446,197702130001,1977,2,13,Italy,Western Europe,Lazio,Rome,41.89052,12.494249,,Police,Armed Proletarian Nuclei (NAP),Firearms,1,0
4447,197702130002,1977,2,13,Italy,Western Europe,Lazio,Rome,41.89052,12.494249,,Government (General),Red Brigades,Firearms,0,1
