year,injuries,fatalities,region,count
1992,0,1,Sub-Saharan Africa,3
1994,0,5,Sub-Saharan Africa,2
1995,5,40,Sub-Saharan Africa,7
1996,7,5,Sub-Saharan Africa,2
1997,0,0,Sub-Saharan Africa,1
2000,6,4,Sub-Saharan Africa,2
2001,0,12,Sub-Saharan Africa,1
2002,0,3,Sub-Saharan Africa,1
2004,0,12,Sub-Saharan Africa,1
2005,64,41,Sub-Saharan Africa,1
2006,12,20,Sub-Saharan Africa,3
2007,2,0,Sub-Saharan Africa,1
2010,13,10,Sub-Saharan Africa,7
2011,3,23,Sub-Saharan Africa,3
2012,11,45,Sub-Saharan Africa,16
2013,3,4,Sub-Saharan Africa,4
2014,0,4,Sub-Saharan Africa,1
2015,10,14,Sub-Saharan Africa,4
2016,33,22,Sub-Saharan Africa,1
