,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
105846,201202260019,2012,2,26,Ivory Coast,Sub-Saharan Africa,Marahoue,Bonon,6.983333,-5.75,"02/26/2012: Gunmen opened fire on a polling station as officials were counting ballots in Bonon town, Bouafle department, Marahoue region, Ivory Coast. Five people were killed and an unknown number owounded. No group claimed responsibility for the attack.",Government (General),Unknown,Firearms,5,0
108348,201206080010,2012,6,8,Ivory Coast,Sub-Saharan Africa,Moyen-Cavally,Para,5.871288,-7.454016,"06/08/2012: Approximately 80 assailants ambushed a United Nations (UN) peacekeeping patrol in Para village, Moyen-Cavally region, Ivory Coast. At least 10 people were killed in the attack, including seven peacekeepers, and an unknown number were injured. No group claimed responsibility, but officials attributed the incident to Gbagbo loyalists.",Government (Diplomatic),Gbagbo Loyalists,Firearms,10,0
109818,201208050036,2012,8,5,Ivory Coast,Sub-Saharan Africa,Lagunes,Yopougon,5.334787,-4.070032,"08/05/2012: Assailants attacked a police station in Yopougon town, Lagunes region, Ivory Coast. This was one of three related attacks on police and military facilities in the Ivory Coast on this day. Five soldiers were killed across this attack and one on a military checkpoint. No group claimed responsibility for this incident; however, authorities suspected that the assailants were aligned with ousted President Laurent Gbagbo.",Police,Gbagbo Loyalists,Firearms,3,0
109819,201208050037,2012,8,5,Ivory Coast,Sub-Saharan Africa,Lagunes,Yopougon,5.334787,-4.070032,"08/05/2012: Assailants attacked a military checkpost in Yopougon town, Lagunes region, Ivory Coast. This was one of three related attacks on police and military facilities in the Ivory Coast on this day. Five soldiers were killed across this attack and one on a police station. No group claimed responsibility for this incident; however, authorities suspected that the assailants were aligned with ousted President Laurent Gbagbo.",Military,Gbagbo Loyalists,Firearms,2,0
109820,201208050038,2012,8,5,Ivory Coast,Sub-Saharan Africa,Moyen-Comoe,Abengourou,6.729541,-3.4872980000000005,"08/05/2012: Assailants attacked a military barracks in Abengourou town, Moyen-Comoe region, Ivory Coast. This was one of three related attacks on police and military facilities in the Ivory Coast on this day. There were no reports of casualties or property damage in this attack. No group claimed responsibility for this incident; however, authorities suspected that the assailants were aligned with ousted President Laurent Gbagbo.",Military,Gbagbo Loyalists,Firearms,0,0
109832,201208060014,2012,8,6,Ivory Coast,Sub-Saharan Africa,Lagunes,Akouedo,5.351955,-3.9416620000000004,"08/06/2012: Assailants attacked a military camp in Akouedo town, Lagunes region, Ivory Coast. Six soldiers and one assailant were killed in this attack. No group claimed responsibility for this incident; however, sources suspected that the assailants were aligned with ousted President Laurent Gbagbo.",Military,Gbagbo Loyalists,Firearms,6,0
110041,201208130014,2012,8,13,Ivory Coast,Sub-Saharan Africa,Moyen-Cavally,Toulepleu,6.57723,-8.418436,"08/13/2012: Assailants opened fire on a border post in Pekambly village, Toulepleu department, Moyen-Comoe region, Ivory Coast. This was one of two attacks on border posts in Toulepleu department on this date. One person was injured across both attacks. No group claimed responsibility for the incident; however, authorities attributed it to soldiers loyal to former President Laurent Gbagbo.",Military,Gbagbo Loyalists,Firearms,0,1
110042,201208130015,2012,8,13,Ivory Coast,Sub-Saharan Africa,Moyen-Cavally,Toulepleu,6.57723,-8.418436,"08/13/2012: Assailants opened fire on a border post in Pahoubly village, Toulepleu department, Moyen-Comoe region, Ivory Coast. This was one of two attacks on border posts in Toulepleu department on this date. One person was injured across both attacks. No group claimed responsibility for the incident; however, authorities attributed it to soldiers loyal to former President Laurent Gbagbo.",Military,Gbagbo Loyalists,Firearms,0,0
110218,201208180009,2012,8,18,Ivory Coast,Sub-Saharan Africa,Lagunes,Abidjan,5.316667,-4.033333,"08/18/2012: Assailants attacked the headquarters of the Ivorian Popular Front (FPI) party in Abidjan city, Lagunes region, Ivory Coast. At least two people were injured by machetes in the attack, and the headquarters building was damaged. Additionally, a few people were kidnapped. The outcome of the kidnapping remains unknown. No group claimed responsibility for the incident.",Violent Political Party,Unknown,Firearms,0,2
110336,201208250015,2012,8,25,Ivory Coast,Sub-Saharan Africa,Lagunes,Irobo,5.325753,-4.77042,"08/25/2012: Assailants attacked a Republican Force military checkpoint in Irobo town, Lagunes region, Ivory Coast. One soldier and five assailants were killed and another soldier injured in the ensuing clash. No group claimed responsibility for the incident.",Military,Unknown,Unknown,6,1
