year,injuries,fatalities,region,count
1974,0,0,Central America & Caribbean,2
1976,0,0,Central America & Caribbean,1
1979,0,4,Central America & Caribbean,2
1980,1,11,Central America & Caribbean,6
1981,0,5,Central America & Caribbean,1
1986,0,3,Central America & Caribbean,1
1991,0,0,Central America & Caribbean,1
1992,0,5,Central America & Caribbean,6
1994,0,2,Central America & Caribbean,2
1995,1,1,Central America & Caribbean,1
1996,0,1,Central America & Caribbean,1
1997,32,10,Central America & Caribbean,8
2007,1,0,Central America & Caribbean,1
2014,1,0,Central America & Caribbean,1
