year,injuries,fatalities,region,count
1970,0,0,East Asia,2
1973,0,0,East Asia,2
1974,7,0,East Asia,3
1975,2,0,East Asia,12
1976,0,2,East Asia,1
1977,0,0,East Asia,4
1978,53,4,East Asia,35
1979,2,5,East Asia,16
1981,0,0,East Asia,1
1982,0,0,East Asia,2
1983,1,2,East Asia,12
1984,11,0,East Asia,15
1985,7,2,East Asia,10
1986,1,3,East Asia,10
1987,3,1,East Asia,10
1988,26,0,East Asia,16
1989,1,2,East Asia,13
1990,125,2,East Asia,93
1991,1,1,East Asia,19
1992,0,0,East Asia,40
1994,504,8,East Asia,9
1995,6225,15,East Asia,20
1996,2,0,East Asia,8
1997,0,0,East Asia,5
1998,1,0,East Asia,1
1999,0,0,East Asia,2
2000,0,0,East Asia,13
2001,0,0,East Asia,3
2002,0,0,East Asia,2
2003,0,0,East Asia,2
2008,0,0,East Asia,3
2009,0,0,East Asia,1
2014,0,0,East Asia,5
2015,0,0,East Asia,10
2016,26,19,East Asia,1
