year,injuries,fatalities,region,count
1970,1,1,Middle East & North Africa,9
1971,0,0,Middle East & North Africa,5
1972,0,2,Middle East & North Africa,3
1973,0,0,Middle East & North Africa,1
1976,5,9,Middle East & North Africa,1
1980,0,1,Middle East & North Africa,1
1981,2,0,Middle East & North Africa,2
1982,6,0,Middle East & North Africa,1
1983,1,0,Middle East & North Africa,7
1984,4,1,Middle East & North Africa,5
1988,0,0,Middle East & North Africa,1
1990,5,0,Middle East & North Africa,3
1991,8,1,Middle East & North Africa,11
1992,0,1,Middle East & North Africa,2
1994,7,0,Middle East & North Africa,6
1995,2,1,Middle East & North Africa,3
1996,1,0,Middle East & North Africa,2
1997,4,0,Middle East & North Africa,3
1998,0,0,Middle East & North Africa,1
1999,1,0,Middle East & North Africa,2
2000,2,0,Middle East & North Africa,2
2001,0,1,Middle East & North Africa,2
2002,0,3,Middle East & North Africa,2
2005,101,62,Middle East & North Africa,4
2006,6,1,Middle East & North Africa,1
2010,4,1,Middle East & North Africa,2
2012,16,1,Middle East & North Africa,2
2013,0,0,Middle East & North Africa,1
2014,7,1,Middle East & North Africa,3
2015,11,7,Middle East & North Africa,4
2016,65,35,Middle East & North Africa,9
