year,injuries,fatalities,region,count
1975,100,27,Sub-Saharan Africa,4
1976,0,0,Sub-Saharan Africa,2
1978,0,4,Sub-Saharan Africa,1
1980,85,15,Sub-Saharan Africa,1
1989,5,4,Sub-Saharan Africa,4
1991,0,0,Sub-Saharan Africa,5
1992,62,155,Sub-Saharan Africa,30
1994,1,40,Sub-Saharan Africa,5
1995,2,2,Sub-Saharan Africa,4
1996,0,2,Sub-Saharan Africa,3
1997,21,36,Sub-Saharan Africa,17
1998,4000,226,Sub-Saharan Africa,2
2000,5,26,Sub-Saharan Africa,4
2001,8,13,Sub-Saharan Africa,7
2002,0,16,Sub-Saharan Africa,2
2003,0,3,Sub-Saharan Africa,2
2005,0,56,Sub-Saharan Africa,2
2006,6,18,Sub-Saharan Africa,2
2007,48,33,Sub-Saharan Africa,12
2008,3,103,Sub-Saharan Africa,11
2009,0,0,Sub-Saharan Africa,1
2010,159,19,Sub-Saharan Africa,12
2011,112,42,Sub-Saharan Africa,42
2012,421,107,Sub-Saharan Africa,80
2013,446,206,Sub-Saharan Africa,79
2014,408,315,Sub-Saharan Africa,115
2015,205,276,Sub-Saharan Africa,68
2016,69,72,Sub-Saharan Africa,65
