keyword,val
mandera,16.21510627515198
police,10.900105262521262
sources,10.311109909614363
killed,10.135672955505724
mombasa,9.855725059694429
town,9.722530222488126
city,9.577544363963959
fire,8.834978889840757
attributed,8.704477074069803
opened,8.620709379240507
garissa,8.60420334755678
province,8.283851587038761
people,7.795092281747214
suspected,7.218506821018263
wounded,7.184881734979193
device,7.113620236396235
casualties,6.612375694262205
nairobi,6.512833662564715
lamu,6.441003729528086
injured,6.270488904578361
explosive,6.173197906589765
blast,6.031017196569022
threw,5.999707783197167
attacked,5.986926847427796
least,5.808320449453294
attacks,5.521415169168799
involved,5.425202628111607
reported,5.314044176569071
detonated,5.129359756182953
vehicle,5.097358908406955
near,4.909250271413424
civilians,4.903306318064585
area,4.676283956060647
grenade,4.363062913245414
officer,4.341410619168952
authorities,4.316463357920158
unknown,4.137384450849654
others,4.100236025555678
district,3.843069786057723
grenades,3.776806756586015
station,3.7539775960220743
coordinated,3.507237722164445
muslim,3.3959632616147575
carried,3.2157209380841048
assault,3.2032785625762
discovered,3.1829328467656204
person,3.165495476523783
officers,3.0846166719431807
including,2.9952291585539084
safely,2.84452699619057
village,2.73990820080802
day,2.721612017772906
another,2.5482458299572466
likoni,2.4702864199308427
vehicles,2.3743780199429674
neighborhood,2.277881485598944
defused,2.243727055851352
kenyan,2.159512072708715
bus,2.1248896391870735
council,1.9946138201370052
incidents,1.8597788081365647
date,1.7920313694072738
