,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
125189,201401020003,2014,1,2,Kenya,Sub-Saharan Africa,Kwale,Diani,-4.320864,39.573347999999996,"01/02/2014: Assailants threw grenades into the Tandoori bar in Diani town, Kwale county, Kenya. At least ten people were wounded in the attack. No group claimed responsibility for the incident.",Business,Unknown,Explosives/Bombs/Dynamite,0,10
125275,201401040016,2014,1,4,Kenya,Sub-Saharan Africa,Nairobi,Nairobi,-1.2648700000000002,36.850277,"01/04/2014: An explosive device detonated inside a shopping center in Eastleigh neighborhood, Nairobi city, Nairobi district, Kenya. One person was injured in the blast. No group claimed responsibility for the incident; however, sources suspected that Al-Shabaab was involved.",Business,Al-Shabaab,Explosives/Bombs/Dynamite,0,1
125386,201401050088,2014,1,5,Kenya,Sub-Saharan Africa,Kwale,Diani,-4.320864,39.573347999999996,"01/05/2014: An explosive device was thrown at a Kenyan police vehicle near Diani police station, Kwale county, Kenya. The device failed to detonate and there were no casualties in the attack. No group claimed responsibility for the incident.",Police,Unknown,Explosives/Bombs/Dynamite,0,0
125477,201401070088,2014,1,7,Kenya,Sub-Saharan Africa,Marsabit,Dukana,3.997089,37.272715999999996,"01/07/2014: Assailants from Ethiopia attacked Dukana village, Marsabit County, Kenya. Six people were killed and another six were injured in the assault. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Firearms,6,6
125507,201401080037,2014,1,8,Kenya,Sub-Saharan Africa,Garissa,Dadaab,0.055044,40.307893,"01/08/2014: A land mine detonated near an aid worker convoy and its police escort in the Ifo 1 refugee camp in Dadaab city, Garissa county, Kenya. There were no reported casualties or damages from the blast. No group claimed responsibility for the incident.",NGO,Unknown,Explosives/Bombs/Dynamite,0,0
125794,201401160015,2014,1,16,Kenya,Sub-Saharan Africa,Nairobi,Nairobi,-1.3306129999999998,36.925048,"01/16/2014: An explosive device detonated in a trash bin at the Jomo Kenyatta International Airport in Nairobi city, Nairobi province, Kenya. There were no damages or casualties reported. No group claimed responsibility for the incident.",Airports & Aircraft,Unknown,Explosives/Bombs/Dynamite,0,0
126120,201401230018,2014,1,23,Kenya,Sub-Saharan Africa,Turkana,Unknown,3.039887,35.620705,"01/23/2014: Gunmen attacked a fishing village in Turkana province, Kenya. One fisherman was killed and an unknown number of people were wounded. No group claimed responsibility for the incident; however, authorities attributed the incident to a Merrile militia from Ethiopia.",Maritime,Merille Militia,Firearms,1,0
126731,201402050036,2014,2,5,Kenya,Sub-Saharan Africa,Mombasa,Likoni,-4.0933019999999996,39.661362,"02/05/2014: Assailants threw an explosive device at a primary school in Likoni area, Mombasa county, Kenya. No casualties were reported; however, the school was damaged in the blast. No group claimed responsibility for the incident.",Educational Institution,Unknown,Explosives/Bombs/Dynamite,0,0
126941,201402100024,2014,2,10,Kenya,Sub-Saharan Africa,Kwale,Kombani,-4.188921,39.588626,"02/10/2014: Assailants opened fire on a police officer in Kombani town, Kwale county, Kenya. The officer was injured in the shooting and a second officer was injured when the assailants attempted to flee. No group claimed responsibility for the incident; however, police suspected that Al-Shabaab was involved.",Police,Al-Shabaab,Firearms,0,2
126957,201402100054,2014,2,10,Kenya,Sub-Saharan Africa,Nairobi,Dagoreti,-1.299191,36.761008000000004,"02/10/2014: Assailants attacked Saint Charles Mutego school and held the students hostage in Dagoreti area, Nairobi county, Kenya. One student was killed, at least 41 were wounded in the attack, and an unknown number of students went missing. No group claimed responsibility for the incident.",Educational Institution,Unknown,Melee,1,41
128177,201403060030,2014,3,6,Kenya,Sub-Saharan Africa,Mandera,Mandera,3.927631,41.867523,"03/06/2014: Assailants threw an explosive device at a police checkpost along the Kenya-Somalia border in Mandera town, Mandera county, Kenya. No one was injured because the device only partially detonated. No group claimed responsibility for the incident.",Police,Unknown,Explosives/Bombs/Dynamite,0,0
128591,201403140047,2014,3,14,Kenya,Sub-Saharan Africa,Mombasa,Mombasa,-4.043253,39.663493,"03/14/2014: Assailants attacked Ali Bahero in Mombasa city, Mombasa province, Kenya. Bahero, a cleric at Rahma Mosque, and another person were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Muslim fundamentalists.",Religious Figures/Institutions,Muslim extremists,Melee,0,2
128686,201403160044,2014,3,16,Kenya,Sub-Saharan Africa,Nakuru,Ngong,-1.355633,36.666934000000005,"03/16/2014: An explosive device was discovered and safely defused outside a church in Ngong town, Nakuru province, Kenya. No group claimed responsibility for the incident.",Religious Figures/Institutions,Unknown,Explosives/Bombs/Dynamite,0,0
128716,201403170037,2014,3,17,Kenya,Sub-Saharan Africa,Mombasa,Mombasa,-4.043253,39.663493,"03/17/2014: An explosives-laden vehicle was discovered and safely defused near the airport in Mombasa city, Mombasa province, Kenya. No group claimed responsibility for the incident; however, authorities attributed the attack to Al-Shabaab.",Unknown,Al-Shabaab,Explosives/Bombs/Dynamite,0,0
128861,201403200038,2014,3,20,Kenya,Sub-Saharan Africa,Mombasa,Mombasa,-4.043253,39.663493,"03/20/2014: An explosive device planted in a vehicle was discovered and safely defused near a police headquarters in Mombasa city, Mombasa province, Kenya. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Shabaab.",Police,Al-Shabaab,Explosives/Bombs/Dynamite,0,0
128888,201403210011,2014,3,21,Kenya,Sub-Saharan Africa,Mandera,Mandera,3.9298800000000003,41.857617,"03/21/2014: Assailants opened fire on a local market in Mandera city, Mandera county, Kenya. Two people were killed in the shooting. No group claimed responsibility for the incident; however, authorities suspected that Al-Shabaab was involved.",Private Citizens & Property,Al-Shabaab,Firearms,2,0
129002,201403230011,2014,3,23,Kenya,Sub-Saharan Africa,Mombasa,Likoni,-4.0964339999999995,39.644535999999995,"03/23/2014: Assailants opened fire on a church in Likoni district, Mombasa province, Kenya. Six people were killed and 15 others were wounded in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Shabaab.",Religious Figures/Institutions,Al-Shabaab,Firearms,6,15
129035,201403240005,2014,3,24,Kenya,Sub-Saharan Africa,Mandera,Mandera,3.9370410000000002,41.854513,"03/24/2014: Assailants attacked a Kenya Defense Forces (KDF) convoy in Koramey area, Mandera town, Kenya. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Shabaab.",Military,Al-Shabaab,Unknown,0,0
