year,injuries,fatalities,region,count
1999,146,23,Eastern Europe,39
2000,84,23,Eastern Europe,60
2001,59,20,Eastern Europe,17
2002,32,1,Eastern Europe,5
2003,4,7,Eastern Europe,9
2004,5,0,Eastern Europe,1
2005,0,1,Eastern Europe,8
2006,4,0,Eastern Europe,6
2007,0,1,Eastern Europe,5
2008,5,0,Eastern Europe,11
2009,0,0,Eastern Europe,1
2010,11,1,Eastern Europe,1
2011,0,0,Eastern Europe,1
2012,4,3,Eastern Europe,4
2013,4,1,Eastern Europe,6
2014,3,2,Eastern Europe,4
2015,0,0,Eastern Europe,2
2016,0,0,Eastern Europe,8
