year,injuries,fatalities,region,count
1972,0,0,Middle East & North Africa,1
1974,0,0,Middle East & North Africa,1
1975,0,0,Middle East & North Africa,1
1976,0,0,Middle East & North Africa,1
1978,0,1,Middle East & North Africa,1
1980,0,0,Middle East & North Africa,4
1981,0,2,Middle East & North Africa,3
1982,1,0,Middle East & North Africa,1
1983,13,1,Middle East & North Africa,7
1984,2,4,Middle East & North Africa,1
1985,18,11,Middle East & North Africa,2
1986,1,0,Middle East & North Africa,1
1987,0,1,Middle East & North Africa,12
1988,1,2,Middle East & North Africa,4
1991,1,1,Middle East & North Africa,5
1992,11,2,Middle East & North Africa,15
1994,3,0,Middle East & North Africa,2
1997,2,0,Middle East & North Africa,2
2001,1,2,Middle East & North Africa,2
2002,0,4,Middle East & North Africa,1
2003,18,1,Middle East & North Africa,3
2005,0,2,Middle East & North Africa,2
2011,0,0,Middle East & North Africa,1
2015,227,28,Middle East & North Africa,1
2016,1,1,Middle East & North Africa,2
