year,injuries,fatalities,region,count
1970,0,0,Middle East & North Africa,1
1971,0,0,Middle East & North Africa,1
1972,0,0,Middle East & North Africa,3
1973,0,4,Middle East & North Africa,11
1974,10,0,Middle East & North Africa,11
1975,29,28,Middle East & North Africa,15
1976,1,4,Middle East & North Africa,4
1977,1,3,Middle East & North Africa,4
1978,173,107,Middle East & North Africa,12
1979,94,33,Middle East & North Africa,38
1980,267,90,Middle East & North Africa,86
1981,745,264,Middle East & North Africa,81
1982,459,233,Middle East & North Africa,120
1983,1005,615,Middle East & North Africa,234
1984,241,61,Middle East & North Africa,166
1985,1530,644,Middle East & North Africa,95
1986,1018,247,Middle East & North Africa,106
1987,338,178,Middle East & North Africa,94
1988,601,176,Middle East & North Africa,125
1989,364,113,Middle East & North Africa,141
1990,191,113,Middle East & North Africa,84
1991,386,98,Middle East & North Africa,91
1992,116,79,Middle East & North Africa,91
1994,127,57,Middle East & North Africa,67
1995,72,35,Middle East & North Africa,38
1996,70,57,Middle East & North Africa,39
1997,50,36,Middle East & North Africa,46
1998,48,17,Middle East & North Africa,23
1999,48,23,Middle East & North Africa,42
2000,12,12,Middle East & North Africa,12
2001,3,0,Middle East & North Africa,5
2002,4,2,Middle East & North Africa,8
2003,1,3,Middle East & North Africa,5
2004,2,1,Middle East & North Africa,1
2005,58,22,Middle East & North Africa,17
2006,8,12,Middle East & North Africa,7
2007,148,40,Middle East & North Africa,18
2008,490,142,Middle East & North Africa,58
2009,21,17,Middle East & North Africa,14
2010,6,2,Middle East & North Africa,5
2011,23,1,Middle East & North Africa,10
2012,92,9,Middle East & North Africa,15
2013,1048,190,Middle East & North Africa,121
2014,532,134,Middle East & North Africa,204
2015,347,111,Middle East & North Africa,44
2016,74,25,Middle East & North Africa,41
