,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
17660,198301010025,1983,1,1,Lebanon,Middle East & North Africa,Beirut,Beirut,33.888628999999995,35.495478999999996,,Military,Palestinians,Firearms,0,2
17671,198301020001,1983,1,2,Lebanon,Middle East & North Africa,Beqaa,Baalbek,34.004689,36.211040000000004,,Violent Political Party,Unknown,Firearms,0,1
17674,198301020004,1983,1,2,Lebanon,Middle East & North Africa,South,Sidon,33.562839000000004,35.36887,,Military,Palestinians,Firearms,0,0
17675,198301020005,1983,1,2,Lebanon,Middle East & North Africa,South,Sidon,33.562839000000004,35.36887,,Military,Unknown,Explosives/Bombs/Dynamite,0,0
17686,198301040002,1983,1,4,Lebanon,Middle East & North Africa,Beirut,Beirut,33.888628999999995,35.495478999999996,,Private Citizens & Property,Unknown,Unknown,1,0
17700,198301050004,1983,1,5,Lebanon,Middle East & North Africa,Beirut,Beirut,33.888628999999995,35.495478999999996,,Military,Lebanese National Resistance Front,Explosives/Bombs/Dynamite,0,2
17701,198301050005,1983,1,5,Lebanon,Middle East & North Africa,Mount Lebanon,Hadath,33.838543,35.529961,,Military,Unknown,Explosives/Bombs/Dynamite,2,0
17726,198301070009,1983,1,7,Lebanon,Middle East & North Africa,Mount Lebanon,Baadba district,33.841552,35.54937,,Military,Palestinians,Firearms,1,21
17746,198301100003,1983,1,10,Lebanon,Middle East & North Africa,North,al-Rmaile,34.411643,35.913528,,Government (Diplomatic),Unknown,Firearms,1,0
17771,198301130002,1983,1,13,Lebanon,Middle East & North Africa,Mount Lebanon,Damour,33.730574,35.454482,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,1,0
17781,198301140001,1983,1,14,Lebanon,Middle East & North Africa,South,Tyre,33.272157,35.203278000000005,,Transportation,Palestinians,Explosives/Bombs/Dynamite,1,0
17784,198301140004,1983,1,14,Lebanon,Middle East & North Africa,North,Tripoli,34.438094,35.830837,,Military,Unknown,Explosives/Bombs/Dynamite,1,1
17785,198301150001,1983,1,15,Lebanon,Middle East & North Africa,South,Tyre,33.272157,35.203278000000005,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,1,0
