,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
49892,199201280008,1992,1,28,Liberia,Sub-Saharan Africa,Lofa,Segbwema Daru,8.016772,-10.265122999999999,,Military,National Patriotic Front of Liberia (NPFL),Firearms,7,0
49972,199202040015,1992,2,4,Liberia,Sub-Saharan Africa,Montserrado,Monrovia,6.290743,-10.760524,,Business,Unknown,Explosives/Bombs/Dynamite,2,0
50740,199203290022,1992,3,29,Liberia,Sub-Saharan Africa,Grand Cape Mount,Than,7.107728999999999,-10.900144000000001,,Terrorists/Non-State Militia,United Liberation Movement for Democracy in Liberia (ULIMO),Firearms,4,0
51110,199204280010,1992,4,28,Liberia,Sub-Saharan Africa,Montserrado,Monrovia,6.290743,-10.760524,,Business,Unknown,Explosives/Bombs/Dynamite,0,15
51265,199205070014,1992,5,7,Liberia,Sub-Saharan Africa,Montserrado,Monrovia,6.290743,-10.760524,,Business,Unknown,Explosives/Bombs/Dynamite,5,12
51411,199205170012,1992,5,17,Liberia,Sub-Saharan Africa,Bomi,Kle,6.695088,-10.874056,,Religious Figures/Institutions,National Democratic Front of Liberia,Firearms,0,0
51913,199206300009,1992,6,30,Liberia,Sub-Saharan Africa,Grand Cape Mount,Jennemana,7.047733,-11.071928,,Business,Unknown,Firearms,9,0
52648,199208260019,1992,8,26,Liberia,Sub-Saharan Africa,Unknown,Unknown,,,,NGO,Unknown,Firearms,1,1
53497,199210220011,1992,10,22,Liberia,Sub-Saharan Africa,Bong,Gbarnga,7.002432000000001,-9.472824000000001,,Government (Diplomatic),National Patriotic Front of Liberia (NPFL),Firearms,0,0
53503,199210220017,1992,10,22,Liberia,Sub-Saharan Africa,Montserrado,Gardnersville,6.336855,-10.739822,,Religious Figures/Institutions,National Patriotic Front of Liberia (NPFL),Firearms,9,0
