year,injuries,fatalities,region,count
1979,1,0,Middle East & North Africa,3
1980,0,0,Middle East & North Africa,2
1984,1,15,Middle East & North Africa,3
1992,0,0,Middle East & North Africa,1
1995,0,0,Middle East & North Africa,1
1996,0,12,Middle East & North Africa,4
2007,0,0,Middle East & North Africa,1
2008,0,0,Middle East & North Africa,1
2011,2,0,Middle East & North Africa,2
2012,37,33,Middle East & North Africa,57
2013,618,232,Middle East & North Africa,291
2014,895,696,Middle East & North Africa,727
2015,841,689,Middle East & North Africa,543
2016,737,631,Middle East & North Africa,417
