,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
24886,198505070007,1985,5,7,Luxembourg,Western Europe,Unknown,Unknown,,,,Utilities,Fighting Ecologist Movement,Explosives/Bombs/Dynamite,0,5
25184,198505280004,1985,5,28,Luxembourg,Western Europe,Luxembourg,Luxembourg,49.611621,6.1319349999999995,,Utilities,Unknown,Explosives/Bombs/Dynamite,0,0
25192,198505290005,1985,5,29,Luxembourg,Western Europe,Luxembourg,Contern,49.58518,6.227519999999999,,Utilities,Unknown,Explosives/Bombs/Dynamite,0,0
25469,198506240006,1985,6,24,Luxembourg,Western Europe,Luxembourg,Luxembourg,49.611621,6.1319349999999995,,Utilities,Unknown,Explosives/Bombs/Dynamite,0,0
26026,198508280002,1985,8,28,Luxembourg,Western Europe,Luxembourg,Luxembourg,49.611621,6.1319349999999995,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
26027,198508280003,1985,8,28,Luxembourg,Western Europe,Luxembourg,Luxembourg,49.611621,6.1319349999999995,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
26242,198509300001,1985,9,30,Luxembourg,Western Europe,Unknown,Unknown,,,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
26546,198511100003,1985,11,10,Luxembourg,Western Europe,Luxembourg,Luxembourg,49.611621,6.1319349999999995,,Airports & Aircraft,Unknown,Explosives/Bombs/Dynamite,0,1
26690,198511300001,1985,11,30,Luxembourg,Western Europe,Luxembourg,Luxembourg,49.611621,6.1319349999999995,,Utilities,Unknown,Explosives/Bombs/Dynamite,0,0
26735,198512030003,1985,12,3,Luxembourg,Western Europe,Luxembourg,Luxembourg,49.611621,6.1319349999999995,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
