,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
64548,199702030001,1997,2,3,Macau,East Asia,,Macao,22.192266,113.54763100000001,,Private Citizens & Property,Unknown,Firearms,0,1
64611,199702110003,1997,2,11,Macau,East Asia,,Macao,22.192266,113.54763100000001,,Private Citizens & Property,Unknown,Incendiary,0,0
64612,199702110004,1997,2,11,Macau,East Asia,,Macao,22.192266,113.54763100000001,,Private Citizens & Property,Unknown,Incendiary,0,0
64613,199702110005,1997,2,11,Macau,East Asia,,Macao,22.192266,113.54763100000001,,Private Citizens & Property,Unknown,Incendiary,0,0
64614,199702110006,1997,2,11,Macau,East Asia,,Macao,22.192266,113.54763100000001,,Private Citizens & Property,Unknown,Incendiary,0,0
65038,199704070003,1997,4,7,Macau,East Asia,,Macao,22.192266,113.54763100000001,,Police,Unknown,Firearms,0,2
65073,199704110003,1997,4,11,Macau,East Asia,,Macao,22.192266,113.54763100000001,,Business,Unknown,Firearms,0,0
65117,199704170001,1997,4,17,Macau,East Asia,,Macao,22.192266,113.54763100000001,,Business,Unknown,Firearms,1,0
65820,199707060002,1997,7,6,Macau,East Asia,,Macao,22.192266,113.54763100000001,,Business,Unknown,Melee,0,8
65872,199707110001,1997,7,11,Macau,East Asia,,Macao,22.192266,113.54763100000001,,Tourists,Unknown,Explosives/Bombs/Dynamite,0,0
66038,199707290001,1997,7,29,Macau,East Asia,,Macao,22.192266,113.54763100000001,,Private Citizens & Property,Unknown,Incendiary,0,0
66047,199707300003,1997,7,30,Macau,East Asia,,Macao,22.192266,113.54763100000001,,Business,Unknown,Firearms,0,3
66048,199707300004,1997,7,30,Macau,East Asia,,Macao,22.192266,113.54763100000001,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
66059,199707310002,1997,7,31,Macau,East Asia,,Macao,22.192266,113.54763100000001,,Police,Unknown,Explosives/Bombs/Dynamite,0,0
66438,199709040002,1997,9,4,Macau,East Asia,,Macao,22.192266,113.54763100000001,,Government (General),Unknown,Firearms,0,0
67237,199712080002,1997,12,8,Macau,East Asia,,Macao,22.192266,113.54763100000001,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
