year,injuries,fatalities,region,count
1973,8,0,Southeast Asia,1
1975,3,0,Southeast Asia,3
1977,1,100,Southeast Asia,2
1979,0,5,Southeast Asia,1
1983,0,0,Southeast Asia,1
1986,54,20,Southeast Asia,15
1988,2,9,Southeast Asia,4
1989,8,0,Southeast Asia,2
1990,3,0,Southeast Asia,3
1991,1,0,Southeast Asia,3
1992,0,0,Southeast Asia,2
2000,0,2,Southeast Asia,3
2001,2,0,Southeast Asia,1
2008,0,0,Southeast Asia,2
2009,1,0,Southeast Asia,1
2012,1,2,Southeast Asia,2
2013,1,2,Southeast Asia,13
2014,4,1,Southeast Asia,12
2015,1,1,Southeast Asia,5
2016,9,6,Southeast Asia,19
