,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
157200,201601110021,2016,1,11,Malaysia,Southeast Asia,Kedah,Sungai Petani,5.642885,100.489173,"01/11/2016: An assailant held a woman at knife point at a shopping complex in Sungai Petani, Kedah state, Malaysia. Police arrested the suspect and there were no reported casualties in the attack. Sources noted that the assailant was influenced by the Islamic State of Iraq and the Levant (ISIL) and wanted to portray his capacity for carrying out violent attacks.",Private Citizens & Property,Jihadi-inspired extremists,Melee,0,0
159495,201603090060,2016,3,9,Malaysia,Southeast Asia,Kuala Lumpur,Kuala Lumpur,3.154489,101.71323000000001,"03/09/2016: Two explosive devices were discovered and defused near a shopping mall in Kuala Lumpur city, Malaysia. No group claimed responsibility for the incident.",Unknown,Unknown,Explosives/Bombs/Dynamite,0,0
159865,201603180038,2016,3,18,Malaysia,Southeast Asia,Selangor,Bandar Baru Bangi,2.963072,101.75175,"03/18/2016: Assailants threw incendiary devices at the residence of a deputy district officer in Bandar Baru Bangi, Selangor, Malaysia. There were no reported casualties in the attack. No group claimed responsibility for the incident.",Police,Unknown,Incendiary,0,0
160270,201603310005,2016,4,1,Malaysia,Southeast Asia,Sabah,Semporna,4.479391000000001,118.61154499999999,"04/01/2016: Assailants abducted nine people from a tanker vessel off the coast of Ligitan Island, Semporna, Sabah, Malaysia. Five hostages were released shortly after the abduction, and the remaining four hostages were released on June 8, 2016. The Abu Sayyaf Group (ASG) claimed responsibility for the incident.",Maritime,Abu Sayyaf Group (ASG),Firearms,0,0
160726,201604120035,2016,4,12,Malaysia,Southeast Asia,Penang,Taman Chai Leng,5.385280000000001,100.392677,"04/12/2016: Assailants threw an incendiary device at the office of P Ramasamy, the State Deputy Chief Minister, in Taman Chai Leng, Penang, Malaysia. There were no reported casualties resulting from the attack. No group claimed responsibility for the incident.",Government (General),Unknown,Incendiary,0,0
163555,201606210062,2016,6,21,Malaysia,Southeast Asia,Sarawak,Kuala Baram,4.57679,113.98714,"06/21/2016: An assailant opened fire on Bill Kayong in Kuala Baram, Sarawak, Malaysia. Kayong, a Miri Parti Keadilan Rakyat (PKR) leader, was killed in the assault. No group claimed responsibility for the attack.",Private Citizens & Property,Unknown,Firearms,1,0
163799,201606280009,2016,6,28,Malaysia,Southeast Asia,Selangor,Puchong,3.032715,101.618802,"06/28/2016:Two assailants threw a hand grenade at Movida restaurant in Puchong, Selangor, Malaysia. Eight people were injured in the blast. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident.",Business,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,0,8
164187,201607090028,2016,7,9,Malaysia,Southeast Asia,Sabah,Lahad Datu,5.0242059999999995,118.33074599999999,"07/09/2016: Five assailants abducted three Indonesian fishers from a vessel off the coast near Lahad Datu, Sabah, Malaysia. The hostages were released on September 17, 2016. No group claimed responsibility for the incident; however, sources attributed the abduction to the Abu Sayyaf Group (ASG).",Maritime,Abu Sayyaf Group (ASG),Explosives/Bombs/Dynamite,0,0
164416,201607160025,2016,7,18,Malaysia,Southeast Asia,Sabah,Unknown,4.799222,118.64284199999999,"07/18/2016: Assailants abducted five Malaysian sailors between Sabah, Malaysia and Tawi-Tawi, Philippines. Two hostages were rescued on March 23, 2017 and the other three victims were rescued on March 26, 2017. No group claimed responsibility; however, sources attributed the attack to the Abu Sayyaf Group (ASG).",Maritime,Abu Sayyaf Group (ASG),Firearms,0,0
165101,201608030016,2016,8,3,Malaysia,Southeast Asia,Sabah,Kinabatangan district,5.306019,117.975949,"08/03/2016: Assailants hijacked a fishing vessel and held the four fishermen hostage off the coast of Kinabatangan district, Sabah, Malaysia. At least three hostages were released a short time later, while the fourth victim, Captain Herman Manggak, was released on September 21, 2016. No group claimed responsibility; however, sources attributed the attack to the Abu Sayyaf Group (ASG).",Maritime,Abu Sayyaf Group (ASG),Firearms,0,0
166486,201609100023,2016,9,10,Malaysia,Southeast Asia,Sabah,Semporna district,4.596682,118.864231,"09/10/2016: Assailants abducted three fishermen from their ship near Pom Pom island in Semporna district, Sabah, Malaysia. The outcome of the kidnapping is unknown. No group claimed responsibility for the incident; however, sources attributed the attack to the Abu Sayyaf Group (ASG).",Maritime,Abu Sayyaf Group (ASG),Firearms,0,0
167094,201609270011,2016,9,27,Malaysia,Southeast Asia,Sabah,Semporna district,4.5945089999999995,118.787761,"09/27/2016: Assailants attacked a fishing vessel in the waters near Gaya island, Semporna, Sabah, Malaysia. The captain, Ruslan Saripin, was abducted and released on October 1, 2016. This was one of two coordinated attacks carried out by the same assailants on the same day. No group claimed responsibility for the incidents.",Maritime,Unknown,Firearms,0,0
167095,201609270012,2016,9,27,Malaysia,Southeast Asia,Sabah,Lahad Datu,5.025747,118.330197,"09/27/2016: Assailants attacked a fishing vessel in the Tungku waters near Lahad Datu, Sabah, Malaysia. There were no reported casualties in the attack. This was one of two coordinated attacks carried out by the same assailants on the same day. No group claimed responsibility for the incidents.",Maritime,Unknown,Firearms,0,0
168491,201611050013,2016,11,5,Malaysia,Southeast Asia,Sabah,Sandakan,5.839444,118.117173,"11/05/2016: Assailants abducted an Indonesian fishing boat captain off the coast of Sandakan, Sabah, Malaysia. The outcome of the kidnapping is unknown. This was one of two related kidnappings that occurred in the area on this date. No group claimed responsibility for the incidents; however, sources attributed the attacks to the Abu Sayyaf Group (ASG).",Maritime,Abu Sayyaf Group (ASG),Firearms,0,0
