year,injuries,fatalities,region,count
1990,1,14,Sub-Saharan Africa,1
1991,19,43,Sub-Saharan Africa,12
1992,0,5,Sub-Saharan Africa,3
1994,46,131,Sub-Saharan Africa,13
1995,6,2,Sub-Saharan Africa,1
1997,3,0,Sub-Saharan Africa,3
2005,0,0,Sub-Saharan Africa,1
2007,0,20,Sub-Saharan Africa,5
2008,53,55,Sub-Saharan Africa,9
2009,0,30,Sub-Saharan Africa,6
2010,0,1,Sub-Saharan Africa,1
2011,2,5,Sub-Saharan Africa,4
2012,45,5,Sub-Saharan Africa,14
2013,138,137,Sub-Saharan Africa,58
2014,221,123,Sub-Saharan Africa,68
2015,250,268,Sub-Saharan Africa,120
2016,220,176,Sub-Saharan Africa,98
