,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
142112,201501030074,2015,1,3,Mali,Sub-Saharan Africa,Gao,Anderamboukane,15.425015,3.023775,"01/03/2015: Assailants opened fire on Aroudeyni Ag Hamatou near Anderamboukane town, Gao region, Mali. Hamatou, a mayor and prominent tribal leader, and his son were killed, and two other people were wounded in the attack. No group claimed responsibility; however, sources attributed the incident to the Movement for Oneness and Jihad in West Africa (MUJAO).",Government (General),Movement for Oneness and Jihad in West Africa (MUJAO),Firearms,2,2
142162,201501040029,2015,1,4,Mali,Sub-Saharan Africa,Gao,Ansongo-Menaka district,15.587982,1.784334,"01/04/2015: A United Nations Multidimensional Integrated Stabilization Mission in Mali (MINUSMA) vehicle struck an explosive device in Ansongo-Menaka district, Gao region, Mali. At least six Nigerien peacekeepers were wounded in the blast. Al-Mua'qi'oon Biddam Brigade (Those who Sign with Blood) and Movement for Oneness and Jihad in West Africa (MUJAO), two groups that reportedly merged into Al-Mourabitoun, claimed responsibility for the incident.",Government (Diplomatic),Al-Mua'qi'oon Biddam Brigade (Those who Sign with Blood),Explosives/Bombs/Dynamite,0,6
142163,201501040030,2015,1,4,Mali,Sub-Saharan Africa,Gao,Gao,16.265508999999998,-0.026982,"01/04/2015: Assailants stopped at least four United Nations Multidimensional Integrated Stabilization Mission in Mali (MINUSMA) supply trucks and set them on fire near Gao city, Gao region, Mali. There were no reports of casualties in the attack, but the trucks were destroyed. No group claimed responsibility for the incident.",Government (Diplomatic),Unknown,Incendiary,0,0
142208,201501050041,2015,1,5,Mali,Sub-Saharan Africa,Segou,Nampala,15.279522,-5.553018,"01/05/2015: Assailants opened fire on a Malian army base in Nampala area, Segou region, Mali. At least 11 soldiers were killed and nine soldiers were injured in the attack. Al-Qaida in the Islamic Maghreb (AQIM) claimed responsibility for the incident, stating that they were also holding several soldiers hostage.",Military,Al-Qaida in the Islamic Maghreb (AQIM),Firearms,11,9
142272,201501070016,2015,1,7,Mali,Sub-Saharan Africa,Gao,Djoura,16.300194,0.0048259999999999996,"01/07/2015: Assailants opened fire on civilians and set fire to the town hall in Djoura village, Gao region, Mali. One civilian was killed in the attack. No group claimed responsibility; however, sources attributed the incident to both the Azawad National Liberation Movement (MNLA) and Al-Qaida in the Islamic Maghreb (AQIM).",Government (General),Azawad National Liberation Movement (MNLA),Firearms,1,0
142354,201501080060,2015,1,8,Mali,Sub-Saharan Africa,Mopti,Tenenkou,14.456878,-4.91545,"01/08/2015: Assailants attacked Tenenkou town, Mopti region, Mali. There were no reported casualties. No group claimed responsibility; however, sources attributed the incident to Muslim fundamentalists.",Private Citizens & Property,Muslim extremists,Firearms,0,0
142381,201501090006,2015,1,9,Mali,Sub-Saharan Africa,Kidal,Kidal,18.440531,1.410173,"01/09/2015: An explosive device detonated targeting a United Nations Multidimensional Integrated Stabilization Mission in Mali (MINUSMA) patrol vehicle in Kidal city, Kidal region, Mali. Seven Senegalese peacekeepers were wounded in the blast. No group claimed responsibility for the incident.",Government (Diplomatic),Unknown,Explosives/Bombs/Dynamite,0,7
142746,201501160009,2015,1,16,Mali,Sub-Saharan Africa,Mopti,Tenenkou,14.457087,-4.917815,"01/16/2015: Assailants attacked a Malian Armed Forces checkpoint in Tenenkou area, Mopti region, Mali. At least six people were killed and four others were injured in the ensuing clash. The casualties included soldiers and civilians. No group claimed responsibility; however, sources attributed the incident to Muslim fundamentalists.",Military,Muslim extremists,Firearms,6,4
142803,201501170025,2015,1,17,Mali,Sub-Saharan Africa,Kidal,Kidal,18.443116,1.410668,"01/17/2015: A suicide bomber in an explosives-laden vehicle detonated at the entrance to a United Nations Multidimensional Integrated Stabilization Mission in Mali (MINUSMA) base in Kidal town, Kidal region, Mali. This was one of two suicide attacks near the base on the same day. In addition to the two bombers, at least one Chadian peacekeeper was killed and another person was injured across both blasts. No group claimed responsibility; however, sources suspected the involvement of Muslim fundamentalists.",Government (Diplomatic),Muslim extremists,Explosives/Bombs/Dynamite,2,1
142880,201501190013,2015,1,17,Mali,Sub-Saharan Africa,Kidal,Kidal,18.442467999999998,1.409545,"01/17/2015: A suicide bomber in an explosives-laden vehicle detonated at the entrance to a United Nations Multidimensional Integrated Stabilization Mission in Mali (MINUSMA) base in Kidal town, Kidal region, Mali. This was one of two suicide attacks near the base on the same day. In addition to the two bombers, at least one Chadian peacekeeper was killed and another person was injured across both blasts. No group claimed responsibility; however, sources suspected the involvement of Muslim fundamentalists.",Government (Diplomatic),Muslim extremists,Explosives/Bombs/Dynamite,1,0
142968,201501200094,2015,1,20,Mali,Sub-Saharan Africa,Gao,Tabonkort,15.385244,2.1021799999999997,"01/20/2015: Assailants opened fire on United Nations Multidimensional Integrated Stabilization Mission in Mali (MINUSMA) forces and civilians in Tabonkort area, Gao region, Mali. No casualties were reported. No group claimed responsibility for the incident; however, sources attributed the attack to the Azawad National Liberation Movement (MNLA).",Government (Diplomatic),Azawad National Liberation Movement (MNLA),Firearms,0,0
143172,201501250028,2015,1,25,Mali,Sub-Saharan Africa,Timbuktu,Douekire,16.573373,-3.3732889999999998,"01/25/2015: Assailants ambushed Malian Army soldiers near Douekire district, Timbuktu region, Mali. Two soldiers were killed and three were wounded in the attack. No group claimed responsibility for the incident.",Military,Unknown,Firearms,2,3
143263,201501260074,2015,1,26,Mali,Sub-Saharan Africa,Bamako,Bamako,12.650673,-7.997738000000001,"01/26/2015: Assailants opened fire on General Mohamed Abderrahmane Ould Meydou in Bamako city, Bamako province, Mali. Meydou, a military officer, was injured in the attack. Al-Mua'qi'oon Biddam Brigade (Those who Sign with Blood) and Movement for Oneness and Jihad in West Africa (MUJAO), two groups that reportedly merged into Al-Mourabitoun, claimed responsibility for the incident.",Military,Al-Mua'qi'oon Biddam Brigade (Those who Sign with Blood),Firearms,0,1
143340,201501280020,2015,1,28,Mali,Sub-Saharan Africa,Gao,Tabonkort,15.3856,2.0998740000000002,"01/28/2015: A suicide bomber detonated an explosives-laden vehicle at a National Movement for the Liberation of Azawad (MNLA) camp near Tabonkort town, Gao region, Mali. At least two additional suicide bombers and other assailants opened fire following the blast. At least 15 people, including three assailants, were killed in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Self-Defense Group of Imghad Tuaregs and Allies (GATIA).",Terrorists/Non-State Militia,Self-Defense Group of Imghad Tuaregs and Allies (GATIA),Explosives/Bombs/Dynamite,15,0
