,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
64249,199701030002,1997,1,3,Mexico,North America,,Tijuana,32.533489,-117.018204,,Government (General),Unknown,Firearms,1,0
64255,199701040002,1997,1,4,Mexico,North America,Guerrero,Unknown,17.439193,-99.545097,,Private Citizens & Property,Justice Army for Defenseless Peoples,Firearms,4,0
64318,199701110001,1997,1,11,Mexico,North America,,San Miguel Totolapan,18.158959,-100.390648,,Police,Unknown,Firearms,8,0
64347,199701140004,1997,1,14,Mexico,North America,,San Juan Cosala,20.288475,-103.333606,,Private Citizens & Property,Unknown,Unknown,0,0
64442,199701280001,1997,1,28,Mexico,North America,Morelos,Unknown,18.681305,-99.10135,,Private Citizens & Property,Unknown,Unknown,0,0
64457,199701290001,1997,1,29,Mexico,North America,,Ciudad Juarez,31.733333000000002,-106.483333,,Journalists & Media,Unknown,Firearms,0,0
64476,199702010003,1997,2,1,Mexico,North America,,Mazatlan,23.236110999999998,-106.415278,,Business,Unknown,Unknown,0,0
64477,199702010004,1997,2,1,Mexico,North America,,Cuernavaca,18.93402,-99.231483,,Business,Unknown,Firearms,0,0
64566,199702040003,1997,2,4,Mexico,North America,,Agua Blanca,17.2675,-91.83416,,Private Citizens & Property,Institutional Revolutionary Party (PRI),Firearms,0,0
64575,199702060001,1997,2,6,Mexico,North America,,Mexico City,19.432608,-99.133207,,Business,Unknown,Firearms,3,0
64626,199702120002,1997,2,12,Mexico,North America,,Oaxaca,17.054348,-96.71295400000001,,Private Citizens & Property,Unknown,Firearms,0,0
64726,199702260002,1997,2,26,Mexico,North America,,Guadalajara,20.673343,-103.344177,,Business,Unknown,Unknown,0,0
64772,199703070001,1997,3,7,Mexico,North America,,Palenque,17.51003,-91.98149599999999,,Police,Unknown,Unknown,2,5
64782,199703080001,1997,3,8,Mexico,North America,,Etzatlan,20.76541,-104.078886,,Private Citizens & Property,Unknown,Unknown,0,0
64804,199703120001,1997,3,12,Mexico,North America,,Zaragoza,19.770970000000002,-97.55506,,Government (General),Institutional Revolutionary Party (PRI),Firearms,2,0
64808,199703130003,1997,3,13,Mexico,North America,,Cuernavaca,18.93402,-99.231483,,Violent Political Party,Unknown,Chemical,0,1
64907,199703220001,1997,3,22,Mexico,North America,,Xalpatlahuac,17.472093,-98.606563,,Government (General),Unknown,Firearms,2,0
64940,199703240001,1997,3,24,Mexico,North America,,Tuxtepec,18.088243,-96.1232,,Private Citizens & Property,Unknown,Firearms,1,0
64946,199703250001,1997,3,25,Mexico,North America,,Chilpancingo,17.551547,-99.500648,,Government (General),Unknown,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",1,0
64971,199703280001,1997,3,28,Mexico,North America,,Altamirano,19.094333,-96.332427,,Government (General),Unknown,Firearms,1,0
