,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
50292,199203020009,1992,3,2,Moldova,Eastern Europe,,Dubossary,47.266372,29.156869,,Police,Unknown,Firearms,0,0
50475,199203150006,1992,3,15,Moldova,Eastern Europe,,Tiraspol,46.852809,29.632671000000002,,Transportation,Dnestr Republic Separatists,Explosives/Bombs/Dynamite,0,0
50476,199203150007,1992,3,15,Moldova,Eastern Europe,,Tiraspol,46.852809,29.632671000000002,,Transportation,Dnestr Republic Separatists,Explosives/Bombs/Dynamite,0,0
50686,199203250014,1992,3,25,Moldova,Eastern Europe,,Grigoriopol,47.1463,29.301705,,Utilities,Unknown,Explosives/Bombs/Dynamite,0,0
50964,199204130024,1992,4,13,Moldova,Eastern Europe,,Varnita,46.866618,29.466855,,Police,Russian separatists,Explosives/Bombs/Dynamite,1,4
50969,199204130029,1992,4,13,Moldova,Eastern Europe,,Speia,47.007003000000005,29.296931,,Government (General),Ethnic Russian Separatists,Unknown,0,0
51014,199204180006,1992,4,18,Moldova,Eastern Europe,Bender,Bendery,46.846321,29.453744,,Police,Dnester region guerrilas,Firearms,5,0
51996,199207070008,1992,7,7,Moldova,Eastern Europe,,Kopanka,46.716944399999996,29.620555600000003,,Police,Unknown,Firearms,0,0
51997,199207070009,1992,7,7,Moldova,Eastern Europe,,Kitskani,46.783324,29.616862,,Police,Unknown,Firearms,0,0
51998,199207070010,1992,7,7,Moldova,Eastern Europe,,Bendery,46.824976,29.469860999999998,,Police,Unknown,Explosives/Bombs/Dynamite,2,23
52180,199207220013,1992,7,22,Moldova,Eastern Europe,,Bendery,46.824976,29.469860999999998,,Private Citizens & Property,Dnestr Rebels,Firearms,2,12
