year,injuries,fatalities,region,count
1973,0,0,Middle East & North Africa,2
1976,0,0,Middle East & North Africa,1
1978,0,10,Middle East & North Africa,1
1979,34,0,Middle East & North Africa,2
1985,0,0,Middle East & North Africa,2
1986,2,2,Middle East & North Africa,2
1987,0,200,Middle East & North Africa,4
1991,0,3,Middle East & North Africa,3
1992,0,2,Middle East & North Africa,1
1994,0,0,Middle East & North Africa,2
1995,1,0,Middle East & North Africa,1
1996,13,0,Middle East & North Africa,2
2003,100,45,Middle East & North Africa,5
2007,26,13,Middle East & North Africa,6
2011,24,17,Middle East & North Africa,1
2015,0,0,Middle East & North Africa,1
