year,injuries,fatalities,region,count
1978,6,2,Sub-Saharan Africa,2
1979,0,34,Sub-Saharan Africa,5
1981,0,6,Sub-Saharan Africa,3
1982,50,18,Sub-Saharan Africa,9
1983,2,5,Sub-Saharan Africa,4
1984,94,56,Sub-Saharan Africa,10
1985,136,8,Sub-Saharan Africa,5
1986,17,470,Sub-Saharan Africa,7
1987,170,468,Sub-Saharan Africa,11
1988,163,145,Sub-Saharan Africa,16
1989,275,710,Sub-Saharan Africa,64
1990,126,185,Sub-Saharan Africa,23
1991,169,271,Sub-Saharan Africa,35
1992,61,155,Sub-Saharan Africa,19
1994,0,0,Sub-Saharan Africa,3
1995,1,15,Sub-Saharan Africa,3
1999,1,0,Sub-Saharan Africa,1
2000,2,1,Sub-Saharan Africa,3
2007,3,6,Sub-Saharan Africa,1
2012,4,1,Sub-Saharan Africa,1
2013,80,37,Sub-Saharan Africa,18
2014,60,22,Sub-Saharan Africa,22
2015,3,12,Sub-Saharan Africa,8
2016,83,62,Sub-Saharan Africa,78
