,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
157029,201601050055,2016,1,5,Mozambique,Sub-Saharan Africa,Sofala,Bebedo,-19.349359,34.267474,"01/05/2016: Assailants abducted a Mozambique Liberation Front (FRELIMO) political party secretary in Bebedo city, Sofala province, Mozambique. The hostage victim was released on January 6, 2016. No group claimed responsibility for the abduction; however, sources attributed it to the Mozambique National Resistance Movement (MNR).",Violent Political Party,Mozambique National Resistance Movement (MNR),Firearms,0,1
157585,201601200032,2016,1,20,Mozambique,Sub-Saharan Africa,Sofala,Beira,-19.833446,34.850246000000006,"01/20/2016: Assailants opened fire on Manuel Bissopo, a senior official in the Mozambique National Resistance Movement (MNR) political party, in Beira city, Sofala province, Mozambique. Bissopo's bodyguard was killed while Bissopo himself was wounded in the attack. No group claimed responsibility for the incident; however, sources suspected that the Mozambique Liberation Front (FRELIMO) was involved.",Violent Political Party,Mozambique Liberation Front (FRELIMO),Firearms,1,1
158450,201602110040,2016,2,11,Mozambique,Sub-Saharan Africa,Sofala,Muxungue,-20.325738,33.885585999999996,"02/11/2016: Assailants opened fire on five vehicles, including a health ministry truck, in Muxungue town, Sofala province, Mozambique. Three people were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Government (General),Mozambique National Resistance Movement (MNR),Firearms,0,3
158451,201602110041,2016,2,11,Mozambique,Sub-Saharan Africa,Nampula,Murrupula district,-15.122670999999999,39.256318,"02/11/2016: Assailants attacked police officers in Murrupula district, Nampula province, Mozambique. One officer was reported missing in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Police,Mozambique National Resistance Movement (MNR),Unknown,0,0
158500,201602120093,2016,2,12,Mozambique,Sub-Saharan Africa,Sofala,Maringue district,-17.914407999999998,34.357406,"02/12/2016: Assailants opened fire on two vehicles on Save-Muxungue road, Maringue, Sofala province, Mozambique. Two people were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR)",Private Citizens & Property,Mozambique National Resistance Movement (MNR),Firearms,0,2
158501,201602120094,2016,2,12,Mozambique,Sub-Saharan Africa,Sofala,Maringue district,-17.369577,34.977509000000005,"02/12/2016: Assailants opened fire on a civilian vehicle in Rio Nhamapasa area, Maringue, Sofala province, Mozambique. One person was injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Private Citizens & Property,Mozambique National Resistance Movement (MNR),Firearms,0,1
158502,201602120095,2016,2,12,Mozambique,Sub-Saharan Africa,Zambezia,Nzero,-17.890401999999998,35.744625,"02/12/2016: Assailants attacked civilians in Nzero village, Zambezia province, Mozambique. There were no reported casualties. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Private Citizens & Property,Mozambique National Resistance Movement (MNR),Unknown,0,0
158619,201602150066,2016,2,15,Mozambique,Sub-Saharan Africa,Sofala,Nhamatanda,-19.244682,34.225305,"02/15/2016: Assailants opened fire on Manecas da Silva at his residence in Nhamatanda, Sofala, Mozambique. Da Silva, a Mozambique Liberation Front (FRELIMO) secretary and judge, was killed and his spouse was injured in the assault. No group claimed responsibility; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Private Citizens & Property,Mozambique National Resistance Movement (MNR),Firearms,1,1
158620,201602150067,2016,2,15,Mozambique,Sub-Saharan Africa,Sofala,Muxungue,-20.586239000000003,33.87828,"02/15/2016: Assailants opened fire on vehicles along a highway near Muxungue, Sofala, Mozambique. There were no reported casualties in the assault. No group claimed responsibility; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Private Citizens & Property,Mozambique National Resistance Movement (MNR),Firearms,0,0
158707,201602170068,2016,2,17,Mozambique,Sub-Saharan Africa,Gaza,Mazivila,-24.869493,33.125313,"02/17/2016: Assailants attacked a police post in Mazivila, Gaza, Mozambique. There were no reported casualties resulting from the assault. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Police,Mozambique National Resistance Movement (MNR),Firearms,0,0
160634,201604090057,2016,4,9,Mozambique,Sub-Saharan Africa,Sofala,Beira,-19.796382,34.884487,"04/09/2016: Assailants opened fire on a vehicle transporting Jose Mauel, a National Defense and Security Council (CNDS) member, in Beira, Sofala, Mozambique. At least three people, including Manuel, were killed in the assault. No group claimed responsibility; however, sources suspected that the attack was carried out by the Mozambique Liberation Front (FRELIMO).",Government (General),Mozambique Liberation Front (FRELIMO),Firearms,3,0
160667,201604100047,2016,4,10,Mozambique,Sub-Saharan Africa,Manica,Nhampassa,-17.593611,33.266667,"04/10/2016: Assailants attacked government forces in Nhampassa, Manica, Mozambique. At least one soldier and 15 assailants were killed and three soldiers were injured in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Military,Mozambique National Resistance Movement (MNR),Firearms,16,3
160745,201604120069,2016,4,12,Mozambique,Sub-Saharan Africa,Sofala,Gorongosa district,-18.683267,34.066665,"04/12/2016: Assailants opened fire on a Mozambique Armed Defense Forces (FADM) supply column in Gorongosa district, Sofala, Mozambique. At least five assailants were killed in the ensuing clash. No group claimed responsibility; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Military,Mozambique National Resistance Movement (MNR),Firearms,5,0
160782,201604130070,2016,4,13,Mozambique,Sub-Saharan Africa,Sofala,Gorongosa,-18.687089999999998,34.072494,"04/13/2016: Assailants attacked a Mozambique Republic Police (MRP) post in Gorongosa, Sofala, Mozambique. At least one officer was injured in the incident. No group claimed responsibility; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Police,Mozambique National Resistance Movement (MNR),Unknown,0,1
161093,201604210047,2016,4,21,Mozambique,Sub-Saharan Africa,Sofala,Gorongosa district,-18.693675,34.320477000000004,"04/21/2016: Assailants ambushed the vehicle of the Canda administrative post head in Gorongosa district, Sofala, Mozambique. One person was killed and three people were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Government (General),Mozambique National Resistance Movement (MNR),Firearms,1,3
161154,201604230085,2016,4,23,Mozambique,Sub-Saharan Africa,Manica,Barue district,-18.04359,33.258793,"04/23/2016: Assailants attacked a bus in Barue, Manica, Mozambique. Four Malawians were killed and three others were wounded in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Private Citizens & Property,Mozambique National Resistance Movement (MNR),Firearms,4,3
162084,201605150037,2016,5,15,Mozambique,Sub-Saharan Africa,Zambezia,Murrotone,-16.845229999999997,36.971038,"05/15/2016: Assailants attacked a bus in Murrotone, Zambezia, Mozambique. One person was killed and four others were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Transportation,Mozambique National Resistance Movement (MNR),Unknown,1,4
162253,201605190050,2016,5,19,Mozambique,Sub-Saharan Africa,Zambezia,Longoze,-17.97391,35.713384999999995,"05/19/2016: Assailants ambushed a postal bus in Longoze, Zambezia, Mozambique. Three people were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Government (General),Mozambique National Resistance Movement (MNR),Firearms,0,3
162384,201605230062,2016,5,23,Mozambique,Sub-Saharan Africa,Sofala,Pinda,-20.707719,34.790596,"05/23/2016: Assailants ambushed a bus in Pinda, Sofala, Mozambique. At least six people were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Transportation,Mozambique National Resistance Movement (MNR),Firearms,0,6
162385,201605230063,2016,5,23,Mozambique,Sub-Saharan Africa,Sofala,Caia,-17.825174,35.335989,"05/23/2016: Assailants ambushed civilians near Caia, Sofala, Mozambique. At least one person was killed and two people were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Private Citizens & Property,Mozambique National Resistance Movement (MNR),Unknown,1,2
162882,201606040038,2016,6,4,Mozambique,Sub-Saharan Africa,Manica,Barue district,-18.04359,33.258793,"06/04/2016: Assailants opened fire on a truck in Barue, Manica, Mozambique. Two people were injured in the attack. This was one of two attacks carried out by the same assailants on the same day. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Business,Mozambique National Resistance Movement (MNR),Firearms,0,2
162883,201606040039,2016,6,4,Mozambique,Sub-Saharan Africa,Manica,Barue district,-18.04359,33.258793,"06/04/2016: Assailants looted and burned a truck in Barue, Manica, Mozambique. There were no reported casualties in the attack. This was one of two related attacks carried out by the same assailants on the same day. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Business,Mozambique National Resistance Movement (MNR),Firearms,0,0
163006,201606060063,2016,6,7,Mozambique,Sub-Saharan Africa,Sofala,Inhamitanga,-18.218737,35.160038,"06/07/2016: Assailants opened fire on a Vale mining company train in Inhamitanga, Sofala, Mozambique. The driver's assistant was injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Business,Mozambique National Resistance Movement (MNR),Firearms,0,1
163084,201606080043,2016,6,8,Mozambique,Sub-Saharan Africa,Sofala,Inhamitanga,-18.219033,35.160078999999996,"06/08/2016: Assailants opened fire on a Vale mining company train in Inhamitanga, Sofala, Mozambique. One person was injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Business,Mozambique National Resistance Movement (MNR),Firearms,0,1
163086,201606080047,2016,6,8,Mozambique,Sub-Saharan Africa,Manica,Venduzi,-18.94525,33.26263,"06/08/2016: Assailants set fire to a convoy of vehicles, including a petrol tanker, in Venduzi, Manica, Mozambique. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Business,Mozambique National Resistance Movement (MNR),Firearms,0,0
163117,201606090043,2016,6,9,Mozambique,Sub-Saharan Africa,Manica,Barue district,-18.04359,33.258793,"06/09/2016: Assailants attacked a convoy of trucks in Barue, Manica, Mozambique. One person was killed, an unknown number of others were injured, and the vehicles were set ablaze during the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Business,Mozambique National Resistance Movement (MNR),Firearms,1,0
163145,201606100053,2016,6,10,Mozambique,Sub-Saharan Africa,Sofala,Cheringoma district,-18.687127,35.227292,"06/10/2016: Assailants attacked a public electricity company vehicle in Cheringoma, Sofala, Mozambique. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Business,Mozambique National Resistance Movement (MNR),Firearms,0,0
163146,201606100054,2016,6,10,Mozambique,Sub-Saharan Africa,Sofala,Cheringoma district,-18.534929,35.302723,"06/10/2016: Assailants attacked a group of fishers in Cheringoma, Sofala, Mozambique. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Private Citizens & Property,Mozambique National Resistance Movement (MNR),Unknown,0,0
163150,201606100058,2016,6,10,Mozambique,Sub-Saharan Africa,Unknown,Niassa Cara,,,"06/10/2016: Assailants set fire to three trucks in Niassa Cara, Mozambique. There were no reported casualties, although the fate of one of the drivers is unknown. No group claimed responsibility for the incident; however, sources attributed the attack to Mozambique National Resistance Movement (MNR).",Business,Mozambique National Resistance Movement (MNR),Incendiary,0,0
163509,201606200058,2016,6,20,Mozambique,Sub-Saharan Africa,Manica,Unknown,-17.967903,33.330416,"06/20/2016: Assailants opened fire on a fuel truck convoy between Changara and Vanduzi in Manica, Mozambique. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Business,Mozambique National Resistance Movement (MNR),Firearms,0,0
163559,201606210080,2016,6,21,Mozambique,Sub-Saharan Africa,Sofala,Cheringoma district,-18.534929,35.302723,"06/21/2016: Assailants stopped two civilian vehicles and robbed the occupants of their personal property in Cheringoma, Sofala, Mozambique. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Private Citizens & Property,Mozambique National Resistance Movement (MNR),Firearms,0,0
163560,201606210081,2016,6,21,Mozambique,Sub-Saharan Africa,Sofala,Beira,-19.796382,34.884487,"06/21/2016: Assailants set fire to a Mozambique National Resistance Movement (MNR) office in Beira, Sofala, Mozambique. There were no reported casualties in the attack. No group claimed responsibility for the incident.",Violent Political Party,Unknown,Incendiary,0,0
163739,201606260047,2016,6,26,Mozambique,Sub-Saharan Africa,Sofala,Cheringoma district,-18.534929,35.302723,"06/26/2016: Assailants stopped a truck in Cheringoma, Sofala, Mozambique. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Business,Mozambique National Resistance Movement (MNR),Firearms,0,0
163769,201606270031,2016,6,27,Mozambique,Sub-Saharan Africa,Unknown,Unknown,,,"06/27/2016: Assailants attacked a passenger bus in an unknown area of Mozambique. One Filipino teacher was killed in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Private Citizens & Property,Mozambique National Resistance Movement (MNR),Firearms,1,0
163770,201606270032,2016,6,27,Mozambique,Sub-Saharan Africa,Unknown,Unknown,,,"06/27/2016: Assailants opened fire on a convoy between Tete and Chimoio, Mozambique. At least 20 people were wounded in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Private Citizens & Property,Mozambique National Resistance Movement (MNR),Firearms,0,20
164107,201607060033,2016,7,6,Mozambique,Sub-Saharan Africa,Tete,Banga,-15.223398000000001,34.331819,"07/06/2016: Assailants opened fire on the village headquarters building in Banga, Tsangano district, Tete, Mozambique. There were no reported casualties in the assault. No group claimed responsibility; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Government (General),Mozambique National Resistance Movement (MNR),Firearms,0,0
164702,201607230045,2016,7,23,Mozambique,Sub-Saharan Africa,Manica,Barue district,-18.04359,33.258793,"07/23/2016: Assailants opened fire on a convoy of trucks in Barue district, Manica, Mozambique. Two drivers were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Private Citizens & Property,Mozambique National Resistance Movement (MNR),Firearms,0,2
164794,201607250063,2016,7,25,Mozambique,Sub-Saharan Africa,Sofala,Inhamitanga,-18.216584,35.158503,"07/25/2016: Gunmen opened fire on a coal train in Inhamitanga, Sofala, Mozambique. Two people were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Business,Mozambique National Resistance Movement (MNR),Firearms,0,2
164967,201607300038,2016,7,30,Mozambique,Sub-Saharan Africa,Zambezia,Mopeia,-18.034229999999997,35.872251,"07/30/2016: Assailants attacked the village headquarters in Mopeia, Zambezia, Mozambique. Two people were killed in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Government (General),Mozambique National Resistance Movement (MNR),Firearms,2,0
165008,201607310065,2016,7,31,Mozambique,Sub-Saharan Africa,Niassa,Maiaca,-14.308862,37.564415000000004,"07/31/2016: Assailants attacked a health center in Maiaca, Niassa, Mozambique. No casualties were reported in the attack. This was one of three related attacks in the village on this date. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Business,Mozambique National Resistance Movement (MNR),Firearms,0,0
165009,201607310066,2016,7,31,Mozambique,Sub-Saharan Africa,Niassa,Maiaca,-14.308862,37.564415000000004,"07/31/2016: Assailants attacked a police post in Maiaca, Niassa, Mozambique. No casualties were reported in the attack. This was one of three related attacks in the village on this date. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Police,Mozambique National Resistance Movement (MNR),Firearms,0,0
165010,201607310067,2016,7,31,Mozambique,Sub-Saharan Africa,Niassa,Maiaca,-14.308862,37.564415000000004,"07/31/2016: Assailants attacked the residence of a local administrator in Maiaca, Niassa, Mozambique. No casualties were reported in the attack. This was one of three related attacks in the village on this date. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Government (General),Mozambique National Resistance Movement (MNR),Firearms,0,0
165055,201608010061,2016,8,1,Mozambique,Sub-Saharan Africa,Tete,Mboza,-16.151148000000003,33.700348999999996,"08/01/2016: Assailants opened fire on a Mozambique Republic Police (MRP) station and set a vehicle on fire in Mboza, Tete, Mozambique. There were no reported casualties in the assault. No group claimed responsibility; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Police,Mozambique National Resistance Movement (MNR),Firearms,0,0
165531,201608120041,2016,8,12,Mozambique,Sub-Saharan Africa,Sofala,Nangue,-18.534929,35.302723,"08/12/2016: Assailants opened fire on a civilian vehicle until it burst into flames in Nangue, Sofala, Mozambique. Six civilians were killed in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Private Citizens & Property,Mozambique National Resistance Movement (MNR),Firearms,6,0
165532,201608120042,2016,8,12,Mozambique,Sub-Saharan Africa,Zambezia,Morrumbala,-17.328769,35.591037,"08/12/2016: Assailants attacked Morrumbala village headquarters in Zambezia, Mozambique. There were no reported casualties in the attack. This is one of two related attacks in Zambezia on this date. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Government (General),Mozambique National Resistance Movement (MNR),Firearms,0,0
165533,201608120043,2016,8,12,Mozambique,Sub-Saharan Africa,Zambezia,Mopeia,-17.97391,35.713384999999995,"08/12/2016: Assailants attacked Mopeia village headquarters in Zambezia, Mozambique. This is one of two related attacks in Zambezia on this date. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Government (General),Mozambique National Resistance Movement (MNR),Firearms,0,0
165546,201608120056,2016,8,12,Mozambique,Sub-Saharan Africa,Manica,Chiuala,-18.04359,33.258793,"08/12/2016: Gunmen opened fire on a convoy of soldiers and journalists in Chiuala, Manica, Mozambique. Four riot police were killed and one journalist was wounded in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR)",Journalists & Media,Mozambique National Resistance Movement (MNR),Firearms,4,1
165741,201608180051,2016,8,18,Mozambique,Sub-Saharan Africa,Zambezia,Mepinha,-17.207888,35.774181,"08/18/2016: Assailants raided Mepinha, Zambezia, Mozambique. No casualties were reported in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Private Citizens & Property,Mozambique National Resistance Movement (MNR),Firearms,0,0
165841,201608210053,2016,8,21,Mozambique,Sub-Saharan Africa,Manica,Unknown,-19.505979,33.438353,"08/21/2016: Assailants opened fire on a convoy between Vanduzi and the Luenha River in Manica province, Mozambique. Four people were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Private Citizens & Property,Mozambique National Resistance Movement (MNR),Firearms,0,4
166032,201608270045,2016,8,27,Mozambique,Sub-Saharan Africa,Nampula,Nihessiue,-14.760492999999999,39.320624,"08/27/2016: Assailants attacked a health center in Nihessiue, Nampula, Mozambique. There were no reported casualties in the incident. This is one of four attacks in Nihessiue carried out by the same group of assailants on this date. No group claimed responsibility; however, sources attributed the incident to the Mozambique National Resistance Movement (MNR).",Business,Mozambique National Resistance Movement (MNR),Firearms,0,0
166033,201608270046,2016,8,27,Mozambique,Sub-Saharan Africa,Nampula,Nihessiue,-14.760492999999999,39.320624,"08/27/2016: Assailants attacked and set fire to a Mozambique Republic Police (MRP) station in Nihessiue, Nampula, Mozambique. There were no reported casualties in the incident. This is one of four attacks in Nihessiue carried out by the same group of assailants on this date. No group claimed responsibility; however, sources attributed the incident to the Mozambique National Resistance Movement (MNR).",Police,Mozambique National Resistance Movement (MNR),Firearms,0,0
166034,201608270047,2016,8,27,Mozambique,Sub-Saharan Africa,Nampula,Nihessiue,-14.760492999999999,39.320624,"08/27/2016: Assailants attacked and set fire to a Mozambique Liberation Front (FRELIMO) office in Nihessiue, Nampula, Mozambique. There were no reported casualties in the incident. This is one of four attacks in Nihessiue carried out by the same group of assailants on this date. No group claimed responsibility; however, sources attributed the incident to the Mozambique National Resistance Movement (MNR).",Violent Political Party,Mozambique National Resistance Movement (MNR),Firearms,0,0
166035,201608270048,2016,8,27,Mozambique,Sub-Saharan Africa,Nampula,Nihessiue,-14.760492999999999,39.320624,"08/27/2016: Assailants attacked the residence of the administrative post head in Nihessiue, Nampula, Mozambique. There were no reported casualties in the incident. This is one of four attacks in Nihessiue carried out by the same group of assailants on this date. No group claimed responsibility; however, sources attributed the incident to the Mozambique National Resistance Movement (MNR).",Government (General),Mozambique National Resistance Movement (MNR),Firearms,0,0
166084,201608290033,2016,8,29,Mozambique,Sub-Saharan Africa,Manica,Djonhiwa,-20.559404999999998,32.80845,"08/29/2016: Assailants set fire to residences in Djonhiwa, Mossurize district, Manica, Mozambique. There were no reported casualties in the attack. No group claimed responsibility; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Private Citizens & Property,Mozambique National Resistance Movement (MNR),Incendiary,0,0
166220,201609020062,2016,9,2,Mozambique,Sub-Saharan Africa,Sofala,Nhamatanda district,-19.269416,34.208459999999995,"09/02/2016: Assailants abducted Abilio Jorge, a local administrative head, and Joaquim Chingara, a traditional chief, from Nhamatanda district, Sofala, Mozambique. The two hostage victims were killed later the same day. No group claimed responsibility for the incident; however, sources attributed the incident to the Mozambique National Resistance Movement (MNR).",Government (General),Mozambique National Resistance Movement (MNR),Firearms,2,0
166250,201609030047,2016,9,3,Mozambique,Sub-Saharan Africa,Manica,Mavonde,-18.538059,33.035641,"09/03/2016: Assailants attacked Mavonde, Manica, Mozambique. At least one person was killed and three were injured in the assault. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Private Citizens & Property,Mozambique National Resistance Movement (MNR),Firearms,1,3
166391,201609070054,2016,9,7,Mozambique,Sub-Saharan Africa,Manica,Nhachato,-19.870278,33.741667,"09/00/2016: Sometime between September 4 and September 10, 2016, assailants attacked Jacobo Filipe Matabeia at his home in Nhachato, Manica, Mozambique. Matabeia, a Mozambique Liberation Front (FRELIMO) party member, was killed in the assault. This was one of two related attacks targeting FRELIMO members on the same day. No group claimed responsibility for the incidents; however, sources attributed the attacks to the Mozambique National Resistance Movement (MNR), which denied involvement.",Violent Political Party,Mozambique National Resistance Movement (MNR),Firearms,1,0
166392,201609070055,2016,9,7,Mozambique,Sub-Saharan Africa,Manica,Nhachato,-19.870278,33.741667,"09/00/2016: Sometime between September 4 and September 10, 2016, assailants attacked Tomas Nglishe Sigauque at his home in Nhachato, Manica, Mozambique. Sigauque, a Mozambique Liberation Front (FRELIMO) party member, was killed in the assault. This was one of two related attacks targeting FRELIMO members on the same day. No group claimed responsibility for the incidents; however, sources attributed the attacks to the Mozambique National Resistance Movement (MNR), which denied involvement.",Violent Political Party,Mozambique National Resistance Movement (MNR),Firearms,1,0
166598,201609140034,2016,9,14,Mozambique,Sub-Saharan Africa,Gaza,Unknown,-23.022192999999998,32.718138,"09/14/2016: Assailants abducted two Mozambique Democratic Movement (MDM) delegates in Gaza province, Mozambique. The two victims were beaten and released later the same day. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique Liberation Front (FRELIMO).",Private Citizens & Property,Mozambique Liberation Front (FRELIMO),Melee,0,2
166621,201609150023,2016,9,13,Mozambique,Sub-Saharan Africa,Sofala,Fudza,-19.203907,34.862417,"09/13/2016: Assailants opened fire on a truck in Fudza, Sofala, Mozambique. Two people were killed and three people were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Private Citizens & Property,Mozambique National Resistance Movement (MNR),Firearms,2,3
167306,201610030053,2016,10,3,Mozambique,Sub-Saharan Africa,Niassa,Muria,-15.284429000000001,35.900317,"10/03/2016: Assailants opened fire on a commercial train in Muria, Niassa, Mozambique. One crew member was injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Transportation,Mozambique National Resistance Movement (MNR),Firearms,0,1
167308,201610030055,2016,10,3,Mozambique,Sub-Saharan Africa,Nampula,Mecua,-15.492053,39.332976,"10/03/2016: Assailants raided Mecua, Nampula, Mozambique. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Private Citizens & Property,Mozambique National Resistance Movement (MNR),Firearms,0,0
167418,201610060044,2016,10,6,Mozambique,Sub-Saharan Africa,Nampula,Mutuali,-14.873994,37.006014,"10/06/2016: Assailants attacked a coal train near Mutuali, Nampula, Mozambique. The driver was injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Transportation,Mozambique National Resistance Movement (MNR),Incendiary,0,1
167472,201610080030,2016,10,8,Mozambique,Sub-Saharan Africa,Maputo,Maputo,-25.922479,32.639967999999996,"10/08/2016: Assailants opened fire on Jeremias Pondeca in Costa do Sol, Maputo, Mozambique. Pondeca, a senior Mozambique National Resistance Movement (MNR) member, was killed in the attack. No group claimed responsibility for the incident.",Violent Political Party,Unknown,Firearms,1,0
167631,201610120065,2016,10,12,Mozambique,Sub-Saharan Africa,Sofala,Muxungue,-20.576907000000002,33.835862,"10/12/2016: Assailants attacked a convoy between the Save River and Muxungue in Sofala, Mozambique. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR).",Private Citizens & Property,Mozambique National Resistance Movement (MNR),Firearms,0,0
167702,201610140094,2016,10,14,Mozambique,Sub-Saharan Africa,Sofala,Muxungue,-20.576907000000002,33.835862,"10/14/2016: Assailants attacked and set fire to the house of a local official in Muxungue, Sofala, Mozambique. The official was injured and his child was killed in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Mozambique National Resistance Movement (MNR).",Government (General),Mozambique National Resistance Movement (MNR),Firearms,1,1
167822,201610180048,2016,10,18,Mozambique,Sub-Saharan Africa,Nampula,Ribaue,-14.945146,38.321842,"10/18/2016: Assailants opened fire on two Mozambique National Resistance Movement (MNR) officials in Ribaue, Nampula, Mozambique. Flor Armando, a member of the provincial assembly, and his colleague Zeca were killed in the attack. No group claimed responsibility for the incident.",Violent Political Party,Unknown,Firearms,2,0
