year,injuries,fatalities,region,count
1973,0,0,Southeast Asia,1
1976,0,0,Southeast Asia,2
1979,175,86,Southeast Asia,19
1980,8,6,Southeast Asia,1
1982,0,3,Southeast Asia,2
1983,50,21,Southeast Asia,4
1987,0,0,Southeast Asia,1
1988,247,93,Southeast Asia,23
1989,70,80,Southeast Asia,24
1990,51,71,Southeast Asia,9
1991,74,90,Southeast Asia,22
1992,64,139,Southeast Asia,12
1994,16,18,Southeast Asia,8
1995,29,30,Southeast Asia,12
1996,84,86,Southeast Asia,13
1997,10,16,Southeast Asia,35
1999,18,10,Southeast Asia,4
2001,5,8,Southeast Asia,3
2002,33,5,Southeast Asia,4
2003,51,18,Southeast Asia,9
2004,3,1,Southeast Asia,2
2005,178,21,Southeast Asia,8
2006,0,0,Southeast Asia,2
2007,5,10,Southeast Asia,3
2008,33,14,Southeast Asia,20
2009,15,46,Southeast Asia,14
2010,84,13,Southeast Asia,11
2011,0,0,Southeast Asia,2
2012,10,16,Southeast Asia,17
2013,29,11,Southeast Asia,18
2014,39,15,Southeast Asia,14
2015,153,60,Southeast Asia,37
2016,58,73,Southeast Asia,74
