,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
159513,201603100019,2016,3,10,Myanmar,Southeast Asia,Rakhine,Unknown,19.793467,93.993765,"03/10/2016: An explosive device detonated targeting the residence of Min Min in Rakhine, Myanmar. Min, a journalist, was not harmed in the blast. No group claimed responsibility for the incident; however, sources suspected that the Arakan Army (AA) may have been involved in the attack.",Journalists & Media,Arakan Army (AA),Explosives/Bombs/Dynamite,0,0
161392,201604290057,2016,4,29,Myanmar,Southeast Asia,Kachin,Hpakant,25.616397,96.314861,"04/29/2016: Assailants abducted seven civilians in Hpakant, Kachin, Myanmar. At least five of the hostages were released on May 2, 2016 while the fate of the remaining two victims is unknown. The Kachin Independence Army (KIA) claimed responsibility and stated that the civilians were targeted because the group believed they were peddling drugs.",Private Citizens & Property,Kachin Independence Army (KIA),Unknown,0,0
161779,201605080057,2016,5,8,Myanmar,Southeast Asia,Kachin,Lawng Hkang,25.708056,96.2325,"05/08/2016: An explosive device detonated targeting military personnel in Lawng Hkang, Kachin, Myanmar. There were no reported casualties in the blast. This was one of five related bombings in the area on the same day. No group claimed responsibility for the incidents.",Military,Unknown,Explosives/Bombs/Dynamite,0,0
161780,201605080058,2016,5,8,Myanmar,Southeast Asia,Kachin,Hpakant,25.614595,96.315363,"05/08/2016: An explosive device detonated in front of a police station in Hpakant, Kachin, Myanmar. There were no reported casualties in the blast. This was one of five related bombings in the area on the same day. No group claimed responsibility for the incidents.",Police,Unknown,Explosives/Bombs/Dynamite,0,0
161781,201605080059,2016,5,8,Myanmar,Southeast Asia,Kachin,Hpakant,25.614595,96.315363,"05/08/2016: Assailants detonated an explosive device near a bridge in in Hpakant, Kachin, Myanmar. There were no reported casualties in the blast. This was one of five related bombings in the area on the same day. No group claimed responsibility for the incidents.",Unknown,Unknown,Explosives/Bombs/Dynamite,0,0
161782,201605080060,2016,5,8,Myanmar,Southeast Asia,Kachin,Sai Taung,24.895483,95.91027,"05/08/2016: An explosive device detonated in Sai Taung, Kachin, Myanmar. At least one person was injured in the blast. This was one of five related bombings in the area on the same day. No group claimed responsibility for the incidents.",Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,1
161783,201605080061,2016,5,8,Myanmar,Southeast Asia,Kachin,Sai Taung,24.895483,95.91027,"05/08/2016: At least four explosive devices detonated in Sai Taung, Kachin, Myanmar. There were no reported casualties in the blast. This was one of five related bombings in Hpakant on the same day. No group claimed responsibility for the attacks.",Unknown,Unknown,Explosives/Bombs/Dynamite,0,0
161916,201605100081,2016,5,10,Myanmar,Southeast Asia,Rakhine,Sittwe,20.146059,92.896376,"05/10/2016: An explosive device detonated at the residence of the chief editor for the Root Investigate Agency (RiA) in Sittwe, Rakhine, Myanmar. There were no reported casualties in the attack. No group claimed responsibility for the incident.",Journalists & Media,Unknown,Explosives/Bombs/Dynamite,0,0
162086,201605150045,2016,5,15,Myanmar,Southeast Asia,Kachin,Hmaw Si Sar,25.616139999999998,96.296284,"05/15/2016: Assailants threw explosive devices at a jade mining compound in Hmaw Si Sar, Kachin, Myanmar. There were no reported casualties in the incident. This was one of three attacks targeting different mining companies in the area on the same day. The Kachin Independence Army (KIA) claimed responsibility for the attacks.",Business,Kachin Independence Army (KIA),Explosives/Bombs/Dynamite,0,0
162087,201605150046,2016,5,15,Myanmar,Southeast Asia,Kachin,Hmaw Si Sar,25.615586999999998,96.300826,"05/15/2016: Assailants threw explosive devices at a jade mining compound in Hmaw Si Sar, Kachin state, Myanmar. There were no reported casualties in the incident. This was one of three attacks targeting different mining companies in the area on the same day. The Kachin Independence Army (KIA) claimed responsibility for the attacks.",Business,Kachin Independence Army (KIA),Incendiary,0,0
