year,injuries,fatalities,region,count
1975,0,1,Sub-Saharan Africa,1
1976,0,3,Sub-Saharan Africa,2
1978,65,2,Sub-Saharan Africa,8
1979,35,32,Sub-Saharan Africa,31
1980,3,2,Sub-Saharan Africa,2
1982,0,2,Sub-Saharan Africa,2
1983,0,4,Sub-Saharan Africa,5
1984,42,26,Sub-Saharan Africa,24
1985,26,74,Sub-Saharan Africa,8
1986,23,5,Sub-Saharan Africa,1
1987,3,2,Sub-Saharan Africa,7
1988,80,25,Sub-Saharan Africa,17
1989,7,1,Sub-Saharan Africa,11
1990,0,0,Sub-Saharan Africa,2
1991,3,3,Sub-Saharan Africa,1
1994,0,0,Sub-Saharan Africa,1
1999,25,13,Sub-Saharan Africa,1
2000,85,24,Sub-Saharan Africa,21
2001,9,1,Sub-Saharan Africa,6
