year,injuries,fatalities,region,count
1985,22,6,South Asia,9
1991,0,0,South Asia,1
1992,46,9,South Asia,8
1994,15,4,South Asia,3
1996,7,6,South Asia,5
1997,8,15,South Asia,9
1999,14,23,South Asia,8
2000,160,91,South Asia,23
2001,59,172,South Asia,33
2002,161,486,South Asia,58
2003,34,22,South Asia,15
2004,397,630,South Asia,62
2005,249,211,South Asia,70
2006,93,133,South Asia,83
2007,59,44,South Asia,90
2008,325,53,South Asia,121
2009,135,20,South Asia,39
2010,42,10,South Asia,38
2011,80,16,South Asia,46
2012,29,9,South Asia,46
2013,86,3,South Asia,102
2014,7,0,South Asia,7
2015,11,0,South Asia,48
2016,15,5,South Asia,43
