,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
85395,200801120001,2008,1,12,Nepal,South Asia,Central,Birganj,27.04477,84.867372,"1/12/2008: Activists from Janatantrik Terai Mukti Morcha - Jwala Singh (JTMM-J) shot Pushpa Shrestha, a local newspaper editor, in Birgunj, Parsa, Nepal. Shrestha died in the hospital while receiving treatment. The JTMM-J Parsa district leader claimed responsibility for the attack, but the motive behind the attack is unknown.",Journalists & Media,Janatantrik Terai Mukti Morcha- Jwala Singh (JTMM-J),Firearms,1,0
85396,200801120002,2008,1,12,Nepal,South Asia,Central,Parsa district,27.173588,84.85679300000001,"1/12/2008: Three people, including 10 year-old Rakesh Paswan, were injured when members from Jantantrik Terai Mukti Morcha - Prithvi Singh (JTMM-P) detonated a bomb in Parsa, Nepal. The three injured were taken to a nearby hospital for treatment, the outcome of which is unknown. The JTMM-P Parsa district leader claimed responsibility for the attack in a call to local radio stations, but the motive behind the attack is unknown.",Private Citizens & Property,Janatantrik Terai Mukti Morcha- Prithvi Singh (JTMM-P),Explosives/Bombs/Dynamite,0,3
85397,200801120003,2008,1,12,Nepal,South Asia,Central,Parsa district,27.173588,84.85679300000001,"1/12/2008: Brij Bhushan Chaurasiya was injured when members of Janatantrik Terai Mukti Morcha - Prithvi Singh (JTMM-P) set off a bomb in Parsa, Nepal. The JTMM-P Parsa district leader claimed responsibility for the attack in a call to local radio stations, but the motive behind the attack is unknown.",Private Citizens & Property,Janatantrik Terai Mukti Morcha- Prithvi Singh (JTMM-P),Explosives/Bombs/Dynamite,0,1
85430,200801170005,2008,1,17,Nepal,South Asia,Eastern,Mahadeva,26.549993,86.816785,"1/17/2008: Cadres of Janatantrik Terai Mukti Morcha - Jwala Singh (JTMM-J) killed Dharmadish Mandal after they kidnapped him from Mahaveda, Saptari, Nepal. The group accused Mandal of spying on them. Though the group did not claim responsibility for the murder, the district leader did claim responsibility for the abduction.",Private Citizens & Property,Janatantrik Terai Mukti Morcha- Jwala Singh (JTMM-J),Unknown,1,0
85436,200801190001,2008,1,19,Nepal,South Asia,Eastern,Biratnagar,26.454071999999996,87.279512,01/19/2008:  Rebels attacked a bus carrying 100 passengers in the Terai Plains of Nepal.  The attack killed seven people and wounded twenty-seven more. The Terai Army claimed responsibility for the attack in a call to a local radio station. They indicated that the bus was targeted because it defied a transport strike called by the group.,Transportation,Terai Army,Unknown,7,27
85453,200801200007,2008,1,20,Nepal,South Asia,Mid-Western,Nepalganj,28.050386,81.616685,"01/20/2008:  Unknown perpetrators kidnapped a government official from Raniyapur village in Banke District, Nepal on Saturday night.  The kidnap victim was later found Sunday morning dead from bullet injuries in Napalgunj, Nepal. The victim's name was Purna Prasad Dhakal, a clerk at the Land Reforms Office.",Government (General),Unknown,Firearms,1,0
85454,200801200008,2008,1,20,Nepal,South Asia,Mid-Western,Nepalganj,28.050386,81.616685,"01/20/2008:  Unknown perpetrators kidnapped a businessman in Nepalgunj, Nepal on Saturday night.  The kidnap victim's whereabouts remain unknown.",Business,Unknown,Unknown,0,0
85476,200801220010,2008,1,22,Nepal,South Asia,Eastern,Khotang District,27.227503000000002,86.822034,"01/22/2008:  Unknown perpetrators attacked and raided three police stations in Khotang District, Nepal located about 160 km east of capital Kathmandu, on Monday evening and Tuesday morning.  While the attacks killed and injured no one, the perpetrators were able to make off with 9 guns and hundreds of bullets. Police uniforms, handcuffs and CDMA telephone sets from local residents were also stolen. There were between 50-60 in the group when they attacked the police post at Faktang village at about 6:30 p.m. local time (1315 GMT) on Monday. They moved on to the police post at Chisapani village at around midnight and then the post at Devisthan village early Tuesday morning. At Chisapani, the police were able to fire 60 rounds of bullets before surrendering.",Police,Unknown,Firearms,0,0
85491,200801240005,2008,1,24,Nepal,South Asia,Western,Siraha district,26.795702000000002,86.2971,"01/24/2008:  Maoists kidnapped and killed three Nepali Congress activists in Siraha District, Nepal.",Private Citizens & Property,Unknown,Unknown,3,0
85505,200801250009,2008,1,25,Nepal,South Asia,Eastern,Rajbiraj,26.540301,86.748377,"1/25/2008:  Four policemen were injured when four bombs went off simultaneously in the heart of Rajbiraj, Saptari, Nepal. The injured police were taken to the hospital, but the extent of their injuries is unknown. Both Janatantrik Terai Mukti Morcha - Jwala Singh (JTMM-J) and Janatantrik Terai Mukti Morcha - Goit (JTMM-G) claimed responsibility for the attack. The motive behind the attack is unknown.",Police,Janatantrik Terai Mukti Morcha- Jwala Singh (JTMM-J),Explosives/Bombs/Dynamite,0,4
