year,injuries,fatalities,region,count
1970,0,0,Western Europe,2
1971,0,0,Western Europe,1
1972,0,0,Western Europe,1
1973,1,1,Western Europe,1
1974,0,1,Western Europe,2
1975,2,4,Western Europe,4
1976,0,0,Western Europe,3
1977,1,9,Western Europe,6
1978,16,1,Western Europe,3
1979,0,3,Western Europe,3
1980,0,0,Western Europe,1
1981,0,0,Western Europe,1
1982,1,0,Western Europe,2
1983,0,0,Western Europe,2
1984,1,0,Western Europe,1
1985,0,0,Western Europe,4
1986,0,0,Western Europe,14
1987,0,0,Western Europe,1
1988,6,4,Western Europe,4
1989,5,0,Western Europe,5
1990,1,2,Western Europe,6
1991,0,0,Western Europe,8
1992,1,0,Western Europe,12
1994,1,0,Western Europe,3
1995,2,1,Western Europe,7
1996,0,0,Western Europe,6
1997,0,0,Western Europe,1
1999,0,0,Western Europe,1
2000,0,0,Western Europe,1
2001,3,0,Western Europe,1
2002,0,1,Western Europe,2
2003,0,0,Western Europe,3
2004,2,1,Western Europe,1
2008,0,0,Western Europe,1
2009,12,7,Western Europe,1
2010,0,0,Western Europe,1
2011,0,0,Western Europe,2
2014,0,0,Western Europe,1
2015,0,0,Western Europe,3
2016,3,1,Western Europe,6
