,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
27129,198601290001,1986,1,29,Netherlands,Western Europe,Groningen,Groningen,53.219384,6.566502000000001,,Military,Northern Terror Front,Incendiary,0,0
27151,198602030004,1986,2,3,Netherlands,Western Europe,Groningen,Groningen,53.219384,6.566502000000001,,Police,Northern Terror Front,Incendiary,0,0
28297,198606160002,1986,6,16,Netherlands,Western Europe,North Holland,Amsterdam,52.370216,4.895168,,Business,Unknown,Incendiary,0,0
28298,198606160003,1986,6,16,Netherlands,Western Europe,North Holland,Amsterdam,52.370216,4.895168,,Business,Unknown,Incendiary,0,0
28299,198606160004,1986,6,16,Netherlands,Western Europe,North Holland,Amsterdam,52.370216,4.895168,,Business,Unknown,Incendiary,0,0
28423,198606270006,1986,6,27,Netherlands,Western Europe,South Holland,The Hague,52.069858,4.291111,,Government (General),Red Revolutionary Front,Explosives/Bombs/Dynamite,0,0
28811,198608100003,1986,8,10,Netherlands,Western Europe,South Holland,Schiedam,51.916959999999996,4.3988190000000005,,Business,Schiedam Youth Front,Explosives/Bombs/Dynamite,0,0
28909,198608210003,1986,8,21,Netherlands,Western Europe,North Holland,Amsterdam,52.370216,4.895168,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
28910,198608210004,1986,8,21,Netherlands,Western Europe,North Holland,Amsterdam,52.370216,4.895168,,Telecommunication,Into the Blue Commando of the Revolutionary Cells,Incendiary,0,0
28911,198608210005,1986,8,21,Netherlands,Western Europe,North Holland,Amsterdam,52.370216,4.895168,,Private Citizens & Property,Into the Blue Commando of the Revolutionary Cells,Explosives/Bombs/Dynamite,0,0
29038,198609080008,1986,9,8,Netherlands,Western Europe,South Holland,Gouda,52.013859000000004,4.70979,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
29092,198609160003,1986,9,16,Netherlands,Western Europe,North Holland,Amsterdam,52.370216,4.895168,,Government (General),Down with Lubbers,Explosives/Bombs/Dynamite,0,0
29093,198609160004,1986,9,16,Netherlands,Western Europe,North Holland,Amsterdam,52.370216,4.895168,,Business,Down with Lubbers,Explosives/Bombs/Dynamite,0,0
29497,198611150010,1986,11,15,Netherlands,Western Europe,South Holland,The Hague,52.069858,4.291111,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
