,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
23701,198411170005,1984,11,17,New Caledonia,Australasia & Oceania,,Noumea,-22.2758,166.458,,Military,Independence Advocates,Incendiary,0,0
23702,198411170006,1984,11,17,New Caledonia,Australasia & Oceania,,Noumea,-22.2758,166.458,,Business,Kanak Separatists,Incendiary,0,0
23703,198411170007,1984,11,17,New Caledonia,Australasia & Oceania,,Noumea,-22.2758,166.458,,Educational Institution,Kanakas,Incendiary,0,0
23713,198411180005,1984,11,18,New Caledonia,Australasia & Oceania,,Gomen,-20.666104999999998,164.39754299999998,,Private Citizens & Property,Kanak Socialist National Liberation Front,Incendiary,0,0
23795,198411290004,1984,11,29,New Caledonia,Australasia & Oceania,,Ouegoa,-20.349335999999997,164.427349,,Private Citizens & Property,Kanakas,Unknown,1,1
23799,198411300003,1984,11,30,New Caledonia,Australasia & Oceania,,Poe,-21.612126999999997,165.40096599999998,,Private Citizens & Property,Kanak Socialist National Liberation Front,Unknown,0,0
23826,198412050002,1984,12,5,New Caledonia,Australasia & Oceania,,Hienghene,-20.688098,164.94352800000001,,Violent Political Party,Unknown,Firearms,10,0
23992,198412310005,1984,12,31,New Caledonia,Australasia & Oceania,,Noumea,-22.2758,166.458,,Government (General),National Committee Against Independence (CNCI),Explosives/Bombs/Dynamite,0,0
23993,198412310006,1984,12,31,New Caledonia,Australasia & Oceania,,Noumea,-22.2758,166.458,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
23994,198412310007,1984,12,31,New Caledonia,Australasia & Oceania,,Noumea,-22.2758,166.458,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
