year,injuries,fatalities,region,count
1970,0,0,Central America & Caribbean,1
1974,0,0,Central America & Caribbean,1
1975,0,11,Central America & Caribbean,1
1977,12,26,Central America & Caribbean,5
1978,88,93,Central America & Caribbean,76
1979,63,187,Central America & Caribbean,206
1980,13,37,Central America & Caribbean,35
1981,28,172,Central America & Caribbean,47
1982,23,254,Central America & Caribbean,63
1983,316,3277,Central America & Caribbean,299
1984,310,3617,Central America & Caribbean,302
1985,231,1575,Central America & Caribbean,258
1986,103,395,Central America & Caribbean,171
1987,294,549,Central America & Caribbean,223
1988,78,208,Central America & Caribbean,62
1989,24,48,Central America & Caribbean,21
1990,8,23,Central America & Caribbean,15
1991,45,54,Central America & Caribbean,80
1992,13,22,Central America & Caribbean,30
1994,7,12,Central America & Caribbean,19
1995,26,6,Central America & Caribbean,18
1996,15,18,Central America & Caribbean,26
1997,5,7,Central America & Caribbean,7
1999,0,0,Central America & Caribbean,1
2000,1,2,Central America & Caribbean,1
2014,28,5,Central America & Caribbean,2
