,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
20537,198401010035,1984,1,1,Nicaragua,Central America & Caribbean,,Rio Bartolo,10.984639,-84.323565,,Military,Democratic Revolutionary Alliance (ARDE),Firearms,132,0
20552,198401020013,1984,1,2,Nicaragua,Central America & Caribbean,,Antigua,13.642491,-86.309214,,Private Citizens & Property,Nicaraguan Democratic Force (FDN),Firearms,0,0
20554,198401020015,1984,1,2,Nicaragua,Central America & Caribbean,,Potosi,13.00583,-87.50278,,Maritime,Nicaraguan Democratic Force (FDN),Firearms,0,0
20564,198401040004,1984,1,4,Nicaragua,Central America & Caribbean,,Potosi,13.00583,-87.50278,,Maritime,Nicaraguan Democratic Force (FDN),Firearms,1,8
20572,198401060002,1984,1,6,Nicaragua,Central America & Caribbean,,Potosi,13.00583,-87.50278,,Maritime,Nicaraguan Democratic Force (FDN),Firearms,0,0
20573,198401060003,1984,1,6,Nicaragua,Central America & Caribbean,,Monte Limar,11.81788,-86.51557,,Military,Nicaraguan Democratic Force (FDN),Firearms,0,0
20580,198401070008,1984,1,7,Nicaragua,Central America & Caribbean,,Monte Limar,11.81788,-86.51557,,Military,Nicaraguan Democratic Force (FDN),Firearms,0,0
20581,198401070009,1984,1,7,Nicaragua,Central America & Caribbean,,Potosi,13.00583,-87.50278,,Maritime,Nicaraguan Democratic Force (FDN),Firearms,0,0
20588,198401080006,1984,1,8,Nicaragua,Central America & Caribbean,,Cinco Pinos,13.229232999999999,-86.86908000000001,,Military,Nicaraguan Democratic Force (FDN),Firearms,65,0
20589,198401080007,1984,1,8,Nicaragua,Central America & Caribbean,,Waspam,14.74189,-83.9717,,Military,Nicaraguan Democratic Force (FDN),Firearms,30,0
20590,198401080008,1984,1,8,Nicaragua,Central America & Caribbean,,Ilipan,,,,Military,Nicaraguan Democratic Force (FDN),Firearms,2,0
20591,198401080009,1984,1,8,Nicaragua,Central America & Caribbean,,Potosi,13.00583,-87.50278,,Maritime,Nicaraguan Democratic Force (FDN),Firearms,0,0
20596,198401090005,1984,1,9,Nicaragua,Central America & Caribbean,,Baka,13.68317,-84.57251099999999,,Military,Nicaraguan Democratic Force (FDN),Firearms,42,0
20597,198401090006,1984,1,9,Nicaragua,Central America & Caribbean,,Rio Torsuani,11.32716209,-84.03855896,,Military,Democratic Revolutionary Alliance (ARDE),Firearms,3,0
20598,198401090007,1984,1,9,Nicaragua,Central America & Caribbean,,Rio Torsuani,11.32716209,-84.03855896,,Military,Democratic Revolutionary Alliance (ARDE),Firearms,29,0
20721,198401240005,1984,1,24,Nicaragua,Central America & Caribbean,,La Ceiba,12.398896,-86.813327,,Military,Nicaraguan Democratic Force (FDN),Firearms,0,0
20738,198401260012,1984,1,26,Nicaragua,Central America & Caribbean,,El Cumbo,,,,Military,Nicaraguan Democratic Force (FDN),Firearms,270,0
20795,198402010009,1984,2,1,Nicaragua,Central America & Caribbean,,Punta Gorda,11.32716209,-84.03855896,,Military,Democratic Revolutionary Alliance (ARDE),Firearms,22,0
20796,198402010010,1984,2,1,Nicaragua,Central America & Caribbean,,Cuesta del Mono,,,,Military,Democratic Revolutionary Alliance (ARDE),Firearms,25,0
20812,198402020015,1984,2,2,Nicaragua,Central America & Caribbean,,La Casita,,,,Telecommunication,Nicaraguan Democratic Force (FDN),Explosives/Bombs/Dynamite,0,0
20822,198402030006,1984,2,3,Nicaragua,Central America & Caribbean,,Puerto de Aponsentillo,12.6321,-87.36653000000001,,Military,Nicaraguan Democratic Force (FDN),Firearms,0,0
20836,198402050006,1984,2,5,Nicaragua,Central America & Caribbean,,El Cacao,12.591655000000001,-85.909379,,Military,Democratic Revolutionary Alliance (ARDE),Firearms,7,0
20837,198402050007,1984,2,5,Nicaragua,Central America & Caribbean,,Atlanta,11.583333300000001,-84.0166667,,Military,Democratic Revolutionary Alliance (ARDE),Firearms,43,0
20856,198402070008,1984,2,7,Nicaragua,Central America & Caribbean,,Punta Gorda,11.32716209,-84.03855896,,Military,Democratic Revolutionary Alliance (ARDE),Firearms,10,0
20857,198402070009,1984,2,7,Nicaragua,Central America & Caribbean,,Buena Vista,12.84265,-87.382867,,Military,Democratic Revolutionary Alliance (ARDE),Firearms,15,0
20858,198402070010,1984,2,7,Nicaragua,Central America & Caribbean,,Cano Pataste (River Mouth),11.49819,-83.91111,,Government (General),Democratic Revolutionary Alliance (ARDE),Firearms,9,2
