year,injuries,fatalities,region,count
1985,0,3,Sub-Saharan Africa,1
1989,0,171,Sub-Saharan Africa,1
1991,2,8,Sub-Saharan Africa,6
1992,13,34,Sub-Saharan Africa,16
1994,4,53,Sub-Saharan Africa,8
1995,0,22,Sub-Saharan Africa,2
1996,8,2,Sub-Saharan Africa,1
1997,5,32,Sub-Saharan Africa,3
1999,0,4,Sub-Saharan Africa,2
2007,52,66,Sub-Saharan Africa,7
2008,6,6,Sub-Saharan Africa,9
2009,3,18,Sub-Saharan Africa,4
2010,0,9,Sub-Saharan Africa,3
2011,6,4,Sub-Saharan Africa,2
2012,0,1,Sub-Saharan Africa,1
2013,33,26,Sub-Saharan Africa,4
2014,9,11,Sub-Saharan Africa,5
2015,116,666,Sub-Saharan Africa,41
2016,139,184,Sub-Saharan Africa,23
