,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
143810,201502060065,2015,2,6,Niger,Sub-Saharan Africa,Diffa,Bosso,13.700810999999998,13.309714999999999,"02/06/2015: Assailants attacked Bosso city, Diffa region, Niger. This was one of two coordinated assaults on towns in the area on the same day. At least four soldiers, one civilian, and 109 assailants were killed, and 13 soldiers were injured across both attacks. No group claimed responsibility; however, sources attributed the incident to Boko Haram.",Private Citizens & Property,Boko Haram,Firearms,57,7
143811,201502060066,2015,2,6,Niger,Sub-Saharan Africa,Diffa,Diffa,13.316667,12.616667,"02/06/2015: Assailants attacked Diffa city, Diffa region, Niger. This was one of two coordinated assaults on towns in the area on the same day. At least four soldiers, one civilian, and 109 assailants were killed, and 13 soldiers were injured across both attacks. No group claimed responsibility; however, sources attributed the incident to Boko Haram.",Private Citizens & Property,Boko Haram,Firearms,57,6
143892,201502080043,2015,2,8,Niger,Sub-Saharan Africa,Diffa,Diffa,13.316667,12.616667,"02/08/2015: Assailants attacked Diffa town, Diffa region, Niger. There were an unknown number of casualties in the attack. This was one of two attacks in Diffa town on February 8, 2015. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram.",Private Citizens & Property,Boko Haram,Firearms,0,0
143893,201502080044,2015,2,8,Niger,Sub-Saharan Africa,Diffa,Diffa,13.316667,12.616667,"02/08/2015: Assailants fired a mortar at a pepper market in Diffa town, Diffa region, Niger. One person was killed and 20 others were injured in the blast. This was one of two attacks in Diffa town on February 8, 2015. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram.",Private Citizens & Property,Boko Haram,Explosives/Bombs/Dynamite,1,20
143937,201502090037,2015,2,9,Niger,Sub-Saharan Africa,Diffa,Diffa,13.316667,12.616667,"02/09/2015: Assailants attacked a prison in Diffa town, Diffa province, Niger. There were an unknown number of casualties among the assailants in the attack. This was one of two coordinated attacks in Diffa town on February 9, 2015. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram.",Police,Boko Haram,Firearms,0,0
143938,201502090038,2015,2,9,Niger,Sub-Saharan Africa,Diffa,Diffa,13.316667,12.616667,"02/09/2015: An explosives-laden vehicle detonated near a customs office in Diffa town, Diffa province, Niger. One person was killed and five others were injured in the blast. This was one of two coordinated attacks in Diffa town on February 9, 2015. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram.",Government (General),Boko Haram,Explosives/Bombs/Dynamite,1,5
144052,201502110036,2015,2,11,Niger,Sub-Saharan Africa,Diffa,Diffa,13.316667,12.616667,"02/11/2015: At least one suicide bomber detonated targeting security forces in Diffa town, Diffa region, Niger. The assailant was the only reported casualty. No group claimed responsibility for the incident.",Military,Unknown,Explosives/Bombs/Dynamite,1,0
144115,201502120053,2015,2,12,Niger,Sub-Saharan Africa,Diffa,Maine-Soroa,13.211389000000002,12.023889,"02/12/2015: Security forces identified and arrested a suicide bomber in Maine-Soroa town, Diffa region, Niger. No group claimed responsibility for the incident.",Unknown,Unknown,Explosives/Bombs/Dynamite,0,0
144343,201502160084,2015,2,16,Niger,Sub-Saharan Africa,Diffa,Bagara,13.367292,12.445886,"02/16/2015: Three assailants armed with knives attacked a military post in Bagara town, Diffa, Niger. One police officer was injured in the attack. This was one of two attacks on the same post on the same day. No group claimed responsibility for the incident; however, sources attributed it to Boko Haram.",Military,Boko Haram,Melee,0,1
144382,201502170083,2015,2,16,Niger,Sub-Saharan Africa,Diffa,Bagara,13.367292,12.445886,"02/16/2015: Security forces shot and killed a suicide bomber near a military post in Bagara town, Diffa, Niger. A military explosives expert was injured while attempting to defuse the explosive device. This was one of two attacks on the same post on the same day. No group claimed responsibility for the incident; however, sources suspected Boko Haram.",Military,Boko Haram,Explosives/Bombs/Dynamite,1,1
144468,201502190050,2015,2,19,Niger,Sub-Saharan Africa,Diffa,Tourbanguida,13.275158,12.574442999999999,"02/19/2015: Assailants attacked residents in Tourbanguida village, Niger. At least three people, including a local chief, were killed and three people were injured in the raid. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram.",Private Citizens & Property,Boko Haram,Unknown,3,3
144508,201502200031,2015,2,20,Niger,Sub-Saharan Africa,Diffa,Karamga,14.1319,13.259267000000001,"02/20/2015: Assailants attacked a village on Karamga island, Diffa region, Niger. At least seven soldiers, one civilian, and 14 assailants were killed, while two soldiers were injured in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram.",Private Citizens & Property,Boko Haram,Unknown,22,2
144662,201502240077,2015,2,24,Niger,Sub-Saharan Africa,Diffa,Bosso,13.700810999999998,13.309714999999999,"02/24/2015: An explosive device detonated near a Niger Armed Forces patrol vehicle in Bosso town, Diffa regions, Niger. At least two soldiers were killed and four others were injured in the blast. No group claimed responsibility; however, authorities attributed the attack to Boko Haram.",Military,Boko Haram,Explosives/Bombs/Dynamite,2,4
144852,201503010158,2015,3,1,Niger,Sub-Saharan Africa,Diffa,Ngimi district,14.252776,13.11077,"03/01/2015: Assailants opened fire on residents and buildings on an island in Lake Chad area, Ngimi district, Diffa region, Niger. This was one of three coordinated raids in this area on March 1, 2015. Nineteen civilians were killed across attacks. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram.",Private Citizens & Property,Boko Haram,Firearms,6,0
144853,201503010159,2015,3,1,Niger,Sub-Saharan Africa,Diffa,Ngimi district,14.252776,13.11077,"03/01/2015: Assailants opened fire on residents and buildings on an island in Lake Chad area, Ngimi district, Diffa region, Niger. This was one of three coordinated raids in this area on March 1, 2015. Nineteen civilians were killed across attacks. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram.",Private Citizens & Property,Boko Haram,Firearms,6,0
144854,201503010160,2015,3,1,Niger,Sub-Saharan Africa,Diffa,Ngimi district,14.252776,13.11077,"03/01/2015: Assailants opened fire on residents and buildings on an island in Lake Chad area, Ngimi district, Diffa region, Niger. This was one of three coordinated raids in this area on March 1, 2015. Nineteen civilians were killed across attacks. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram.",Private Citizens & Property,Boko Haram,Firearms,7,0
144933,201503030039,2015,3,3,Niger,Sub-Saharan Africa,Diffa,Bosso district,13.698610999999998,13.309444000000001,"03/03/2015: Assailants attacked a village in Bosso district, Diffa province, Niger. Two civilians were killed in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram.",Private Citizens & Property,Boko Haram,Incendiary,2,0
144934,201503030040,2015,3,3,Niger,Sub-Saharan Africa,Diffa,Maine-Soroa,13.211389000000002,12.023889,"03/03/2015: Assailants attacked cell phone installations in Maine-Soroa area, Diffa province, Niger. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram.",Telecommunication,Boko Haram,Unknown,0,0
144972,201503040018,2015,3,4,Niger,Sub-Saharan Africa,Diffa,Diffa,13.316579999999998,12.616667,"03/04/2015: An explosive device detonated near military personnel in Diffa town, Diffa province, Niger. Four people, including two soldiers and two assailants, were killed and one soldier was injured in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram.",Military,Boko Haram,Explosives/Bombs/Dynamite,4,1
145959,201503300067,2015,3,30,Niger,Sub-Saharan Africa,Diffa,Bosso,13.698610999999998,13.309444000000001,"03/30/2015: Assailants attacked Bosso town, Diffa, Niger. Security forces repelled the assault, killing 47 assailants. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram.",Private Citizens & Property,Boko Haram,Unknown,47,0
146022,201504010047,2015,4,1,Niger,Sub-Saharan Africa,Diffa,Bosso,13.700304000000001,13.309739000000002,"04/01/2015: Assailants attacked Bosso village, Diffa region, Niger. At least 47 assailants were killed in the ensuing clash with security forces from Chad and Niger. No group claimed responsibility; however, sources attributed the incident to Boko Haram.",Private Citizens & Property,Boko Haram,Unknown,47,0
146960,201504250027,2015,4,25,Niger,Sub-Saharan Africa,Diffa,Karamga,14.015,13.378457999999998,"04/25/2015: Assailants attacked a military base and residential areas in Karamga, Lake Chad area, Diffa region, Niger. At least 46 soldiers, 28 civilians, and 156 assailants were killed and nine soldiers and an unknown number of assailants were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram.",Military,Boko Haram,Firearms,230,9
147415,201505050057,2015,5,7,Niger,Sub-Saharan Africa,Diffa,Kougoudou,13.533182,13.006083,"05/07/2015: Assailants attacked residents and buildings in Kougoudou village, Diffa region, Niger. At least five people were killed, two people were injured, and 20 houses were set on fire. This was one of two coordinated raids on villages on the same night. No group claimed responsibility; however, sources attributed the incidents to Boko Haram.",Private Citizens & Property,Boko Haram,Incendiary,2,2
