year,injuries,fatalities,region,count
1980,0,0,Sub-Saharan Africa,1
1983,2,1,Sub-Saharan Africa,3
1988,0,4,Sub-Saharan Africa,2
1991,34,10,Sub-Saharan Africa,3
1992,130,135,Sub-Saharan Africa,12
1994,0,15,Sub-Saharan Africa,8
1995,0,1,Sub-Saharan Africa,1
1996,15,24,Sub-Saharan Africa,11
1997,51,107,Sub-Saharan Africa,20
1998,0,9,Sub-Saharan Africa,2
1999,209,134,Sub-Saharan Africa,18
2000,2,0,Sub-Saharan Africa,6
2001,3,3,Sub-Saharan Africa,5
2002,11,28,Sub-Saharan Africa,6
2003,44,28,Sub-Saharan Africa,9
2004,6,41,Sub-Saharan Africa,6
2005,36,19,Sub-Saharan Africa,9
2006,21,254,Sub-Saharan Africa,37
2007,40,82,Sub-Saharan Africa,61
2008,28,72,Sub-Saharan Africa,76
2009,16,316,Sub-Saharan Africa,42
2010,191,117,Sub-Saharan Africa,63
2011,619,447,Sub-Saharan Africa,175
2012,1011,1508,Sub-Saharan Africa,616
2013,528,2014,Sub-Saharan Africa,345
2014,2283,7781,Sub-Saharan Africa,713
2015,2854,5351,Sub-Saharan Africa,637
2016,1155,2164,Sub-Saharan Africa,531
